date,open,high,low,close,volume
2002-01-01,15.7,15.75,15.28,15.46,54228
2002-01-02,15.39,15.46,15.26,15.31,19342
2002-01-03,15.31,15.49,15.28,15.36,27914
2002-01-04,15.52,16.03,15.52,15.72,121281
2002-01-07,15.77,16.03,15.1,15.26,50913
2002-01-08,16.19,16.5,15.77,16.29,198817
2002-01-09,16.45,16.91,16.45,16.81,236282
2002-01-10,17.2,19.08,16.89,17.92,400405
2002-01-11,18.49,19.34,17.92,18.28,539645
2002-01-14,19.86,21.57,19.14,19.83,388805
2002-01-15,19.91,20.43,18.62,19.11,204753
2002-01-16,19.71,19.71,18.88,19.14,89724
2002-01-17,19.4,19.4,18.75,18.88,135637
2002-01-18,19.24,19.27,18.67,18.77,97887
2002-01-21,19.08,19.08,18.62,18.67,67534
2002-01-22,18.15,18.88,17.97,18.08,74639
2002-01-23,17.97,18.26,17.64,17.79,78039
2002-01-24,18.28,18.49,17.84,17.95,58296
2002-01-25,17.64,18.72,17.64,18.59,79083
2002-01-28,18.62,18.98,18.36,18.65,63883
2002-01-29,18.62,18.88,17.4,17.71,134321
2002-01-30,17.35,17.64,16.94,17.51,121824
2002-01-31,17.58,18.1,17.3,17.97,63165
2002-02-01,17.95,19.4,17.95,18.85,272255
2002-02-04,19.6,20.89,19.5,20.27,667478
2002-02-05,20.69,21.77,19.4,21.0,719891
2002-02-06,22.5,25.21,22.27,25.21,1648497
2002-02-07,26.74,29.43,24.75,25.5,2145981
2002-02-08,25.6,27.67,24.85,27.18,1719758
2002-02-11,27.93,28.45,25.86,26.35,1192288
2002-02-12,27.36,27.41,25.99,26.4,802544
2002-02-13,28.16,28.63,26.77,28.21,1545436
2002-02-14,28.81,31.81,28.5,31.37,3001987
2002-02-15,31.5,33.57,30.08,30.39,2310496
2002-02-18,31.55,32.51,28.99,31.7,2068480
2002-02-19,32.64,32.84,30.05,30.28,1089429
2002-02-20,30.0,31.81,29.56,31.01,2031420
2002-02-21,31.19,33.0,31.19,32.53,1936247
2002-02-22,32.58,32.79,31.7,32.04,1309905
2002-02-25,31.03,32.58,30.75,31.52,1842101
2002-02-26,32.58,34.7,32.12,33.77,4520490
2002-02-27,34.34,35.01,32.58,33.93,2964827
2002-02-28,34.24,34.91,31.08,31.55,3246149
2002-03-01,31.08,33.46,31.08,33.08,1998558
2002-03-04,34.08,34.08,32.74,33.31,1108078
2002-03-05,33.62,34.73,33.26,34.21,2117250
2002-03-06,34.76,34.86,33.39,33.64,972172
2002-03-07,33.49,34.03,32.84,32.97,579548
2002-03-08,33.31,34.76,33.15,33.8,2213453
2002-03-11,34.11,34.11,32.43,32.61,530675
2002-03-12,33.15,33.15,31.7,32.09,863798
2002-03-13,33.1,36.72,32.58,34.5,3998751
2002-03-14,34.5,35.27,34.16,34.52,1459754
2002-03-15,34.65,35.12,34.52,34.76,717513
2002-03-18,35.38,36.2,35.2,35.56,1572113
2002-03-19,36.2,36.2,34.52,35.4,486416
2002-03-20,35.53,35.61,34.78,35.32,650426
2002-03-21,35.27,35.64,34.7,34.81,292915
2002-03-22,35.17,35.17,34.06,34.68,357657
2002-03-26,34.63,35.69,34.26,35.48,653622
2002-03-27,35.95,36.05,34.91,35.12,318319
2002-03-28,35.17,35.95,34.96,35.58,725538
2002-04-01,35.53,38.27,35.35,37.52,1813946
2002-04-02,37.73,39.7,37.24,39.02,1400519
2002-04-03,37.81,39.05,37.81,38.14,627753
2002-04-04,38.53,39.26,38.51,38.84,583812
2002-04-05,38.84,39.05,37.76,37.96,429726
2002-04-08,38.53,38.92,38.07,38.2,359507
2002-04-09,38.71,39.1,36.88,37.21,574202
2002-04-10,37.63,37.63,36.75,37.01,312131
2002-04-11,37.37,37.47,35.89,36.1,416326
2002-04-12,36.46,37.14,35.69,36.13,518378
2002-04-15,36.44,36.44,34.39,34.7,370509
2002-04-16,34.65,35.45,34.24,35.14,446342
2002-04-17,35.95,35.95,34.81,35.01,343679
2002-04-18,35.35,35.89,34.78,35.09,455601
2002-04-19,35.14,35.14,33.64,33.9,272488
2002-04-22,34.34,34.34,32.89,33.39,474442
2002-04-23,33.51,35.51,33.51,34.73,538020
2002-04-24,33.88,35.3,33.88,35.2,149227
2002-04-25,35.4,35.69,34.78,34.91,131791
2002-04-26,35.48,37.76,35.48,37.34,893406
2002-04-29,38.14,38.79,37.11,38.27,907494
2002-04-30,38.32,40.55,38.32,39.9,1132717
2002-05-02,40.37,43.45,40.37,42.7,2279975
2002-05-03,42.93,43.7,41.71,42.8,1248460
2002-05-06,43.86,45.49,42.9,45.26,1402087
2002-05-07,44.58,46.47,44.01,44.19,1518471
2002-05-08,43.55,44.87,41.12,41.4,1742482
2002-05-09,42.41,44.84,42.05,44.35,2141220
2002-05-10,44.97,45.72,43.5,44.58,2013170
2002-05-13,42.88,44.84,42.41,43.55,1062181
2002-05-14,43.45,43.83,42.51,42.93,651426
2002-05-15,43.45,43.45,41.43,42.18,661449
2002-05-16,42.15,43.91,41.48,43.29,1385965
2002-05-17,44.22,45.69,42.93,44.35,3067060
2002-05-20,46.55,50.14,45.26,48.2,7738417
2002-05-21,48.1,48.62,45.0,46.34,4310455
2002-05-22,46.26,49.21,45.72,47.43,4522100
2002-05-23,48.1,49.26,47.63,47.87,2324610
2002-05-24,48.88,54.18,48.62,53.22,8458011
2002-05-27,53.53,56.27,52.0,54.56,5646857
2002-05-28,54.36,55.16,49.65,50.09,5641038
2002-05-29,50.53,52.44,48.36,51.49,5027954
2002-05-30,51.82,53.63,49.83,50.56,3792398
2002-05-31,51.28,51.28,49.16,50.56,2817327
2002-06-03,50.92,52.13,50.19,50.89,3572391
2002-06-04,50.97,57.8,50.45,56.69,13141727
2002-06-05,56.22,56.22,51.85,52.34,7829810
2002-06-06,52.88,52.88,49.65,50.66,4734226
2002-06-07,50.74,51.44,47.66,48.05,3697138
