date,open,high,low,close,volume
2003-09-05,15.84,15.84,14.91,14.96,14942
2003-09-08,15.06,16.97,14.96,16.33,25685
2003-09-09,16.38,16.58,15.35,16.09,27046
2003-09-10,15.89,16.09,15.75,15.94,5090
2003-09-11,15.89,16.14,15.75,15.84,13734
2003-09-12,15.94,15.94,15.65,15.65,9032
2003-09-15,15.45,15.6,15.45,15.45,6386
2003-09-16,15.65,15.65,15.4,15.45,2392
2003-09-17,15.4,16.04,15.4,15.5,6220
2003-09-18,15.5,15.75,15.31,15.5,9844
2003-09-19,15.45,15.45,15.26,15.31,9805
2003-09-22,15.21,15.26,15.16,15.21,6987
2003-09-23,14.87,15.65,14.77,14.96,11534
2003-09-24,15.16,15.26,15.06,15.11,6532
2003-09-25,15.06,15.06,14.77,14.87,3371
2003-09-26,15.26,15.31,14.96,15.06,6659
2003-09-29,15.16,15.35,15.01,15.11,3203
2003-09-30,15.01,15.26,14.96,15.11,2763
2003-10-01,15.01,15.01,14.77,14.96,5213
2003-10-03,15.01,15.21,15.01,15.06,14060
2003-10-06,15.26,15.26,15.01,15.06,3712
2003-10-07,15.16,15.45,15.11,15.16,7396
2003-10-08,15.21,15.26,15.06,15.06,4300
2003-10-09,15.06,15.26,15.01,15.01,12895
2003-10-10,15.06,15.26,15.06,15.21,6096
2003-10-13,15.5,15.6,14.96,15.5,10734
2003-10-14,15.5,15.65,15.35,15.45,8483
2003-10-15,15.5,16.14,15.45,15.89,10370
2003-10-16,15.75,16.19,15.65,15.84,24322
2003-10-17,16.14,16.63,16.04,16.19,19099
2003-10-20,15.89,16.33,15.65,15.94,9696
2003-10-21,15.65,15.75,15.16,15.5,7582
2003-10-22,15.4,15.79,15.35,15.5,3392
2003-10-23,15.45,15.55,15.26,15.35,10783
2003-10-24,15.21,15.35,15.16,15.26,4400
2003-10-25,15.4,15.65,15.4,15.6,3942
2003-10-27,16.14,16.14,15.7,15.84,9664
2003-10-28,16.04,16.28,15.89,15.99,37126
2003-10-29,16.53,16.53,15.84,15.94,10436
2003-10-30,15.84,16.63,15.84,16.53,16455
2003-10-31,16.63,18.0,16.23,17.56,62455
2003-11-03,17.41,17.6,16.53,16.87,11745
2003-11-04,17.12,17.31,16.72,17.12,12557
2003-11-05,17.46,17.46,16.77,17.12,20570
2003-11-06,16.14,17.26,16.14,16.97,8181
2003-11-07,17.16,17.21,17.12,17.12,13142
2003-11-10,17.21,17.21,17.12,17.16,6950
2003-11-11,17.21,17.36,17.07,17.21,10104
2003-11-12,17.21,18.48,17.21,17.7,78870
2003-11-13,17.85,18.09,17.6,17.65,25879
2003-11-14,17.36,17.8,17.36,17.6,38054
2003-11-15,17.6,17.6,17.46,17.6,4250
2003-11-17,17.6,18.09,17.6,18.04,15306
2003-11-18,18.34,18.92,18.09,18.58,30645
