date,open,high,low,close,volume
2003-09-05,44.1,45.0,44.0,44.58,23170
2003-09-08,44.63,45.59,44.6,45.14,31110
2003-09-09,45.0,45.59,44.0,45.08,13298
2003-09-10,45.47,45.48,44.0,44.5,9012
2003-09-11,44.5,45.0,44.2,44.77,10166
2003-09-12,44.8,44.85,44.2,44.31,11487
2003-09-15,44.2,44.5,43.0,43.45,11057
2003-09-16,43.01,44.0,42.26,43.74,6021
2003-09-17,43.71,43.71,42.8,43.09,12271
2003-09-18,42.0,42.8,41.7,41.86,12556
2003-09-19,41.9,43.89,41.5,43.48,13087
2003-09-22,41.5,43.79,41.12,43.6,7621
2003-09-23,42.24,43.94,42.24,43.66,6863
2003-09-24,44.0,44.24,43.42,44.1,8947
2003-09-25,44.01,44.72,43.8,44.14,20287
2003-09-26,43.5,44.6,43.5,44.56,4354
2003-09-29,44.5,44.6,44.2,44.5,6130
2003-09-30,44.5,45.5,44.14,44.95,47713
2003-10-01,45.0,45.9,45.0,45.74,21066
2003-10-03,45.5,47.0,44.75,46.54,15721
2003-10-06,46.8,47.0,45.9,46.85,57958
2003-10-07,47.4,49.0,47.4,47.96,83540
2003-10-08,48.4,50.48,48.1,49.41,44340
2003-10-09,50.37,50.37,48.5,49.08,36869
2003-10-10,49.99,52.5,49.1,52.05,30474
2003-10-13,52.5,54.9,52.1,53.52,50315
2003-10-14,53.4,53.8,50.1,52.61,27812
2003-10-15,53.0,55.0,51.86,54.22,77061
2003-10-16,53.8,54.5,53.02,53.7,23888
2003-10-17,54.6,54.6,52.1,52.47,23878
2003-10-20,53.2,53.3,51.0,51.33,21169
2003-10-21,51.1,51.99,50.4,51.14,19161
2003-10-22,50.7,51.49,50.42,50.78,8994
2003-10-23,50.88,52.7,50.8,51.89,17795
2003-10-24,51.6,53.3,51.33,53.0,10586
2003-10-25,53.5,55.0,53.5,54.52,14433
2003-10-27,54.5,55.5,54.5,54.87,18838
2003-10-28,55.12,55.2,53.91,53.99,94047
2003-10-29,54.2,54.2,52.01,53.66,15503
2003-10-30,53.52,56.0,53.4,55.27,34819
2003-10-31,55.4,57.0,55.4,56.41,30340
2003-11-03,56.4,57.35,56.1,56.7,17127
2003-11-04,56.1,61.5,56.1,59.59,42247
2003-11-05,59.5,60.7,57.01,57.21,19276
2003-11-06,58.1,59.66,57.1,57.85,17749
2003-11-07,57.85,62.0,57.5,61.37,97749
2003-11-10,63.0,64.0,62.61,63.02,45225
2003-11-11,63.5,65.0,63.26,64.57,54687
2003-11-12,65.24,68.8,65.2,67.83,52386
2003-11-13,68.5,68.99,65.21,66.54,32427
2003-11-14,66.4,67.99,65.1,65.69,24140
2003-11-15,65.01,67.8,65.0,66.85,4721
2003-11-17,67.0,67.2,66.12,66.74,10703
2003-11-18,69.79,69.79,65.5,66.01,12140
2003-11-19,69.0,69.0,65.3,66.3,15065
2003-11-20,67.0,67.0,65.26,66.48,14703
2003-11-21,66.0,68.5,63.65,66.55,14905
2003-11-24,68.0,70.1,67.5,69.67,37925
2003-11-25,70.3,71.0,69.23,70.2,32390
2003-11-27,70.1,71.5,70.01,70.96,23132
2003-11-28,70.5,71.5,69.5,70.84,18309
2003-12-01,70.5,75.99,70.5,74.97,83348
2003-12-02,75.8,77.8,75.21,76.59,66488
2003-12-03,82.0,90.2,80.5,83.68,118687
2003-12-04,86.5,86.99,83.0,85.71,81802
2003-12-05,86.0,89.9,85.8,88.04,58149
2003-12-08,88.0,90.0,86.0,87.59,29581
2003-12-09,87.7,88.5,85.83,87.36,30201
2003-12-10,78.0,87.4,78.0,85.69,14359
2003-12-11,86.2,87.0,74.14,86.45,25351
2003-12-12,85.0,86.5,85.0,86.21,16974
2003-12-15,87.09,90.9,86.2,90.31,58782
2003-12-16,90.48,106.6,90.0,95.41,71933
2003-12-17,95.6,97.8,90.32,91.54,28662
2003-12-18,90.1,95.4,90.0,91.15,21286
2003-12-19,92.29,95.4,91.5,94.99,70364
2003-12-22,94.8,99.1,94.5,97.8,77190
2003-12-23,99.0,99.9,96.1,96.91,49629
2003-12-24,96.01,98.0,96.01,97.26,13842
