date,open,high,low,close,volume
2006-12-20,1090.13,1214.72,893.57,901.94,13380843
2006-12-21,908.12,922.72,876.0,907.39,3645744
2006-12-22,925.64,991.34,915.61,981.36,4011459
2006-12-26,987.93,1002.53,958.1,976.93,2335098
2006-12-27,983.06,992.8,958.73,966.71,1369166
2006-12-28,963.6,968.46,941.4,959.17,1274436
2006-12-29,971.58,988.81,963.6,969.53,1070751
2007-01-02,975.28,994.74,962.62,985.55,737567
2007-01-03,992.8,994.55,969.44,975.08,584895
2007-01-04,979.17,1002.53,958.73,996.74,1719801
2007-01-05,996.5,1069.69,988.9,1064.63,3132098
2007-01-08,1067.55,1098.11,1047.3,1072.76,1629606
2007-01-09,1074.56,1095.97,1047.3,1059.52,703089
2007-01-10,1056.21,1068.72,1037.18,1050.71,761456
2007-01-11,994.99,1068.62,994.99,1051.0,627409
2007-01-12,999.95,1088.86,999.95,1059.57,720376
2007-01-15,1095.0,1095.0,1051.2,1056.01,416364
2007-01-16,1061.9,1064.82,1031.73,1041.76,280836
2007-01-17,1051.2,1070.66,1033.68,1055.24,443724
2007-01-18,1055.72,1061.9,1017.13,1025.74,278243
2007-01-19,1045.26,1045.26,986.96,1012.6,372612
2007-01-22,1023.07,1055.09,1018.1,1042.39,449513
2007-01-23,1046.33,1048.08,1017.13,1024.77,258392
2007-01-24,1026.28,1034.65,1014.7,1023.16,115695
2007-01-25,1028.81,1035.62,1017.18,1027.74,315043
2007-01-29,1029.78,1036.6,1007.4,1011.68,117047
2007-01-31,1014.21,1019.86,949.0,956.05,301592
2007-02-01,963.6,971.09,936.39,945.3,161204
2007-02-02,953.86,1022.0,951.24,1003.75,488064
2007-02-05,1003.5,1019.08,979.46,990.61,188296
2007-02-06,997.66,1004.18,954.84,984.18,308751
2007-02-07,987.93,990.85,942.18,947.49,245749
2007-02-08,953.86,958.73,937.32,944.42,223173
2007-02-09,953.86,953.86,878.43,887.82,519995
2007-02-12,881.84,887.68,798.13,803.68,508730
2007-02-13,799.1,825.09,743.38,793.46,713814
2007-02-14,778.66,804.94,733.16,782.85,638163
2007-02-15,807.86,853.61,793.26,838.23,415882
2007-02-19,866.26,871.13,793.26,806.79,292822
2007-02-20,807.86,807.86,774.77,780.76,276743
2007-02-21,788.4,802.02,776.72,794.77,367705
2007-02-22,797.5,801.98,773.8,780.61,258248
2007-02-23,780.61,787.42,752.38,771.41,390182
2007-02-26,768.93,798.13,752.77,774.14,261609
2007-02-27,774.77,805.38,758.71,767.08,307693
2007-02-28,749.46,763.09,701.77,726.25,535884
2007-03-01,727.08,750.63,719.58,746.11,286887
2007-03-02,749.46,755.89,715.54,720.6,181740
2007-03-05,717.34,720.26,678.41,680.26,152594
2007-03-06,681.33,729.95,648.34,653.4,298356
2007-03-07,681.33,681.33,603.46,617.77,342698
2007-03-08,631.69,675.98,608.33,663.18,341013
2007-03-09,680.02,719.29,632.66,695.15,389721
2007-03-12,695.93,715.54,679.97,703.28,208749
2007-03-13,706.35,792.29,681.33,771.27,814065
2007-03-14,739.73,802.02,715.45,766.11,1579553
2007-03-15,778.62,796.18,771.41,778.71,538591
2007-03-16,779.64,787.33,745.62,753.6,340821
2007-03-19,766.01,773.8,750.53,758.27,141626
2007-03-20,768.64,776.23,759.2,766.84,133622
2007-03-21,781.1,787.42,759.2,770.15,153170
2007-03-22,777.5,786.45,772.34,777.59,136300
2007-03-23,779.25,780.61,754.33,758.32,65784
2007-03-26,759.2,763.09,736.81,742.16,63197
2007-03-28,744.6,744.6,705.66,710.38,126758
2007-03-29,729.02,789.37,700.8,772.19,457180
2007-03-30,772.19,794.24,759.29,781.97,675590
2007-04-02,749.46,753.26,720.51,728.34,222437
2007-04-03,725.03,730.0,706.64,717.15,237356
2007-04-04,725.13,739.73,715.74,720.6,150968
2007-04-05,723.18,748.49,715.4,732.53,357568
2007-04-09,739.73,778.42,734.86,771.56,689517
2007-04-10,760.41,793.95,760.41,782.07,601663
2007-04-11,787.42,795.21,768.98,775.35,241967
2007-04-12,764.06,803.97,759.25,775.31,387832
2007-04-13,761.44,808.74,761.44,798.52,555435
2007-04-16,799.1,827.33,799.1,813.85,403772
2007-04-17,807.86,821.49,784.5,788.15,219683
2007-04-18,790.83,810.25,789.37,798.13,224314
2007-04-19,779.64,797.64,778.66,787.67,207614
2007-04-20,793.31,806.74,788.4,797.6,187646
2007-04-23,812.73,812.73,784.75,793.17,151876
2007-04-24,792.29,841.74,783.53,833.95,458909
2007-04-25,875.95,909.09,837.06,893.71,871341
2007-04-26,904.22,910.06,857.84,864.9,551912
2007-04-27,858.48,874.05,837.06,843.39,406595
2007-04-30,828.84,858.28,827.33,846.85,173370
2007-05-03,851.66,871.13,849.96,856.48,184059
2007-05-04,859.45,885.44,856.53,863.3,287275
2007-05-07,874.05,876.97,837.06,841.01,230929
2007-05-08,842.9,865.29,828.55,832.15,175349
2007-05-09,833.17,850.69,823.05,844.75,165975
2007-05-10,853.22,865.92,837.06,840.03,185925
2007-05-11,827.33,849.72,820.52,840.71,150013
2007-05-14,875.02,875.02,842.9,850.11,211679
2007-05-15,856.53,860.23,837.55,841.98,95330
2007-05-16,841.93,890.6,839.01,885.58,396886
2007-05-17,895.46,914.74,888.65,910.4,415786
2007-05-18,905.2,929.53,896.44,915.85,261870
2007-05-21,918.34,958.73,903.25,955.13,466116
2007-05-22,953.86,961.07,914.93,924.13,125942
2007-05-23,924.13,948.7,902.28,915.08,174300
2007-05-24,901.3,938.29,881.11,887.63,127468
2007-05-25,876.0,919.8,874.05,911.86,185577
2007-05-28,918.82,945.1,900.33,911.72,179983
2007-05-29,914.64,930.5,902.47,906.07,125603
2007-05-30,902.28,917.85,887.68,893.03,124411
2007-05-31,900.33,916.88,885.73,891.08,96869
2007-06-01,904.03,912.01,897.41,903.25,121929
2007-06-04,907.24,913.71,890.6,898.04,104501
2007-06-05,886.7,906.17,886.7,900.67,51456
2007-06-06,903.25,942.67,884.76,893.27,340893
2007-06-07,890.6,913.96,854.58,869.77,183186
