date,open,high,low,close,volume
2002-01-01,12.3,12.94,11.59,11.89,602025
2002-01-02,12.15,12.19,11.29,11.74,263271
2002-01-03,12.34,12.6,11.93,12.23,346363
2002-01-04,12.79,13.28,12.3,12.49,582892
2002-01-07,12.75,13.05,12.6,12.75,389291
2002-01-08,12.9,12.94,12.08,12.45,366933
2002-01-09,12.34,12.68,11.63,11.74,353965
2002-01-10,11.7,11.93,11.33,11.66,207595
2002-01-11,11.96,11.96,10.91,11.25,239148
2002-01-14,9.9,11.33,9.9,10.8,632446
2002-01-15,10.31,10.8,10.13,10.43,419196
2002-01-16,10.61,10.61,10.28,10.43,294147
2002-01-17,10.46,10.73,9.98,10.61,317483
2002-01-18,10.95,11.1,10.5,10.58,224607
2002-01-21,10.5,10.65,10.24,10.31,134538
2002-01-22,10.43,10.46,10.13,10.2,139060
2002-01-23,10.13,10.35,10.13,10.16,84820
2002-01-24,10.35,10.39,9.94,10.05,108272
2002-01-25,10.31,10.31,9.98,10.13,95165
2002-01-28,10.5,10.5,9.94,9.98,67437
2002-01-29,10.5,10.5,10.01,10.05,69853
2002-01-30,10.31,10.31,9.86,10.01,64951
2002-01-31,10.05,10.2,9.98,10.09,74760
2002-02-01,10.39,10.39,10.13,10.16,115493
2002-02-04,10.28,10.88,9.98,10.43,225175
2002-02-05,10.24,10.5,10.05,10.13,101001
2002-02-06,10.35,10.88,10.05,10.39,231316
2002-02-07,10.46,11.1,10.24,10.35,287276
2002-02-08,10.39,10.73,10.13,10.39,208073
2002-02-11,10.13,10.88,9.94,10.16,207467
2002-02-12,10.43,10.46,9.98,10.05,130866
2002-02-13,10.16,10.24,10.01,10.09,62774
2002-02-14,10.28,10.28,10.01,10.09,101548
2002-02-15,10.13,10.13,9.9,9.94,106521
2002-02-18,10.05,10.13,9.79,9.9,112384
2002-02-19,10.2,10.24,9.86,9.9,135901
2002-02-20,9.9,10.13,9.75,9.79,96180
2002-02-21,9.9,10.01,9.75,9.86,100824
2002-02-22,9.83,9.94,9.64,9.83,82145
2002-02-25,9.79,9.94,9.68,9.75,81533
2002-02-26,9.79,9.9,9.75,9.83,65602
2002-02-27,9.86,9.98,9.75,9.75,83159
2002-02-28,9.71,9.86,9.0,9.19,217599
2002-03-01,9.38,9.38,8.66,9.0,133897
2002-03-04,7.88,9.75,7.88,8.89,129499
2002-03-05,9.04,10.69,9.04,9.9,826971
2002-03-06,10.13,10.28,9.64,9.71,228745
2002-03-07,9.38,9.98,9.38,9.71,99320
2002-03-08,10.05,11.66,10.05,11.63,1669339
2002-03-11,12.6,12.68,11.51,11.81,1295301
2002-03-12,12.0,12.04,10.88,10.99,572842
2002-03-13,11.1,11.78,10.61,11.48,662902
2002-03-14,11.48,12.19,11.44,11.96,904308
2002-03-15,12.08,13.13,11.81,12.86,1271408
2002-03-18,13.43,13.5,12.75,12.86,997727
2002-03-19,13.13,13.69,12.23,12.6,1528677
2002-03-20,12.56,12.94,11.93,12.11,495053
2002-03-21,12.19,12.41,11.93,12.04,328780
2002-03-22,12.26,13.01,12.15,12.53,718690
2002-03-26,12.41,12.64,11.81,11.96,252525
2002-03-27,11.96,12.6,11.96,12.23,275386
2002-03-28,12.11,12.68,12.04,12.41,277974
2002-04-01,12.49,12.6,11.85,11.93,297790
2002-04-02,11.89,12.38,10.99,11.14,464869
2002-04-03,10.99,11.55,10.73,11.18,224404
2002-04-04,11.25,11.55,11.25,11.48,151115
2002-04-05,11.51,11.59,11.21,11.33,100801
2002-04-08,11.33,11.33,10.88,10.95,152327
2002-04-09,11.25,11.25,10.73,11.1,172157
2002-04-10,11.03,12.0,11.03,11.89,401432
2002-04-11,12.0,12.6,11.81,11.93,486258
2002-04-12,12.0,12.3,11.55,11.7,415908
2002-04-15,12.83,13.28,11.7,12.34,1059438
2002-04-16,12.49,14.18,11.96,13.69,1726607
2002-04-17,14.18,15.0,13.31,13.58,1091161
2002-04-18,13.13,13.8,12.79,12.86,470372
2002-04-19,12.9,13.8,12.45,12.6,827873
