date,open,high,low,close,volume
2002-01-01,2.65,2.65,2.48,2.48,11401
2002-01-02,2.45,2.58,2.45,2.55,1200
2002-01-03,2.45,2.5,2.43,2.5,4550
2002-01-04,2.33,2.5,2.33,2.5,9000
2002-01-07,2.5,2.53,2.43,2.43,2500
2002-01-08,2.38,2.38,2.3,2.38,500
2002-01-09,2.33,2.5,2.33,2.33,1700
2002-01-10,2.38,2.45,2.38,2.38,3449
2002-01-11,2.33,2.45,2.33,2.35,2300
2002-01-14,2.4,2.4,2.35,2.35,1800
2002-01-15,2.3,2.35,2.3,2.35,1400
2002-01-16,2.33,2.33,2.25,2.25,4600
2002-01-17,2.23,2.35,2.23,2.35,2150
2002-01-18,2.28,2.45,2.28,2.33,3200
2002-01-21,2.28,2.4,2.25,2.28,2201
2002-01-22,2.25,2.35,2.25,2.33,600
2002-01-23,2.25,2.4,2.15,2.38,18159
2002-01-24,2.3,2.48,2.3,2.38,5501
2002-01-25,2.5,2.5,2.35,2.35,3301
2002-01-28,2.5,2.5,2.33,2.35,2501
2002-01-29,2.5,2.5,2.35,2.38,6605
2002-01-30,2.35,2.4,2.35,2.38,2700
2002-01-31,2.38,2.48,2.38,2.38,3900
2002-02-01,2.3,2.4,2.3,2.35,7750
2002-02-04,2.33,2.38,2.25,2.25,11001
2002-02-05,2.23,2.35,2.23,2.35,2021
2002-02-06,2.35,2.5,2.33,2.5,6679
2002-02-07,2.43,2.5,2.38,2.4,8300
2002-02-08,2.38,2.48,2.35,2.35,8800
2002-02-11,2.45,2.5,2.35,2.5,4800
2002-02-12,2.58,2.58,2.33,2.38,2515
2002-02-13,2.43,2.43,2.33,2.33,11095
2002-02-14,2.25,2.4,2.25,2.4,7400
2002-02-15,2.55,2.6,2.5,2.6,13450
2002-02-18,2.65,2.8,2.63,2.8,17650
2002-02-19,2.63,2.9,2.63,2.83,14444
2002-02-20,2.75,2.83,2.75,2.78,9150
2002-02-21,2.68,2.75,2.68,2.68,2725
2002-02-22,2.6,2.6,2.58,2.58,1100
2002-02-25,2.7,2.7,2.5,2.65,4184
2002-02-26,2.58,2.65,2.55,2.55,14400
2002-02-27,2.53,2.6,2.53,2.53,6650
2002-02-28,2.55,2.58,2.5,2.5,11450
2002-03-01,2.4,2.55,2.4,2.4,3010
2002-03-04,2.45,2.5,2.35,2.48,6800
2002-03-05,2.38,2.4,2.38,2.38,10984
2002-03-06,2.3,2.43,2.3,2.3,11200
2002-03-07,2.3,2.35,2.3,2.35,4800
2002-03-08,2.3,2.38,2.3,2.38,1000
2002-03-11,2.4,2.85,2.4,2.53,15840
2002-03-12,3.03,3.03,2.45,2.48,12404
2002-03-13,2.6,2.6,2.48,2.5,18761
2002-03-14,2.55,2.6,2.55,2.55,13210
2002-03-15,2.55,2.7,2.55,2.6,7751
2002-03-18,2.75,2.75,2.6,2.63,27034
2002-03-19,2.63,2.83,2.6,2.63,40092
2002-03-20,2.85,2.85,2.68,2.75,9000
2002-03-21,2.73,2.93,2.73,2.9,14383
2002-03-22,3.05,3.5,3.05,3.48,58049
