date,open,high,low,close,volume
2002-01-01,2.94,2.99,2.93,2.96,16011
2002-01-02,2.96,2.98,2.94,2.95,19504
2002-01-03,2.91,3.04,2.91,2.96,24772
2002-01-04,3.06,3.08,2.94,2.95,23230
2002-01-07,2.97,3.1,2.94,2.95,10625
2002-01-08,2.94,3.0,2.93,2.95,26669
2002-01-09,2.91,3.01,2.91,2.97,26471
2002-01-10,3.0,3.04,2.97,3.0,36112
2002-01-11,3.0,3.0,2.94,2.98,17539
2002-01-14,3.0,3.02,2.94,2.95,21072
2002-01-15,2.95,3.03,2.95,3.0,11724
2002-01-16,2.98,3.09,2.98,3.05,9193
2002-01-17,3.04,3.15,3.04,3.13,12931
2002-01-18,3.13,3.3,3.13,3.22,42643
2002-01-21,3.22,3.31,3.22,3.29,40778
2002-01-22,3.29,3.37,3.29,3.35,49827
2002-01-23,3.34,3.36,3.24,3.24,26691
2002-01-24,3.24,3.58,3.23,3.5,168873
2002-01-25,3.59,3.7,3.4,3.47,294046
2002-01-28,3.56,3.6,3.36,3.42,79802
2002-01-29,3.45,3.46,3.2,3.26,115475
2002-01-30,3.17,3.51,3.17,3.45,76749
2002-01-31,3.41,3.6,3.41,3.52,79718
2002-02-01,3.5,3.6,3.46,3.49,46484
2002-02-04,3.65,3.65,3.34,3.4,114151
2002-02-05,3.41,3.45,3.3,3.32,28904
2002-02-06,3.4,3.58,3.4,3.47,67053
2002-02-07,3.45,3.6,3.4,3.46,101554
2002-02-08,3.5,3.57,3.4,3.42,46017
2002-02-11,3.51,3.55,3.42,3.42,58671
2002-02-12,3.52,3.52,3.39,3.42,37373
2002-02-13,3.48,3.5,3.4,3.43,80333
2002-02-14,3.47,3.48,3.43,3.45,44775
2002-02-15,3.54,4.14,3.45,4.13,465249
2002-02-18,4.25,4.27,3.85,3.9,205122
2002-02-19,3.96,4.0,3.71,3.75,79501
2002-02-20,3.76,3.94,3.7,3.73,98473
2002-02-21,3.62,3.9,3.56,3.74,54215
2002-02-22,3.62,3.79,3.62,3.71,22571
2002-02-25,3.8,3.83,3.67,3.71,56769
2002-02-26,3.7,3.79,3.63,3.66,48225
2002-02-27,3.72,3.74,3.6,3.67,44876
2002-02-28,3.63,3.72,3.4,3.43,128798
2002-03-01,3.47,3.5,3.37,3.44,55769
2002-03-04,3.49,3.7,3.38,3.61,54214
2002-03-05,3.8,3.8,3.58,3.6,40200
2002-03-06,3.65,3.65,3.51,3.53,48624
2002-03-07,3.5,3.51,3.44,3.47,36646
2002-03-08,3.68,3.68,3.44,3.48,16611
2002-03-11,3.72,3.72,3.43,3.48,27381
2002-03-12,3.46,3.49,3.4,3.41,38438
2002-03-13,3.48,3.49,3.41,3.45,9559
2002-03-14,3.52,3.52,3.38,3.4,17953
2002-03-15,3.43,3.45,3.36,3.38,24293
2002-03-18,3.35,3.47,3.3,3.42,45407
2002-03-19,3.42,4.06,3.38,3.89,2025876
2002-03-20,3.95,4.12,3.71,3.74,268616
2002-03-21,3.4,3.86,3.4,3.73,48246
2002-03-22,3.7,3.75,3.55,3.58,30354
2002-03-26,3.54,3.6,3.53,3.58,12120
2002-03-27,3.51,3.58,3.51,3.57,13448
2002-03-28,3.74,3.74,3.54,3.56,6907
2002-04-01,3.67,3.67,3.54,3.55,6419
2002-04-02,3.51,3.62,3.51,3.58,17172
2002-04-03,3.58,3.6,3.52,3.54,17509
2002-04-04,3.54,3.61,3.52,3.6,22997
2002-04-05,3.8,3.8,3.6,3.64,37693
2002-04-08,3.72,4.04,3.67,3.77,117692
2002-04-09,3.9,4.06,3.77,3.84,122822
2002-04-10,3.83,3.94,3.77,3.82,36429
