date,open,high,low,close,volume
2003-09-05,31.61,31.73,31.19,31.3,2796
2003-09-08,31.39,32.04,31.39,31.84,2335
2003-09-09,32.06,32.73,31.41,31.46,4602
2003-09-10,29.6,32.29,29.6,31.68,5025
2003-09-11,31.61,31.95,31.61,31.9,2955
2003-09-12,32.06,32.06,31.57,31.84,3058
2003-09-15,31.84,32.06,31.16,31.62,3436
2003-09-16,31.41,32.03,31.39,31.77,3263
2003-09-17,31.84,32.06,31.46,32.02,5473
2003-09-18,32.51,32.51,31.12,31.31,9309
2003-09-19,32.06,32.06,29.27,30.81,5615
2003-09-22,30.97,31.38,30.72,31.14,3975
2003-09-23,30.94,31.12,30.09,30.88,5433
2003-09-24,30.51,31.16,30.29,30.88,1781
2003-09-25,30.67,31.11,30.17,30.49,4638
2003-09-26,30.72,31.32,30.72,30.78,1950
2003-09-29,31.84,31.99,30.96,31.01,3214
2003-09-30,31.16,31.16,30.75,30.76,1473
2003-10-01,31.15,31.15,30.78,30.85,1425
2003-10-03,30.94,31.61,30.84,30.95,3780
2003-10-06,31.16,36.76,31.05,33.97,12922
2003-10-07,34.19,36.1,33.23,33.93,8435
2003-10-08,34.15,34.68,33.63,33.98,4248
2003-10-09,34.19,40.78,33.49,40.36,20110
2003-10-10,40.81,46.86,40.58,45.03,46918
2003-10-13,48.07,48.07,42.73,44.58,16873
2003-10-14,44.37,45.03,40.02,40.66,13708
2003-10-15,42.13,42.82,41.05,41.78,7330
2003-10-16,41.37,44.59,41.37,43.59,8489
2003-10-17,43.94,46.41,43.74,44.4,34203
2003-10-20,44.84,44.84,43.07,43.28,3338
2003-10-21,41.97,42.8,40.36,40.79,2663
2003-10-22,41.37,41.37,39.68,40.31,2743
2003-10-23,40.81,41.48,39.91,39.92,2001
2003-10-24,39.91,40.36,38.11,39.99,1369
2003-10-25,40.81,40.81,39.93,40.4,585
2003-10-27,40.58,40.76,38.25,38.99,1721
2003-10-28,39.24,39.24,37.44,37.94,1375
2003-10-29,38.56,39.01,37.95,38.81,3987
2003-10-30,38.68,39.01,38.56,38.9,2600
2003-10-31,38.84,40.81,38.79,39.68,3396
2003-11-03,41.03,43.27,39.93,40.3,18068
2003-11-04,40.41,42.15,40.4,40.83,7370
2003-11-05,41.25,41.25,39.68,39.98,6663
2003-11-06,40.03,41.48,40.03,40.61,8051
2003-11-07,41.2,41.2,40.13,40.2,4622
2003-11-10,39.24,40.36,39.24,40.21,709
2003-11-11,40.33,41.01,39.01,39.74,9897
2003-11-12,40.33,40.36,38.79,38.99,8817
2003-11-13,39.24,40.11,38.11,38.24,11642
2003-11-14,38.34,38.41,36.81,37.13,3265
2003-11-15,36.55,37.89,36.55,37.89,300
2003-11-17,38.41,38.56,38.01,38.35,3955
2003-11-18,38.45,39.24,38.32,38.47,6522
2003-11-19,38.23,38.56,38.0,38.19,5202
2003-11-20,38.13,38.13,35.87,36.94,10749
2003-11-21,36.99,37.44,36.1,36.43,2469
2003-11-24,37.46,37.46,36.46,37.25,1030
2003-11-25,38.5,38.5,36.99,37.04,4275
2003-11-27,38.22,39.46,38.08,39.02,5451
2003-11-28,39.46,39.46,31.55,38.04,11619
2003-12-01,38.99,40.92,38.99,40.36,10179
2003-12-02,41.03,42.53,40.31,40.5,19458
2003-12-03,40.36,43.6,39.68,42.45,16957
2003-12-04,44.59,44.59,41.03,41.3,10723
2003-12-05,42.24,42.24,39.92,40.37,11241
2003-12-08,40.36,40.36,39.01,39.33,14202
2003-12-09,40.13,41.48,39.8,41.34,14751
2003-12-10,42.37,45.51,41.7,44.62,33055
2003-12-11,44.84,46.86,43.96,44.4,18651
2003-12-12,44.42,44.84,43.72,43.88,8571
2003-12-15,43.72,46.84,43.72,43.84,17954
2003-12-16,45.29,45.96,44.17,44.67,4851
2003-12-17,45.21,45.27,44.39,44.78,11546
2003-12-18,45.15,45.49,44.5,44.71,8585
2003-12-19,44.84,45.51,42.15,44.59,14195
2003-12-22,45.96,45.96,44.42,45.1,7148
2003-12-23,45.51,45.51,43.33,44.1,5880
2003-12-24,44.62,44.62,43.5,44.25,1935
2003-12-26,44.17,45.29,43.83,44.5,5286
2003-12-29,46.41,51.43,44.39,44.91,10835
2003-12-30,45.29,45.95,43.1,43.66,6755
2003-12-31,43.72,45.82,43.72,44.76,13250
2004-01-01,45.29,53.59,45.29,52.91,73395
