date,open,high,low,close,volume
2005-10-19,119.77,130.96,108.76,129.86,30425006
2005-10-20,131.39,132.65,119.39,121.25,7815706
2005-10-21,119.07,130.26,119.07,126.3,5124627
2005-10-24,128.76,129.33,121.51,122.57,2225012
2005-10-25,120.2,124.39,120.2,123.55,1264055
2005-10-26,123.69,129.66,121.9,128.93,2711242
2005-10-27,129.12,131.89,123.93,126.67,2695751
2005-10-28,125.58,126.14,121.9,122.89,1051204
2005-10-31,124.64,134.95,122.95,133.94,2401240
2005-11-01,134.58,138.47,131.81,133.05,511694
2005-11-02,133.08,138.96,128.35,138.16,3258153
2005-11-07,138.7,143.37,133.13,135.95,2626915
2005-11-08,137.54,148.44,136.36,143.13,3071950
2005-11-09,142.45,147.32,138.65,139.93,2780154
2005-11-10,141.14,144.45,139.92,142.82,1698349
2005-11-11,143.2,146.94,143.01,145.39,1531844
2005-11-14,145.04,145.99,140.57,141.0,1267073
2005-11-16,147.88,147.88,140.21,140.84,891172
2005-11-17,141.54,145.22,140.57,143.16,1179251
2005-11-18,143.38,145.45,140.95,141.68,761190
2005-11-21,141.88,143.52,138.7,139.47,960047
2005-11-22,139.26,140.74,136.5,137.15,999652
2005-11-23,138.24,139.79,136.07,138.78,759775
2005-11-24,139.64,141.51,138.51,139.29,1107063
2005-11-25,140.55,142.92,140.01,142.28,1082568
2005-11-26,143.38,145.26,142.27,144.72,523811
2005-11-28,145.82,154.57,145.45,153.94,1949174
2005-11-29,154.63,162.13,154.63,160.52,3034524
2005-11-30,161.23,166.41,157.94,159.56,2902076
2005-12-01,164.92,164.92,159.04,161.88,1368359
2005-12-02,163.76,163.91,156.18,157.0,1022326
2005-12-05,158.51,160.05,157.05,158.42,648691
2005-12-06,160.13,160.13,153.41,153.99,855988
2005-12-07,155.57,156.84,150.7,152.68,1376764
2005-12-08,153.45,155.9,152.78,154.99,762528
2005-12-09,155.57,168.68,155.38,166.89,2458663
2005-12-12,166.81,175.94,163.44,169.96,4723939
2005-12-13,168.87,173.64,168.87,171.05,1653230
2005-12-14,171.2,177.5,169.62,175.14,2660426
2005-12-15,175.49,178.02,166.46,169.19,1897070
2005-12-16,171.48,174.3,169.47,173.08,1087796
2005-12-19,173.75,176.37,170.55,172.43,1085922
2005-12-20,172.81,174.56,168.03,169.34,1309770
2005-12-21,171.78,171.78,166.83,168.48,810093
2005-12-22,169.62,170.0,164.23,165.5,793526
2005-12-23,166.42,167.34,163.63,164.4,591223
2005-12-26,165.95,165.95,159.69,160.87,519988
2005-12-27,161.19,167.88,158.57,167.23,702974
2005-12-28,168.14,169.93,165.33,165.95,671363
2005-12-29,170.0,170.0,163.44,164.2,629906
2005-12-30,165.31,169.44,164.94,167.68,506413
2006-01-02,168.69,169.62,166.66,167.95,328574
2006-01-03,168.69,169.62,167.56,168.03,213321
2006-01-04,169.25,171.58,168.07,169.32,393057
2006-01-05,169.9,170.56,167.55,168.59,375063
2006-01-06,169.81,170.19,165.59,166.15,281963
2006-01-09,169.62,169.81,166.06,166.98,440615
2006-01-10,166.44,167.73,161.22,161.87,213287
2006-01-12,161.0,161.71,152.76,156.0,706426
2006-01-13,161.15,163.42,154.63,161.49,934645
2006-01-16,162.88,164.9,158.01,162.37,577013
2006-01-17,163.44,164.54,160.25,163.37,353748
2006-01-18,153.98,165.88,147.51,164.43,398084
2006-01-19,164.56,169.81,164.56,168.35,365809
2006-01-20,169.62,173.37,168.13,172.31,595359
2006-01-23,170.92,174.29,168.69,171.78,276669
2006-01-24,172.07,177.12,172.07,175.79,460733
2006-01-25,176.18,186.1,176.18,183.01,658191
2006-01-27,184.62,215.17,184.62,211.25,1967419
2006-01-30,213.67,217.29,193.24,201.7,2266485
2006-01-31,204.3,223.42,201.73,218.8,2748956
2006-02-01,216.67,217.93,203.98,205.85,1838449
2006-02-02,206.36,214.01,204.32,206.83,1153424
2006-02-03,208.05,208.74,197.74,198.7,1004854
2006-02-06,199.05,204.11,196.8,199.71,765268
2006-02-07,203.17,207.86,200.61,206.51,1280271
2006-02-08,206.74,207.11,198.68,202.9,590360
2006-02-10,204.3,207.8,202.24,205.15,540509
2006-02-13,205.24,208.42,202.61,205.49,382519
2006-02-14,206.17,211.74,203.36,204.42,505782
2006-02-15,206.92,208.05,198.68,199.88,713783
2006-02-16,202.05,202.24,198.3,199.15,214494
2006-02-17,198.68,200.93,191.18,192.17,243724
2006-02-20,191.93,195.02,186.17,194.57,477878
2006-02-21,194.93,196.24,193.05,193.93,221268
2006-02-22,194.37,194.93,190.8,192.09,172832
2006-02-23,193.8,200.54,190.05,194.02,904086
2006-02-24,196.61,201.3,194.18,199.99,600417
