date,open,high,low,close,volume
2007-12-28,38.51,38.51,33.26,35.55,3721559
2007-12-31,35.98,42.66,35.58,42.66,2772796
2008-01-01,43.87,45.77,42.41,43.2,1875021
2008-01-02,42.65,43.43,40.85,41.22,635814
2008-01-03,41.68,41.68,38.99,39.1,380649
2008-01-04,39.93,41.82,37.84,38.52,396002
2008-01-07,38.02,40.2,37.53,37.82,232498
2008-01-08,38.46,39.28,36.32,37.07,187794
2008-01-09,37.16,37.16,35.34,35.53,159900
2008-01-10,36.12,37.87,34.75,34.96,179129
2008-01-11,35.14,35.58,34.23,34.51,93935
2008-01-14,34.61,35.92,34.36,34.95,87489
2008-01-15,35.49,35.92,34.61,34.87,72539
2008-01-16,34.36,34.71,32.46,33.44,77307
2008-01-17,33.25,35.49,33.15,34.12,112718
2008-01-18,29.74,34.8,29.74,32.41,54985
2008-01-21,32.56,32.78,26.96,29.13,75631
2008-01-22,26.59,26.59,23.3,24.72,74160
2008-01-23,27.2,29.66,22.42,29.18,58761
2008-01-24,30.85,30.95,25.64,26.29,72679
2008-01-25,27.3,29.05,27.06,28.23,26748
2008-01-28,27.3,29.81,27.05,29.03,30919
2008-01-29,29.25,30.17,28.51,29.29,26015
2008-01-30,29.73,29.73,28.03,28.52,19411
2008-01-31,28.32,29.24,27.39,28.11,13542
2008-02-01,28.27,28.56,26.57,27.25,18391
2008-02-04,27.54,29.0,25.83,27.88,37134
2008-02-05,28.27,28.66,27.78,28.46,33233
2008-02-06,26.1,29.14,26.1,28.42,31311
2008-02-07,27.98,29.0,27.78,27.81,22047
2008-02-08,28.27,28.27,26.08,26.37,25968
2008-02-11,26.32,26.32,23.03,24.36,28677
2008-02-12,23.54,24.37,22.67,23.32,24768
2008-02-13,23.83,24.27,22.52,22.83,37771
2008-02-14,23.88,24.86,23.15,24.62,24105
2008-02-15,23.41,25.53,23.41,25.19,24943
2008-02-18,25.54,29.25,25.25,26.82,18851
2008-02-19,26.86,27.78,26.22,26.65,14983
2008-02-20,25.86,26.42,25.59,25.71,8148
2008-02-21,26.18,26.32,24.86,25.12,7504
2008-02-22,24.62,24.96,24.38,24.66,11069
2008-02-25,24.76,24.76,23.45,24.1,10475
2008-02-26,24.17,24.8,23.69,24.03,18494
2008-02-27,24.62,24.94,24.18,24.39,13323
2008-02-28,23.76,24.62,23.75,24.01,4926
2008-02-29,24.04,24.37,23.7,23.84,6114
2008-03-03,22.47,23.73,21.67,22.32,9536
2008-03-04,22.03,22.81,21.3,21.89,8475
2008-03-05,22.18,22.42,20.05,21.33,8442
2008-03-07,21.2,21.54,19.5,19.54,15647
2008-03-10,19.5,19.5,15.92,18.89,12592
2008-03-11,19.01,21.85,18.28,21.03,21179
2008-03-12,22.18,22.62,21.2,21.4,80969
2008-03-13,20.08,20.53,18.57,20.1,17005
2008-03-14,19.5,21.93,19.31,21.43,16782
2008-03-17,19.08,20.03,17.6,18.07,24017
2008-03-18,18.96,19.2,18.43,18.55,17952
2008-03-19,19.11,19.45,18.77,19.03,26487
2008-03-24,19.69,19.69,15.61,17.3,27403
2008-03-25,18.23,19.01,17.63,18.55,20823
2008-03-26,18.95,19.84,18.42,18.76,11088
2008-03-27,18.35,18.9,17.55,18.28,13029
2008-03-28,18.62,21.03,18.62,20.58,27614
2008-03-31,20.23,22.36,19.01,19.27,57153
2008-04-01,19.89,20.47,19.25,19.64,20400
2008-04-02,20.23,20.57,19.06,19.39,12063
2008-04-03,20.16,20.16,18.76,19.53,5729
2008-04-04,19.96,19.96,18.62,18.98,5953
2008-04-07,17.71,20.11,17.71,19.79,16212
2008-04-08,20.08,20.08,19.21,19.34,3655
2008-04-09,19.4,19.98,18.91,19.49,8678
2008-04-10,19.52,20.72,19.49,20.34,19896
2008-04-11,20.61,21.2,19.98,20.68,18654
2008-04-15,20.67,20.96,19.98,20.39,8555
2008-04-16,20.28,21.79,20.28,20.68,15987
2008-04-17,21.06,21.63,20.67,20.75,13545
2008-04-21,20.57,21.41,20.57,21.19,10646
2008-04-22,21.2,23.12,21.2,22.33,89327
2008-04-23,22.67,23.38,21.75,22.03,42102
2008-04-24,22.66,22.66,21.75,21.93,15355
2008-04-25,21.93,22.27,21.25,21.49,9866
2008-04-28,21.69,21.79,21.2,21.38,8535
2008-04-29,21.76,21.76,21.08,21.27,8261
2008-04-30,21.64,22.15,21.46,21.59,12470
2008-05-02,21.94,22.05,21.7,21.87,10478
2008-05-05,21.65,22.03,21.5,21.62,6016
2008-05-06,21.54,21.79,21.2,21.28,5212
2008-05-07,21.23,21.24,20.57,20.72,4483
2008-05-08,20.72,20.72,20.33,20.42,3605
2008-05-09,20.47,20.8,19.98,20.1,4245
2008-05-12,20.58,20.58,19.06,19.59,8819
2008-05-13,19.98,20.23,19.59,19.65,4820
2008-05-14,19.98,19.98,19.06,19.55,3503
2008-05-15,19.96,19.98,19.45,19.8,10070
2008-05-16,20.08,20.08,19.5,19.72,4449
2008-05-20,19.55,21.4,19.5,20.47,18923
2008-05-21,20.23,21.69,20.23,21.02,18105
2008-05-22,20.96,21.05,20.52,20.68,5412
2008-05-23,20.62,20.91,19.89,20.04,4281
2008-05-26,19.59,19.74,19.25,19.46,5704
2008-05-27,19.51,19.55,18.52,18.71,5904
2008-05-28,18.77,19.33,18.77,19.08,3694
2008-05-29,19.45,19.5,18.77,18.93,4138
2008-05-30,18.77,19.34,18.52,19.03,5786
2008-06-02,19.45,19.49,18.28,18.3,4718
2008-06-03,17.94,18.91,17.71,18.52,4113
2008-06-04,19.49,19.49,17.56,17.86,5045
2008-06-05,17.55,18.28,16.82,17.65,5128
2008-06-06,17.83,18.03,17.3,17.39,4149
2008-06-09,17.55,17.55,15.42,16.41,5363
2008-06-10,16.24,16.72,16.09,16.49,3003
2008-06-11,17.01,17.45,16.09,17.05,11124
2008-06-12,16.33,17.06,16.33,16.84,3293
2008-06-13,16.67,17.11,16.67,16.92,2029
2008-06-16,17.45,17.97,16.87,17.81,6417
2008-06-17,17.39,18.81,17.38,18.56,8179
2008-06-18,18.62,18.76,17.79,18.12,3339
2008-06-19,17.65,18.33,17.35,17.88,5486
2008-06-20,18.04,18.04,16.87,17.26,4883
2008-06-23,16.57,17.43,16.14,16.39,6337
2008-06-24,16.62,16.62,15.9,16.1,4411
2008-06-25,16.33,16.33,15.38,15.99,5184
2008-06-26,16.09,16.99,15.83,16.45,5008
2008-06-27,16.18,16.18,15.26,15.52,6952
2008-06-30,15.55,15.65,14.06,14.36,6609
2008-07-01,13.99,14.24,13.16,13.25,4738
2008-07-02,13.21,13.6,12.24,12.93,12266
2008-07-03,13.01,13.06,12.43,12.73,3428
2008-07-04,12.53,12.75,12.04,12.63,6610
2008-07-07,12.09,13.82,12.09,13.22,5848
2008-07-08,12.92,14.61,12.67,13.5,8498
2008-07-09,14.37,14.38,13.63,14.11,11349
2008-07-10,14.14,14.14,13.7,13.94,4461
2008-07-11,13.89,14.14,13.41,13.62,3739
2008-07-14,13.28,13.48,12.97,13.15,2920
2008-07-15,13.26,13.36,12.72,12.9,2389
2008-07-16,12.7,13.11,12.29,12.54,3448
2008-07-17,13.15,15.01,13.07,13.37,6423
2008-07-18,13.45,13.65,13.31,13.53,4823
2008-07-21,13.41,15.7,11.53,15.21,38841
2008-07-22,14.38,15.35,14.18,14.48,27555
2008-07-23,15.11,15.6,14.45,15.28,71808
2008-07-24,15.7,15.74,14.38,15.41,15559
2008-07-25,14.92,15.3,14.67,14.89,9519
2008-07-28,15.11,15.81,14.87,15.37,18943
2008-07-29,15.11,15.26,14.96,15.06,10861
2008-07-30,15.04,15.5,15.04,15.13,3539
