date,open,high,low,close,volume
2003-09-05,42.37,42.63,40.91,41.37,917088
2003-09-08,41.7,42.15,41.33,41.46,575256
2003-09-09,41.87,41.87,40.5,40.7,421789
2003-09-10,40.89,40.89,40.02,40.54,405757
2003-09-11,40.5,41.05,40.2,40.31,252544
2003-09-12,40.5,40.78,39.59,39.87,371582
2003-09-15,39.81,39.94,38.15,38.54,368285
2003-09-16,37.91,38.91,37.65,38.35,730341
2003-09-17,38.94,39.89,38.72,39.04,560632
2003-09-18,38.67,39.26,37.2,37.43,348253
2003-09-19,37.46,38.22,36.46,37.46,399012
2003-09-22,38.24,38.5,36.98,37.09,236945
2003-09-23,36.56,37.98,36.56,37.76,182372
2003-09-24,38.24,40.02,37.63,39.7,559920
2003-09-25,39.37,39.89,38.72,39.17,281462
2003-09-26,39.15,40.02,38.98,39.89,229195
2003-09-29,39.87,40.46,39.76,39.87,317384
2003-09-30,40.02,40.83,39.44,40.54,390601
2003-10-01,40.83,41.15,40.04,40.24,429585
2003-10-03,40.68,40.89,40.41,40.68,247304
2003-10-06,40.89,42.2,40.89,41.83,911696
2003-10-07,42.39,44.59,42.37,43.79,2789549
2003-10-08,44.33,46.53,44.0,46.0,2694817
2003-10-09,46.98,50.81,46.98,50.27,3308632
2003-10-10,51.18,51.77,48.77,49.11,1311755
2003-10-13,49.38,52.57,49.38,52.23,2331575
2003-10-14,52.64,52.94,50.03,50.9,2179362
2003-10-15,50.9,51.53,49.16,50.27,1028436
2003-10-16,50.51,51.94,50.25,50.72,949930
2003-10-17,50.88,51.75,49.81,50.01,586475
2003-10-20,50.42,50.75,47.48,47.9,879812
2003-10-21,48.61,49.03,45.72,46.7,1040646
2003-10-22,47.42,47.42,45.57,46.2,785318
2003-10-23,46.42,48.18,45.48,46.66,836997
2003-10-24,46.59,48.18,45.26,47.68,779474
2003-10-25,48.22,48.66,46.77,47.92,366008
2003-10-27,48.07,48.66,46.79,47.2,672488
2003-10-28,47.7,48.59,46.55,47.2,2408440
2003-10-29,47.9,51.46,47.9,50.99,2076810
2003-10-30,51.59,53.25,51.03,52.77,2309481
2003-10-31,53.16,54.81,52.86,54.25,1890115
2003-11-03,54.62,55.53,53.38,54.84,1667503
2003-11-04,55.29,55.29,53.81,54.27,964075
2003-11-05,54.18,56.86,53.29,55.47,1784605
2003-11-06,56.12,56.12,53.29,53.7,1114219
2003-11-07,54.38,54.71,52.7,53.05,749473
2003-11-10,53.42,54.34,52.42,53.79,440262
