date,open,high,low,close,volume
2005-01-03,46.99,48.31,46.84,48.02,198933
2005-01-04,48.4,49.87,47.55,49.38,394245
2005-01-05,51.56,51.56,46.52,48.02,497261
2005-01-06,48.02,48.99,47.02,47.55,273563
2005-01-07,47.55,49.09,47.22,48.74,316242
2005-01-10,49.18,49.66,48.1,48.86,424465
2005-01-11,49.08,49.08,47.42,47.99,182694
2005-01-12,47.99,52.09,44.96,46.35,197256
2005-01-13,46.62,47.51,46.45,46.73,134642
2005-01-14,46.92,47.44,45.98,46.3,115567
2005-01-17,46.42,46.42,43.98,45.17,189554
2005-01-18,45.73,46.71,45.63,45.91,215756
2005-01-19,45.91,46.47,45.66,45.93,119894
2005-01-20,45.93,46.03,44.88,45.48,105964
2005-01-24,48.79,48.89,45.04,45.57,59739
2005-01-25,48.38,48.38,45.24,47.54,323997
2005-01-27,48.0,48.1,46.68,46.93,348564
2005-01-28,47.5,48.2,47.27,47.84,171191
2005-01-31,48.25,48.79,47.94,48.35,242706
2005-02-01,48.64,48.64,47.71,47.93,153825
2005-02-02,48.2,48.6,47.66,47.79,82918
2005-02-03,47.9,48.89,47.64,48.58,148692
2005-02-04,48.89,50.37,48.5,49.92,334164
2005-02-07,50.85,51.11,49.6,49.87,253669
2005-02-08,49.78,51.76,49.74,51.29,306404
2005-02-09,51.76,53.28,51.76,52.76,639961
2005-02-10,52.77,52.94,51.96,52.26,136498
2005-02-11,52.84,55.27,51.95,53.97,484030
2005-02-14,54.32,55.9,53.63,55.23,504547
2005-02-15,55.61,55.81,53.98,54.23,203148
2005-02-16,54.72,54.86,53.24,53.53,208783
2005-02-17,53.44,53.76,51.91,52.92,254314
2005-02-18,53.34,53.98,53.04,53.66,210885
2005-02-21,53.64,53.83,52.55,53.14,169961
2005-02-22,52.84,53.83,52.84,53.6,217440
2005-02-23,53.78,53.78,52.99,53.21,113096
2005-02-24,53.24,53.72,52.75,52.91,190417
2005-02-25,53.0,53.39,52.21,52.33,173273
2005-02-28,52.74,54.31,52.55,53.88,605472
2005-03-01,53.93,54.87,53.44,54.53,484372
2005-03-02,53.73,55.53,53.73,55.06,270980
2005-03-03,55.12,55.5,54.92,55.07,182228
