date,open,high,low,close,volume
2003-09-05,47.0,47.75,45.75,46.03,602171
2003-09-08,45.88,46.33,45.05,45.7,238589
2003-09-09,46.1,47.73,45.5,46.13,721291
2003-09-10,46.18,46.33,45.08,45.5,234270
2003-09-11,45.35,46.25,44.75,45.2,203668
2003-09-12,45.55,45.95,43.3,43.6,244093
2003-09-15,44.7,45.1,42.13,42.4,192881
2003-09-16,41.75,43.4,41.23,43.2,156750
2003-09-17,43.75,44.6,43.13,43.5,191896
2003-09-18,43.28,43.28,41.13,41.43,115469
2003-09-19,41.7,42.43,40.05,40.98,130311
2003-09-22,41.25,41.9,40.75,40.95,105831
2003-09-23,40.75,41.25,40.13,40.88,76941
2003-09-24,41.43,42.68,40.53,42.35,109126
2003-09-25,42.4,44.5,42.13,44.2,298765
2003-09-26,44.18,46.38,44.18,45.7,580767
2003-09-29,45.5,46.38,45.05,45.38,258377
2003-09-30,46.08,46.5,45.18,45.35,156310
2003-10-01,45.63,45.63,44.5,44.75,154081
2003-10-03,45.2,45.5,44.0,44.6,118708
2003-10-06,44.63,45.3,44.35,44.53,115062
2003-10-07,44.75,45.2,43.3,43.63,179555
2003-10-08,44.13,44.3,43.0,43.13,120767
2003-10-09,43.55,45.35,43.55,44.68,188200
2003-10-10,45.8,48.35,45.13,47.83,882247
2003-10-13,48.5,49.4,47.83,48.43,833338
2003-10-14,48.5,49.0,45.75,46.03,342108
2003-10-15,46.35,46.85,45.28,46.23,220424
2003-10-16,46.65,46.85,45.83,46.1,129385
2003-10-17,46.0,46.75,45.63,46.03,210479
2003-10-20,46.1,46.23,44.55,44.75,157724
2003-10-21,44.98,44.98,43.5,43.58,130641
2003-10-22,43.5,44.0,41.58,42.08,143892
2003-10-23,40.55,43.08,40.55,41.68,104246
2003-10-24,42.0,43.98,41.53,43.78,120262
2003-10-25,42.75,44.7,42.75,44.0,49236
2003-10-27,43.55,44.05,42.55,42.8,66989
2003-10-28,42.73,43.5,41.93,42.73,79372
2003-10-29,43.75,43.98,42.78,43.13,86521
2003-10-30,43.4,43.4,42.5,42.73,76136
2003-10-31,43.08,44.75,42.05,44.48,195380
2003-11-03,44.73,46.2,44.38,45.88,362440
2003-11-04,46.1,46.5,44.6,44.85,269625
2003-11-05,45.0,46.4,44.3,45.13,308587
2003-11-06,45.75,47.3,45.25,46.43,467731
2003-11-07,46.55,48.88,46.53,47.2,660722
2003-11-10,46.78,47.5,45.63,46.38,90669
2003-11-11,46.78,47.45,46.05,46.33,204592
2003-11-12,46.7,47.45,46.05,46.28,195705
