date,open,high,low,close,volume
2003-09-05,130.0,131.3,127.4,128.23,11981
2003-09-08,130.0,135.13,130.0,132.83,35237
2003-09-09,133.33,133.5,127.33,130.37,16422
2003-09-10,128.07,129.8,127.33,127.97,8790
2003-09-11,131.67,133.33,125.43,128.7,43264
2003-09-12,131.63,131.63,125.33,126.4,12270
2003-09-15,123.67,123.67,114.67,119.9,27768
2003-09-16,119.33,120.0,113.5,118.73,20365
2003-09-17,120.33,124.67,120.1,121.6,9757
2003-09-18,121.33,121.33,113.43,114.3,9106
2003-09-19,115.93,117.33,110.13,114.57,17862
2003-09-22,118.3,118.3,114.03,115.1,4405
2003-09-23,116.0,116.63,114.67,115.73,6123
2003-09-24,116.13,119.97,116.07,119.23,14940
2003-09-25,117.93,121.2,117.33,119.23,9863
2003-09-26,120.67,124.33,118.43,123.3,9616
2003-09-29,125.93,128.83,123.37,127.53,21606
2003-09-30,127.67,128.83,126.17,126.6,17194
2003-10-01,127.0,129.63,126.67,129.13,21303
2003-10-03,129.7,132.0,129.27,130.3,61433
2003-10-06,130.67,131.33,128.4,129.27,16985
2003-10-07,131.33,131.47,128.37,129.27,36321
2003-10-08,129.4,131.33,128.07,128.83,16533
2003-10-09,129.8,131.33,128.73,130.27,14228
2003-10-10,130.67,131.33,128.67,128.97,10945
2003-10-13,129.33,141.17,129.33,139.23,83103
2003-10-14,140.0,148.0,133.33,140.27,101804
2003-10-15,140.0,142.67,137.8,140.03,51766
2003-10-16,140.67,149.93,140.67,148.2,98390
2003-10-17,148.67,152.0,141.0,148.07,49019
2003-10-20,153.33,156.67,145.33,147.63,129476
2003-10-21,149.33,152.53,140.67,142.4,62131
2003-10-22,145.93,146.33,138.77,140.77,29497
2003-10-23,141.63,143.83,136.8,138.0,21894
2003-10-24,139.5,140.0,133.67,138.83,34729
2003-10-25,145.33,145.33,140.67,142.83,6836
2003-10-27,142.67,142.73,138.73,139.27,9260
2003-10-28,139.3,139.3,135.37,136.43,5879
