date,open,high,low,close,volume
2003-09-05,3.94,3.97,3.85,3.88,202555
2003-09-08,3.93,3.97,3.82,3.85,156582
2003-09-09,3.89,3.91,3.76,3.77,154882
2003-09-10,3.86,3.86,3.74,3.78,109690
2003-09-11,3.81,3.87,3.77,3.78,133570
2003-09-12,3.92,4.06,3.81,3.84,604588
2003-09-15,3.8,3.87,3.68,3.7,144261
2003-09-16,3.73,3.73,3.57,3.64,117422
2003-09-17,3.73,3.82,3.67,3.69,128514
2003-09-18,3.8,3.89,3.52,3.54,107777
2003-09-19,3.63,3.63,3.35,3.46,126146
2003-09-22,3.48,3.59,3.42,3.43,109172
2003-09-23,3.55,3.6,3.39,3.4,334291
2003-09-24,3.52,3.53,3.43,3.45,283595
2003-09-25,3.45,3.74,3.41,3.67,417760
2003-09-26,3.71,3.83,3.7,3.75,359385
2003-09-29,3.79,3.79,3.69,3.72,152410
2003-09-30,3.76,3.82,3.73,3.78,184270
2003-10-01,3.82,4.04,3.82,3.95,722901
2003-10-03,4.0,4.11,3.94,4.07,563310
2003-10-06,4.11,4.88,4.11,4.7,2817819
2003-10-07,4.77,4.78,4.42,4.49,815139
2003-10-08,4.52,4.72,4.46,4.54,756003
2003-10-09,4.57,4.7,4.51,4.55,335292
2003-10-10,4.64,4.64,4.48,4.49,260471
2003-10-13,4.53,4.91,4.48,4.68,1190945
2003-10-14,4.67,4.74,4.47,4.49,395763
2003-10-15,4.51,4.67,4.47,4.55,427742
2003-10-16,4.59,4.65,4.53,4.56,233764
2003-10-17,4.6,4.98,4.53,4.81,1228553
2003-10-20,4.82,5.75,4.72,5.63,3434573
2003-10-21,5.55,5.73,5.11,5.22,1117044
2003-10-22,5.35,5.86,5.18,5.32,2175363
2003-10-23,5.35,5.58,5.23,5.3,971791
2003-10-24,5.32,5.46,5.12,5.4,780731
2003-10-25,5.53,5.58,5.46,5.52,266766
2003-10-27,5.54,5.54,5.21,5.27,361499
2003-10-28,5.3,5.33,4.94,5.09,551904
2003-10-29,5.16,5.3,5.11,5.22,329263
2003-10-30,5.28,5.52,5.14,5.4,572360
2003-10-31,5.45,5.82,5.44,5.78,979042
