date,open,high,low,close,volume
2003-09-05,53.41,54.69,53.0,54.31,4148516
2003-09-08,54.88,56.0,54.75,55.59,3853815
2003-09-09,55.94,55.94,54.04,54.2,2612677
2003-09-10,54.61,55.29,53.48,55.05,2715999
2003-09-11,54.94,55.82,54.48,54.71,2545247
2003-09-12,55.0,55.19,53.21,53.6,2349063
2003-09-15,53.66,53.66,51.18,51.66,2472992
2003-09-16,51.7,54.21,50.59,53.93,3449381
2003-09-17,54.61,55.24,53.18,53.62,2539625
2003-09-18,53.45,53.45,50.99,51.18,3681559
2003-09-19,51.73,52.87,49.67,52.32,6066547
2003-09-22,52.89,53.37,51.59,52.14,4548993
2003-09-23,51.84,56.32,51.84,55.51,8073756
2003-09-24,56.15,57.05,55.21,56.7,4701612
2003-09-25,56.53,57.66,55.3,55.89,5460965
2003-09-26,56.13,58.18,55.97,57.85,5595625
2003-09-29,57.87,59.02,57.51,58.6,3958706
2003-09-30,59.36,59.36,58.16,58.92,2699932
2003-10-01,58.83,60.46,57.87,60.05,4137825
2003-10-03,60.36,61.26,59.98,61.04,2341173
2003-10-06,61.32,66.0,61.13,65.38,5328354
2003-10-07,65.15,67.89,65.09,66.51,8262144
2003-10-08,66.88,67.6,65.45,66.85,6125782
2003-10-09,66.94,69.42,66.25,68.31,6299800
2003-10-10,81.42,81.42,68.99,71.29,8249016
2003-10-13,71.26,74.45,70.54,74.07,6574629
2003-10-14,74.7,74.74,68.22,70.57,6654445
2003-10-15,71.25,73.07,69.74,72.72,8209598
2003-10-16,73.2,75.02,72.88,73.78,6528380
2003-10-17,73.59,75.5,73.03,73.62,5147779
2003-10-20,73.01,74.08,69.58,70.08,5270220
2003-10-21,70.16,73.39,68.53,69.38,12817927
2003-10-22,70.14,71.48,69.58,70.54,8313178
2003-10-23,70.43,72.32,68.65,69.2,7280734
2003-10-24,69.56,72.81,67.51,72.04,9910667
2003-10-25,73.78,73.78,72.49,73.45,2198248
2003-10-27,73.23,74.35,69.72,70.21,9549008
2003-10-28,70.52,72.01,68.44,69.48,12637736
2003-10-29,70.62,71.19,67.38,69.91,19712289
2003-10-30,70.5,70.98,69.37,69.82,8812628
2003-10-31,70.18,72.21,69.85,71.77,6819664
2003-11-03,72.34,75.2,72.12,74.89,8623251
2003-11-04,75.69,75.69,72.44,73.1,7771589
2003-11-05,74.53,75.66,72.37,73.42,10884055
2003-11-06,73.97,74.45,72.08,72.58,7387175
2003-11-07,73.28,78.95,70.64,71.39,7645790
2003-11-10,70.52,71.82,69.04,71.2,3778841
2003-11-11,71.56,71.96,69.99,70.62,4343260
2003-11-12,71.1,72.63,70.61,71.8,5410065
2003-11-13,71.96,73.35,71.4,72.0,8914425
2003-11-14,71.69,72.19,69.47,70.0,5260674
2003-11-15,69.95,71.38,69.3,70.7,1554650
2003-11-17,70.9,74.45,70.54,74.07,6831845
2003-11-18,74.35,75.97,72.74,73.55,8557654
2003-11-19,72.82,73.36,71.99,72.55,7132016
2003-11-20,72.81,74.8,71.69,72.06,6403871
2003-11-21,72.06,74.72,70.38,74.08,8399777
2003-11-24,74.69,76.86,74.37,75.41,9230700
