date,open,high,low,close,volume
2002-01-01,8.69,8.84,8.44,8.48,4440
2002-01-02,8.62,8.63,8.45,8.48,890
2002-01-03,8.62,8.75,8.5,8.55,2688
2002-01-04,8.5,8.63,8.25,8.29,5358
2002-01-07,8.44,8.61,8.25,8.42,3233
2002-01-08,8.44,8.62,8.38,8.4,2273
2002-01-09,8.38,8.44,8.35,8.39,2787
2002-01-10,8.56,8.56,8.28,8.29,2953
2002-01-11,8.31,8.37,8.13,8.16,1540
2002-01-14,8.44,9.0,8.44,8.94,23695
2002-01-15,9.3,9.34,8.88,8.89,3640
2002-01-16,9.0,9.06,8.88,8.94,1237
2002-01-17,8.76,9.16,8.76,9.08,2324
2002-01-18,8.63,9.19,8.63,9.02,1938
2002-01-21,9.06,9.06,8.82,8.97,1840
2002-01-22,9.06,9.13,8.83,8.88,2372
2002-01-23,9.06,9.38,9.06,9.22,4360
2002-01-24,9.25,9.73,9.09,9.64,6583
2002-01-25,9.69,10.5,9.69,10.3,14825
2002-01-28,10.0,10.38,9.89,10.29,8650
2002-01-29,10.13,10.43,10.13,10.32,5610
2002-01-30,9.75,11.72,9.75,11.44,22372
2002-01-31,11.56,11.81,10.94,11.53,22330
2002-02-01,11.75,12.43,11.56,11.7,14896
2002-02-04,11.75,12.0,10.9,11.1,9975
2002-02-05,10.67,11.34,10.43,10.5,7900
2002-02-06,10.94,11.13,10.25,10.95,10184
2002-02-07,11.25,11.25,10.5,10.61,6154
2002-02-08,10.34,10.75,10.34,10.43,2419
2002-02-11,10.58,10.93,10.58,10.67,5408
2002-02-12,10.75,10.94,10.39,10.49,2999
2002-02-13,10.45,10.69,10.38,10.61,2055
2002-02-14,10.69,10.8,10.54,10.59,2790
2002-02-15,10.68,10.68,10.4,10.43,2232
2002-02-18,10.63,10.91,10.63,10.68,3583
2002-02-19,10.93,10.93,10.39,10.63,5184
2002-02-20,10.35,10.87,10.35,10.7,3835
2002-02-21,10.77,11.25,10.63,10.94,10737
2002-02-22,11.18,13.13,11.05,13.0,36954
2002-02-25,13.63,15.61,13.63,15.4,78236
2002-02-26,16.43,16.43,14.63,14.92,35099
2002-02-27,15.0,15.16,14.69,14.76,24357
2002-02-28,15.13,15.13,13.44,14.35,20708
2002-03-01,14.1,14.38,13.97,14.3,4365
2002-03-04,14.39,14.69,14.38,14.52,8790
2002-03-05,14.75,16.25,14.69,15.67,20281
2002-03-06,15.75,16.31,15.69,16.22,14081
2002-03-07,16.31,16.31,15.78,15.94,8845
2002-03-08,15.88,15.88,15.25,15.51,7105
2002-03-11,15.88,15.88,15.0,15.15,4146
2002-03-12,14.94,15.31,14.81,15.2,4735
2002-03-13,15.19,15.19,14.44,14.54,1452
2002-03-14,14.81,14.93,13.88,13.99,3832
2002-03-15,14.31,14.55,14.0,14.52,5183
2002-03-18,14.74,15.0,14.53,14.61,2641
2002-03-19,14.38,14.69,14.38,14.52,10248
2002-03-20,14.19,14.44,14.06,14.37,2531
