date,open,high,low,close,volume
2003-09-05,19.07,19.68,19.07,19.49,7507
2003-09-08,19.4,19.58,19.07,19.41,5764
2003-09-09,19.37,19.73,18.98,19.22,7317
2003-09-10,19.07,19.43,19.07,19.22,3667
2003-09-11,19.26,19.42,18.98,19.04,4629
2003-09-12,18.88,19.08,18.7,18.78,6756
2003-09-15,18.88,18.88,18.42,18.63,2255
2003-09-16,18.77,18.88,18.22,18.78,2624
2003-09-17,18.44,18.79,18.41,18.72,5832
2003-09-18,18.52,19.25,18.1,18.22,2224
2003-09-19,17.94,18.88,17.94,18.54,3389
2003-09-22,18.27,18.59,18.27,18.43,1513
2003-09-23,18.41,18.6,18.41,18.54,2526
2003-09-24,18.42,18.69,18.41,18.49,1652
2003-09-25,18.32,18.98,18.32,18.89,3269
2003-09-26,18.98,18.98,18.53,18.63,3672
2003-09-29,18.6,18.87,18.32,18.38,3382
2003-09-30,18.88,19.53,18.52,19.29,5313
2003-10-01,19.0,19.5,18.98,19.06,3755
2003-10-03,19.77,19.77,18.61,19.38,6622
2003-10-06,19.09,19.64,19.03,19.42,5585
2003-10-07,19.64,20.58,19.45,20.33,30914
2003-10-08,20.58,20.68,20.07,20.14,14515
2003-10-09,19.83,20.68,19.83,20.51,12620
2003-10-10,20.3,20.65,19.83,20.04,8566
2003-10-13,20.02,22.65,19.64,21.56,27728
2003-10-14,21.71,22.07,20.3,20.51,18142
2003-10-15,18.79,21.19,18.79,20.73,9914
2003-10-16,20.4,22.0,20.4,21.15,26832
2003-10-17,21.25,23.03,20.96,22.68,47965
2003-10-20,23.04,23.04,22.0,22.38,29990
2003-10-21,21.25,22.36,21.25,21.73,23643
2003-10-22,21.53,21.71,21.25,21.38,5098
2003-10-23,20.61,21.53,20.14,21.13,8399
2003-10-24,20.77,20.96,20.49,20.94,3892
2003-10-25,20.87,21.85,20.87,21.59,3941
2003-10-27,21.26,21.71,21.25,21.53,4134
2003-10-28,21.81,21.81,21.11,21.28,3239
2003-10-29,21.95,21.95,21.25,21.49,4161
2003-10-30,22.66,22.66,21.53,21.64,6140
2003-10-31,21.73,21.91,21.53,21.69,4300
2003-11-03,21.72,22.0,21.72,21.75,6655
2003-11-04,20.3,21.77,20.3,21.63,5978
2003-11-05,21.72,24.07,21.43,23.24,29077
2003-11-06,23.7,23.88,22.31,22.61,6999
2003-11-07,22.95,23.42,21.82,22.15,9011
