date,open,high,low,close,volume
2003-09-05,0.96,0.99,0.96,0.97,19481
2003-09-08,0.95,0.99,0.95,0.97,31882
2003-09-09,0.97,0.98,0.95,0.96,61497
2003-09-10,0.98,0.98,0.92,0.93,56311
2003-09-11,0.95,1.0,0.94,0.98,95350
2003-09-12,0.98,1.0,0.97,0.98,41666
2003-09-15,0.94,0.98,0.93,0.94,31520
2003-09-16,0.99,0.99,0.91,0.95,39121
2003-09-17,0.94,0.97,0.94,0.95,25296
2003-09-18,0.95,0.95,0.91,0.91,17657
2003-09-19,0.86,0.93,0.86,0.9,23394
2003-09-22,0.9,0.91,0.89,0.9,10988
2003-09-23,0.85,0.88,0.85,0.87,11750
2003-09-24,0.87,0.88,0.85,0.85,34500
2003-09-25,0.86,0.86,0.83,0.84,20371
2003-09-26,0.84,0.9,0.83,0.89,33472
2003-09-29,0.9,0.98,0.88,0.98,57034
2003-09-30,0.93,1.02,0.93,1.01,69156
2003-10-01,0.95,1.02,0.95,0.96,23871
2003-10-03,0.96,0.96,0.94,0.94,16224
2003-10-06,0.93,0.96,0.93,0.94,30791
2003-10-07,0.95,0.95,0.93,0.94,19933
2003-10-08,0.94,0.95,0.9,0.92,31256
2003-10-09,0.92,0.94,0.92,0.93,26086
2003-10-10,0.94,0.95,0.92,0.93,33432
2003-10-13,0.91,0.93,0.91,0.92,37864
2003-10-14,0.91,0.94,0.91,0.94,41866
2003-10-15,0.92,0.94,0.91,0.91,60771
2003-10-16,0.9,0.92,0.89,0.9,53886
2003-10-17,0.91,0.91,0.88,0.89,27926
2003-10-20,0.88,0.9,0.88,0.88,23524
2003-10-21,0.87,0.9,0.87,0.88,15504
2003-10-22,0.89,0.9,0.81,0.85,68995
2003-10-23,0.83,0.84,0.8,0.81,29339
2003-10-24,0.83,0.83,0.81,0.82,23789
2003-10-25,0.85,0.9,0.83,0.86,7709
2003-10-27,0.87,0.88,0.82,0.84,28988
2003-10-28,0.83,0.83,0.79,0.81,21973
2003-10-29,0.81,0.83,0.79,0.83,10199
2003-10-30,0.81,0.82,0.8,0.81,17060
2003-10-31,0.81,0.84,0.8,0.82,42976
2003-11-03,0.82,0.82,0.79,0.81,27854
2003-11-04,0.81,0.82,0.79,0.8,46941
2003-11-05,0.81,0.83,0.8,0.81,63429
2003-11-06,0.81,0.81,0.8,0.8,46083
2003-11-07,0.82,0.82,0.8,0.81,56235
2003-11-10,0.82,0.87,0.81,0.85,118096
2003-11-11,0.87,0.94,0.87,0.93,98142
2003-11-12,0.96,0.98,0.89,0.92,67296
2003-11-13,1.0,1.01,0.91,1.0,380262
2003-11-14,1.02,1.05,0.95,0.97,155302
2003-11-15,1.0,1.03,0.97,1.01,39196
2003-11-17,1.04,1.09,1.0,1.07,210859
2003-11-18,1.1,1.18,1.1,1.18,381839
2003-11-19,1.23,1.3,1.23,1.3,624685
2003-11-20,1.42,1.42,1.23,1.32,788482
2003-11-21,1.37,1.37,1.19,1.24,412643
2003-11-24,1.26,1.32,1.24,1.26,345552
2003-11-25,1.22,1.35,1.22,1.32,279171
2003-11-27,1.35,1.46,1.35,1.46,681343
2003-11-28,1.54,1.61,1.52,1.61,849157
2003-12-01,1.77,1.77,1.65,1.77,416990
2003-12-02,1.92,1.95,1.76,1.95,1146260
2003-12-03,2.05,2.05,1.98,2.05,689371
2003-12-04,2.15,2.16,2.1,2.16,223099
2003-12-05,2.25,2.27,2.05,2.05,1256706
2003-12-08,2.16,2.16,2.0,2.16,493655
2003-12-09,2.27,2.27,2.17,2.27,333050
2003-12-10,2.38,2.38,2.38,2.38,68003
2003-12-11,2.5,2.5,2.5,2.5,146280
2003-12-12,2.63,2.63,2.63,2.63,88595
2003-12-15,2.76,2.76,2.5,2.58,1889049
2003-12-16,2.71,2.71,2.45,2.49,734680
2003-12-17,2.52,2.61,2.5,2.61,255462
2003-12-18,2.73,2.75,2.62,2.75,1093000
2003-12-19,2.89,2.89,2.79,2.89,686538
2003-12-22,2.92,2.95,2.78,2.8,422385
2003-12-23,2.85,2.93,2.69,2.72,265365
2003-12-24,2.74,2.74,2.61,2.65,302736
2003-12-26,2.53,2.68,2.53,2.56,203754
2003-12-29,2.56,2.66,2.44,2.47,369498
2003-12-30,2.5,2.5,2.35,2.35,270047
2003-12-31,2.47,2.47,2.23,2.23,305722
2004-01-01,2.14,2.35,2.14,2.35,268973
2004-01-02,2.42,2.46,2.32,2.36,413202
2004-01-05,2.36,2.48,2.35,2.4,260819
2004-01-06,2.43,2.45,2.28,2.3,159461
2004-01-07,2.39,2.4,2.25,2.27,118799
2004-01-08,2.38,2.38,2.26,2.28,159234
2004-01-09,2.28,2.33,2.23,2.23,191989
2004-01-12,2.25,2.25,2.12,2.12,130618
2004-01-13,2.1,2.1,2.02,2.02,87354
2004-01-14,1.99,1.99,1.92,1.92,235045
2004-01-15,1.95,2.02,1.9,2.02,156261
2004-01-16,2.05,2.1,1.92,1.94,183298
2004-01-19,1.95,1.95,1.84,1.88,98545
2004-01-20,1.91,1.96,1.9,1.91,143161
2004-01-21,2.0,2.0,1.82,1.82,97933
2004-01-22,1.91,1.91,1.73,1.73,55421
2004-01-23,1.82,1.82,1.64,1.74,168820
2004-01-27,1.69,1.8,1.69,1.76,149400
2004-01-28,1.85,1.85,1.67,1.71,155339
2004-01-29,1.79,1.79,1.7,1.73,60278
2004-01-30,1.82,1.82,1.65,1.65,65194
2004-02-03,1.72,1.72,1.57,1.57,95037
2004-02-04,1.65,1.65,1.49,1.56,90740
2004-02-05,1.64,1.64,1.51,1.53,176812
2004-02-06,1.61,1.61,1.48,1.53,87186
2004-02-09,1.61,1.61,1.49,1.52,204278
2004-02-10,1.6,1.6,1.47,1.51,195850
2004-02-11,1.58,1.58,1.5,1.52,77300
2004-02-12,1.55,1.55,1.5,1.51,72793
2004-02-13,1.5,1.54,1.48,1.54,87245
2004-02-16,1.53,1.62,1.53,1.62,140134
2004-02-17,1.69,1.7,1.58,1.6,256088
2004-02-18,1.56,1.64,1.56,1.57,61768
2004-02-19,1.57,1.58,1.5,1.5,78240
2004-02-20,1.55,1.55,1.44,1.47,51025
2004-02-23,1.54,1.54,1.44,1.46,53372
2004-02-24,1.46,1.53,1.4,1.44,57089
2004-02-25,1.5,1.5,1.4,1.41,40061
2004-02-26,1.45,1.47,1.4,1.42,60571
2004-02-27,1.45,1.45,1.35,1.38,63210
2004-03-01,1.44,1.44,1.36,1.39,32201
2004-03-03,1.45,1.45,1.36,1.39,38949
2004-03-04,1.42,1.42,1.34,1.38,31599
2004-03-05,1.42,1.42,1.34,1.39,49164
