date,open,high,low,close,volume
2007-02-02,6.43,6.57,5.8,6.0,47391
2007-02-05,6.17,6.17,5.81,5.92,3814
2007-02-06,5.4,5.64,5.4,5.53,3523
2007-02-07,5.64,6.14,5.64,5.66,1010
2007-02-08,5.52,5.64,5.41,5.54,830
2007-02-09,5.45,5.64,5.45,5.49,799
2007-02-12,5.47,5.47,5.14,5.21,722
2007-02-13,5.24,5.44,5.01,5.09,635
2007-02-14,5.04,5.14,5.04,5.14,282
2007-02-15,5.44,5.44,5.17,5.27,67
2007-02-19,5.14,5.41,5.14,5.17,366
2007-02-20,5.16,5.16,5.14,5.15,158
2007-02-21,4.97,5.27,4.94,5.15,1262
2007-02-22,5.12,5.24,5.11,5.12,150
2007-02-23,5.14,5.29,5.14,5.29,140
2007-02-26,4.96,5.14,4.68,4.97,990
2007-02-28,4.71,4.71,4.71,4.71,20
2007-03-01,4.54,4.97,4.54,4.93,526
2007-03-02,5.44,5.44,4.72,4.95,1497
2007-03-05,4.73,4.88,4.59,4.59,1031
2007-03-06,4.64,4.64,4.54,4.56,395
2007-03-07,5.31,5.31,4.54,4.86,1791
2007-03-08,5.04,5.04,4.58,4.87,1436
2007-03-09,4.65,4.65,4.59,4.59,10
2007-03-12,4.94,4.97,4.91,4.97,2005
2007-03-13,4.97,4.97,4.68,4.68,1400
2007-03-14,4.58,4.91,4.58,4.77,1903
2007-03-15,4.81,4.96,4.81,4.85,664
2007-03-16,4.81,4.97,4.78,4.95,88
2007-03-19,4.84,4.85,4.68,4.68,251
2007-03-20,5.01,5.04,4.76,4.88,1390
2007-03-21,4.69,4.97,4.69,4.97,560
2007-03-22,4.97,5.07,4.97,4.98,707
2007-03-23,5.01,5.57,5.01,5.03,611
2007-03-26,5.04,5.14,4.88,5.01,155
2007-03-28,4.64,5.07,4.64,4.97,4215
2007-03-29,4.74,5.11,4.74,5.11,128
2007-03-30,4.72,5.1,4.72,5.1,130
2007-04-02,4.56,5.1,4.55,5.07,520
2007-04-04,4.94,5.11,4.86,4.98,1356
2007-04-05,4.81,4.81,4.81,4.81,1050
2007-04-09,5.11,5.27,4.78,4.88,938
2007-04-10,5.47,5.47,5.14,5.15,469
2007-04-11,5.27,5.31,5.04,5.23,530
2007-04-12,5.31,5.47,5.21,5.21,791
2007-04-13,5.21,5.47,5.17,5.31,146
2007-04-16,4.81,5.44,4.81,5.14,147
2007-04-17,5.84,5.84,5.05,5.39,70
2007-04-18,5.12,5.43,5.04,5.08,226
2007-04-19,4.91,5.57,4.9,5.31,381
2007-04-20,5.14,5.37,5.14,5.19,425
2007-04-23,5.17,5.37,5.14,5.14,310
2007-04-24,4.99,5.37,4.99,5.37,210
2007-04-25,5.17,5.17,5.14,5.16,100
2007-04-26,5.04,5.23,5.04,5.23,26
2007-04-27,5.01,5.21,5.01,5.21,161
2007-04-30,4.81,5.3,4.68,5.23,110
2007-05-03,5.31,5.31,5.31,5.31,10
2007-05-07,4.88,5.24,4.75,5.0,1496
2007-05-08,5.0,5.11,4.72,4.86,1409
2007-05-09,5.06,5.07,4.64,4.72,5094
2007-05-10,4.87,4.9,4.78,4.9,2130
2007-05-11,4.94,4.94,4.81,4.81,64
2007-05-14,4.78,4.98,4.78,4.97,708
2007-05-15,5.12,5.39,4.99,5.11,546
2007-05-16,4.98,5.12,4.84,4.97,1217
2007-05-17,4.79,4.81,4.79,4.81,60
2007-05-18,4.97,4.97,4.74,4.8,910
2007-05-21,4.98,4.98,4.98,4.98,179
2007-05-23,4.97,5.04,4.73,4.97,193
2007-05-24,4.78,4.97,4.78,4.93,18
2007-05-25,4.81,5.01,4.81,5.01,45
2007-05-28,5.14,5.14,4.97,5.01,415
2007-05-29,5.04,5.07,4.86,4.91,125
2007-05-30,4.72,4.94,4.71,4.84,1002
2007-05-31,4.97,5.04,4.88,4.88,1207
2007-06-01,4.97,4.98,4.78,4.88,1127
2007-06-04,4.88,4.88,4.78,4.8,445
2007-06-05,5.23,5.23,4.84,4.86,1563
2007-06-06,4.91,4.91,4.78,4.78,320
2007-06-07,4.42,4.85,4.42,4.69,88
2007-06-08,4.68,4.85,4.36,4.65,375
2007-06-11,4.47,4.91,4.46,4.66,127
2007-06-12,4.66,4.84,4.66,4.8,965
2007-06-13,4.81,4.84,4.74,4.84,495
2007-06-14,4.91,4.91,4.81,4.81,630
2007-06-15,4.84,4.84,4.7,4.71,111
2007-06-18,4.66,4.66,4.66,4.66,170
2007-06-19,4.54,4.71,4.54,4.66,60
2007-06-22,4.58,4.91,4.58,4.66,69
2007-06-26,4.55,4.55,4.54,4.54,25
2007-06-27,5.11,5.11,4.81,4.85,2737
2007-06-28,4.91,4.91,4.91,4.91,2
2007-07-02,4.68,4.77,4.68,4.71,280
2007-07-03,4.35,4.8,4.35,4.61,204
2007-07-04,4.61,4.8,4.48,4.7,65
2007-07-05,4.64,4.71,4.58,4.64,630
2007-07-06,4.42,4.77,4.42,4.76,778
2007-07-09,4.73,4.89,4.55,4.6,250
2007-07-10,4.58,4.58,4.58,4.58,422
2007-07-11,4.58,4.58,4.54,4.57,166
2007-07-12,4.68,5.23,4.54,4.58,880
2007-07-13,4.58,4.58,4.54,4.54,250
2007-07-16,4.64,4.77,4.61,4.66,651
2007-07-17,4.64,4.64,4.59,4.6,195
2007-07-18,4.7,4.7,4.69,4.69,10
2007-07-19,4.6,4.68,4.58,4.62,499
2007-07-20,4.67,4.72,4.64,4.72,290
2007-07-23,4.39,4.51,4.36,4.51,290
2007-07-24,4.67,4.71,4.46,4.71,244
2007-07-25,4.61,4.61,4.55,4.58,445
2007-07-26,4.69,4.71,4.59,4.59,1361
2007-07-30,4.68,4.68,4.68,4.68,60
2007-07-31,4.54,4.54,4.44,4.48,1715
2007-08-01,4.54,4.54,4.41,4.48,979
2007-08-02,4.78,4.78,4.35,4.48,658
2007-08-03,4.39,4.39,4.39,4.39,25
2007-08-06,4.38,4.38,4.31,4.31,2200
2007-08-07,4.41,4.44,4.38,4.38,238
2007-08-08,4.38,4.44,4.35,4.38,620
2007-08-09,4.48,4.74,4.48,4.54,922
2007-08-10,4.25,4.41,4.25,4.32,255
2007-08-14,4.31,4.31,4.31,4.31,100
2007-08-17,4.21,4.21,4.21,4.21,10
2007-08-21,4.47,4.47,4.47,4.47,1
2007-08-22,3.58,5.34,3.58,4.34,1444
2007-08-23,4.15,4.18,4.15,4.17,48
2007-08-24,3.98,4.03,3.98,4.03,465
2007-08-27,3.85,4.14,3.85,4.14,550
2007-08-29,4.15,4.47,4.15,4.46,102
2007-08-30,4.15,4.37,4.15,4.37,300
2007-08-31,4.15,4.31,4.15,4.31,35
2007-09-03,4.58,4.58,4.28,4.54,160
2007-09-04,4.41,4.54,4.31,4.42,1179
2007-09-05,4.54,4.54,4.34,4.44,109
2007-09-06,4.35,4.44,4.35,4.44,155
2007-09-07,4.36,4.36,4.35,4.35,50
2007-09-10,4.34,4.34,4.34,4.34,1
2007-09-11,3.81,4.58,3.81,4.48,434
2007-09-12,4.38,4.46,4.38,4.38,381
