date,open,high,low,close,volume
2003-09-05,1.87,2.02,1.87,2.02,123330
2003-09-08,2.13,2.14,2.01,2.04,70388
2003-09-09,2.08,2.08,1.94,1.96,37621
2003-09-10,1.88,1.96,1.88,1.9,18548
2003-09-11,1.93,2.02,1.9,1.91,19646
2003-09-12,2.02,2.04,1.81,1.83,18106
2003-09-15,1.87,1.87,1.72,1.83,17340
2003-09-16,1.77,1.8,1.67,1.8,11102
2003-09-17,1.75,1.98,1.74,1.96,44923
2003-09-18,1.92,1.93,1.81,1.83,18850
2003-09-19,1.99,1.99,1.77,1.82,1852
2003-09-22,1.83,1.89,1.8,1.87,2903
2003-09-23,1.87,1.91,1.85,1.87,4307
2003-09-24,1.83,1.99,1.82,1.95,24061
2003-09-25,1.85,1.99,1.85,1.94,8326
2003-09-26,1.93,2.0,1.9,1.93,5752
2003-09-29,2.03,2.04,1.97,2.03,20867
2003-09-30,1.98,2.05,1.95,1.96,19431
2003-10-01,2.0,2.03,1.97,2.02,15400
2003-10-03,2.07,2.13,2.05,2.11,23114
2003-10-06,2.14,2.14,2.04,2.06,13774
2003-10-07,2.0,2.03,1.96,1.97,11640
2003-10-08,1.97,2.08,1.95,1.99,10257
2003-10-09,2.01,2.13,1.97,2.08,14905
2003-10-10,2.13,2.13,2.0,2.03,9692
2003-10-13,2.0,2.03,1.97,1.99,3697
2003-10-14,1.97,2.03,1.88,1.99,24923
2003-10-15,1.94,1.98,1.93,1.95,7810
2003-10-16,2.03,2.09,1.98,2.08,29086
2003-10-17,2.07,2.13,2.02,2.03,9469
2003-10-20,1.97,2.09,1.97,1.97,5700
2003-10-21,1.93,1.97,1.91,1.91,4480
2003-10-22,1.92,1.92,1.92,1.92,1000
2003-10-23,1.92,1.98,1.88,1.89,5885
2003-10-24,1.88,1.93,1.84,1.89,14250
2003-10-25,1.93,1.93,1.93,1.93,300
2003-10-27,1.93,1.95,1.91,1.91,1450
2003-10-28,1.93,1.93,1.88,1.88,1200
2003-10-29,1.88,1.9,1.77,1.88,31150
2003-10-30,1.96,1.97,1.9,1.92,12104
2003-10-31,1.89,2.0,1.89,1.94,10396
2003-11-03,2.09,2.09,1.87,1.93,7371
2003-11-04,1.87,2.01,1.87,1.99,17507
2003-11-05,2.07,2.09,1.97,2.0,12500
2003-11-06,1.94,2.01,1.94,1.99,10835
2003-11-07,2.01,2.09,1.97,2.03,15001
2003-11-10,2.06,2.2,2.06,2.17,19906
2003-11-11,2.22,2.27,2.18,2.21,33450
2003-11-12,2.33,2.44,2.33,2.41,76491
2003-11-13,2.5,2.5,2.32,2.34,31063
2003-11-14,2.33,2.36,2.18,2.26,18613
2003-11-15,2.33,2.37,2.2,2.35,5947
2003-11-17,2.33,2.34,2.28,2.3,7123
2003-11-18,2.36,2.53,2.33,2.47,65316
2003-11-19,2.51,2.63,2.43,2.56,49662
2003-11-20,2.65,2.8,2.54,2.57,60228
2003-11-21,2.66,2.66,2.44,2.5,25025
2003-11-24,2.66,2.67,2.54,2.6,42187
2003-11-25,2.67,2.67,2.53,2.57,39871
2003-11-27,2.64,2.66,2.57,2.59,26791
2003-11-28,2.67,2.67,2.47,2.54,16613
2003-12-01,2.53,2.7,2.48,2.6,71485
2003-12-02,2.66,2.67,2.43,2.51,30740
2003-12-03,2.5,2.57,2.39,2.41,40420
2003-12-04,2.35,2.5,2.27,2.44,48514
2004-01-27,38.0,38.0,35.0,36.02,26737
2004-01-28,35.33,37.67,34.07,35.92,32155
2004-01-29,35.33,36.23,33.6,34.34,19074
