date,open,high,low,close,volume
2016-11-08,25.48,27.96,24.7,27.23,18118170
2016-11-09,23.29,26.67,23.29,25.74,811362
2016-11-10,26.43,27.31,25.67,25.86,459704
2016-11-11,25.72,26.67,25.48,26.11,324102
2016-11-15,25.96,26.35,25.48,25.96,359415
2016-11-16,26.07,26.49,25.54,25.82,79903
2016-11-17,25.54,26.34,25.54,26.09,217069
2016-11-18,26.07,26.37,25.78,26.1,84664
2016-11-21,25.6,26.2,25.6,26.07,74176
2016-11-22,25.61,26.34,25.61,26.12,72366
2016-11-23,25.81,26.37,25.68,26.26,159354
2016-11-24,26.01,26.18,25.86,25.98,27508
2016-11-25,25.84,26.13,25.72,25.86,44597
2016-11-28,26.07,26.07,25.19,25.36,45355
2016-11-29,25.44,26.07,25.22,25.78,39817
2016-11-30,25.66,26.16,25.66,26.04,52266
2016-12-01,25.79,26.07,25.6,25.66,17221
2016-12-02,25.54,26.02,25.54,25.61,19051
2016-12-05,25.49,25.84,25.3,25.63,24465
2016-12-06,25.78,25.78,24.9,25.07,19556
2016-12-07,24.92,25.24,24.15,24.34,49872
2016-12-08,24.41,25.48,24.36,25.05,39040
2016-12-09,25.2,25.21,24.54,24.6,18733
2016-12-12,24.0,25.01,24.0,24.94,20019
2016-12-13,24.42,24.96,24.42,24.75,7192
2016-12-14,24.95,24.95,24.63,24.68,16041
2016-12-15,24.3,24.95,24.3,24.9,23359
2016-12-16,24.62,25.24,24.36,24.47,62957
2016-12-19,24.59,24.6,24.06,24.36,41205
2016-12-20,24.53,24.56,24.0,24.06,21851
2016-12-21,24.12,24.12,23.45,23.56,35036
2016-12-22,23.59,23.7,21.45,22.76,50883
2016-12-23,22.52,22.87,21.93,22.04,23162
2016-12-26,21.87,21.87,20.8,21.3,36366
2016-12-27,21.16,21.93,20.91,21.64,19965
2016-12-28,21.54,21.99,21.4,21.77,28037
2016-12-29,21.77,22.28,21.51,22.18,20700
2016-12-30,22.34,22.79,22.22,22.55,15403
2017-01-02,22.87,23.7,22.58,23.66,14916
2017-01-03,24.36,24.86,24.18,24.33,62282
2017-01-04,24.71,24.77,24.0,24.6,28924
2017-01-05,24.68,24.88,24.36,24.76,27090
2017-01-06,24.76,24.82,24.3,24.47,18319
2017-01-09,24.48,24.89,24.18,24.74,23500
2017-01-10,24.43,24.83,24.43,24.73,9979
2017-01-11,24.76,24.77,24.42,24.49,24672
2017-01-12,24.48,24.71,24.48,24.56,13627
2017-01-13,24.34,24.89,24.34,24.74,26793
2017-01-16,24.42,24.79,24.42,24.54,11740
2017-01-17,24.74,24.74,24.3,24.41,10424
2017-01-18,24.6,24.63,24.1,24.2,75452
2017-01-19,24.39,24.44,24.23,24.35,13113
2017-01-20,24.37,24.37,23.82,23.98,11912
2017-01-23,24.0,24.19,23.48,23.51,6480
2017-01-24,23.41,24.11,23.41,23.99,10605
2017-01-25,23.75,24.27,23.59,23.99,12921
2017-01-27,23.71,23.88,23.2,23.63,27408
2017-01-30,23.63,23.76,23.41,23.72,25250
2017-01-31,23.47,23.64,23.35,23.56,8138
2017-02-01,23.56,23.82,23.35,23.62,8231
2017-02-02,23.5,24.0,23.47,23.52,5300
2017-02-03,23.17,23.69,23.11,23.34,46990
2017-02-06,23.58,24.0,23.29,23.9,33504
2017-02-07,23.67,24.02,23.67,23.97,73200
2017-02-08,23.7,24.0,23.6,23.94,22544
2017-02-09,23.8,23.94,23.64,23.93,22275
2017-02-10,23.86,23.92,23.59,23.84,7688
2017-02-13,23.65,23.96,23.65,23.94,24832
2017-02-14,23.76,23.86,23.62,23.76,7885
2017-02-15,23.92,23.94,23.59,23.91,26275
2017-02-16,23.97,23.97,23.23,23.78,153998
2017-02-17,23.7,23.94,23.7,23.88,13286
2017-02-20,23.38,24.14,23.38,23.96,93866
2017-02-21,23.78,24.0,23.48,23.71,131758
2017-02-22,23.72,23.82,22.82,23.02,122135
2017-02-23,22.82,23.41,22.53,23.16,38837
2017-02-27,23.3,23.58,22.91,23.42,12047
2017-02-28,23.42,23.76,22.99,23.13,55931
2017-03-01,23.64,23.64,22.52,22.85,83165
2017-03-02,22.93,22.99,22.17,22.31,31548
2017-03-03,22.36,22.67,21.93,22.09,57400
2017-03-06,22.08,22.87,21.93,22.09,19870
2017-03-07,21.97,22.52,21.96,22.23,24808
2017-03-08,22.05,22.19,21.63,21.7,15710
2017-03-09,21.46,21.69,21.04,21.13,29418
2017-03-10,21.33,21.59,21.1,21.2,14640
2017-03-14,21.75,21.75,20.15,20.64,50283
2017-03-15,20.62,21.04,20.49,20.71,32451
2017-03-16,20.68,20.86,20.51,20.75,32342
2017-03-17,20.86,21.19,20.7,21.09,79836
2017-03-20,21.19,23.04,21.07,22.19,149167
2017-03-21,22.82,23.17,21.99,22.08,216109
2017-03-22,21.93,22.5,21.68,22.13,124092
2017-03-23,22.23,22.56,22.2,22.36,90450
2017-03-24,22.33,22.56,22.22,22.4,348478
2017-03-27,22.4,23.09,22.4,22.8,234697
2017-03-28,22.92,23.09,22.52,22.6,24807
2017-03-29,22.58,22.82,22.34,22.45,18052
2017-03-30,22.16,22.86,22.16,22.76,24765
2017-03-31,22.64,24.89,22.49,24.0,650444
2017-04-03,23.93,24.3,23.7,23.98,129583
2017-04-05,23.96,24.55,23.94,24.34,117106
2017-04-06,24.3,25.9,24.0,24.95,163700
2017-04-07,24.85,25.6,24.81,25.22,67784
2017-04-10,25.22,25.78,25.19,25.67,51235
2017-04-11,25.25,25.99,25.13,25.79,59321
2017-04-12,25.36,26.9,25.2,26.72,263238
2017-04-13,26.78,28.68,26.76,28.37,435458
2017-04-17,28.74,29.57,28.16,28.31,221378
2017-04-18,28.04,29.27,28.04,28.74,185013
2017-04-19,28.52,29.22,28.44,29.0,183145
2017-04-20,28.8,29.1,28.33,28.46,67413
2017-04-21,28.68,28.68,26.49,27.63,225705
2017-04-24,27.63,29.27,27.08,27.68,126652
2017-04-25,27.85,28.39,27.26,27.39,76319
2017-04-26,27.02,28.15,27.02,27.74,129409
2017-04-27,28.14,28.21,27.47,28.02,54708
2017-04-28,27.75,28.27,27.66,27.87,41232
2017-05-02,27.32,27.91,27.32,27.87,102999
2017-05-03,27.38,28.86,27.38,28.6,268501
2017-05-04,28.3,28.85,27.81,27.94,71581
2017-05-05,28.89,29.45,28.45,28.71,362772
2017-05-08,28.51,29.63,28.51,29.16,185490
2017-05-09,29.33,29.99,29.04,29.48,300522
2017-05-10,29.67,29.84,29.37,29.58,117729
2017-05-11,29.78,29.8,29.04,29.16,58140
2017-05-12,29.62,29.94,28.52,28.9,424033
2017-05-15,28.92,29.6,28.74,28.84,54059
2017-05-16,28.98,29.3,28.92,29.2,69934
2017-05-17,29.45,29.82,29.27,29.69,254016
2017-05-18,29.05,29.54,28.95,29.08,76544
2017-05-19,29.27,29.87,28.44,29.47,69784
2017-05-22,29.16,29.39,28.48,29.13,40380
2017-05-23,28.66,29.18,28.15,28.55,75239
2017-05-24,28.57,29.18,27.62,27.8,79981
2017-05-25,28.27,28.91,27.52,28.61,128892
2017-05-26,28.9,29.04,28.44,28.87,20566
2017-05-29,28.15,28.66,28.15,28.5,34325
2017-05-30,28.2,29.33,28.15,29.0,19558
2017-05-31,29.04,29.59,28.87,29.52,56702
2017-06-01,29.35,29.69,28.82,29.61,56536
2017-06-02,29.63,30.55,29.33,30.26,157599
2017-06-05,30.46,31.94,30.34,31.34,238964
2017-06-06,31.13,31.6,30.98,31.39,124181
2017-06-07,29.75,31.17,29.75,30.72,85919
2017-06-08,30.64,31.59,30.22,30.38,72599
2017-06-09,30.63,31.37,30.26,30.45,139862
