date,open,high,low,close,volume
2003-09-05,6.34,6.72,6.34,6.57,443865
2003-09-08,6.69,7.0,6.43,6.88,612387
2003-09-09,6.97,7.13,6.71,6.87,500975
2003-09-10,6.84,6.85,6.3,6.66,499214
2003-09-11,6.52,7.09,6.5,6.98,501679
2003-09-12,7.07,7.11,6.25,6.43,347240
2003-09-15,6.43,6.8,6.35,6.68,415308
2003-09-16,6.67,7.0,6.53,6.95,525121
2003-09-17,7.0,7.5,7.0,7.23,943301
2003-09-18,7.16,7.25,6.69,6.75,457077
2003-09-19,6.88,6.99,6.51,6.79,320604
2003-09-22,6.8,6.89,6.51,6.56,208326
2003-09-23,6.53,6.98,6.5,6.89,241033
2003-09-24,6.99,7.06,6.75,6.83,134706
2003-09-25,6.85,7.21,6.75,7.09,267606
2003-09-26,7.1,7.23,6.97,7.06,184230
2003-09-29,7.09,7.38,6.95,7.1,304153
2003-09-30,7.16,7.67,7.09,7.59,575641
2003-10-01,7.55,7.8,7.45,7.65,372767
2003-10-03,7.7,7.85,7.6,7.65,167284
2003-10-06,7.72,7.8,7.53,7.58,121197
2003-10-07,7.66,7.73,7.23,7.32,190213
2003-10-08,7.38,7.43,7.1,7.22,186079
2003-10-09,7.23,7.64,7.23,7.44,253554
2003-10-10,7.55,7.63,7.28,7.33,105399
2003-10-13,7.39,7.53,7.33,7.36,120944
2003-10-14,7.42,7.49,7.0,7.07,139147
2003-10-15,7.15,7.4,6.98,7.3,126146
2003-10-16,7.4,7.75,7.4,7.59,340000
2003-10-17,7.65,7.7,7.33,7.38,149933
2003-10-20,7.42,7.42,7.07,7.14,71371
2003-10-21,7.13,7.28,6.45,6.62,145395
2003-10-22,6.75,7.2,6.44,6.66,163931
2003-10-23,6.77,6.9,6.63,6.82,146394
2003-10-24,6.88,7.13,6.53,6.99,146552
2003-10-25,7.1,7.25,7.03,7.12,33025
2003-10-27,7.04,7.13,6.72,6.77,115735
2003-10-28,6.85,7.23,6.5,7.05,560656
2003-10-29,7.2,7.3,6.83,6.98,246337
2003-10-30,6.95,7.71,6.88,7.61,478986
2003-10-31,7.74,7.92,7.66,7.78,218234
2003-11-03,7.76,7.98,7.76,7.92,201600
2003-11-04,8.0,8.0,7.55,7.69,136287
2003-11-05,7.74,8.34,7.73,8.2,487061
2003-11-06,8.25,9.48,8.23,9.35,875880
2003-11-07,9.4,9.62,8.85,8.95,331064
2003-11-10,9.05,9.43,8.72,9.22,92749
2003-11-11,9.3,9.63,9.13,9.21,209603
2003-11-12,9.34,10.73,9.31,10.32,892394
2003-11-13,10.31,10.42,9.93,10.06,357803
2003-11-14,10.03,10.43,9.75,9.86,313907
2003-11-15,10.0,10.43,9.84,10.27,98880
2003-11-17,10.4,11.15,10.28,10.88,497007
2003-11-18,10.81,11.02,10.55,10.7,236718
2003-11-19,10.75,10.75,10.03,10.23,160124
2003-11-20,10.25,10.63,9.78,9.95,226187
2003-11-21,10.17,10.73,10.05,10.63,324354
2003-11-24,10.63,10.86,10.38,10.47,212802
2003-11-25,10.73,10.94,10.54,10.61,131812
2003-11-27,11.13,11.13,10.63,10.67,79021
2003-11-28,10.28,11.34,10.28,11.04,249060
2003-12-01,11.22,11.3,11.03,11.22,113836
2003-12-02,11.35,12.23,11.34,12.13,392961
2003-12-03,12.23,12.23,11.91,12.06,224816
2003-12-04,12.05,12.91,11.88,12.5,386757
2003-12-05,12.62,13.12,12.4,12.53,261224
2003-12-08,12.71,13.25,12.5,13.08,131797
2003-12-09,13.24,13.88,13.18,13.76,198660
2003-12-10,13.8,13.86,13.28,13.42,96323
2003-12-11,13.52,13.73,12.88,12.94,92636
2003-12-12,13.1,13.82,12.76,13.68,167446
2003-12-15,13.85,14.17,13.78,13.89,93404
2003-12-16,13.06,14.13,13.06,13.53,72503
