date,open,high,low,close,volume
2003-12-04,10.6,10.61,10.13,10.41,42928
2003-12-05,10.6,11.46,10.0,11.46,123825
2003-12-08,12.05,12.61,11.81,12.61,106894
2003-12-09,12.9,13.75,12.15,12.91,198271
2003-12-10,13.05,13.5,11.8,12.29,51593
2003-12-11,12.5,12.65,11.61,11.8,71003
2003-12-12,12.2,12.42,11.12,11.2,72722
2003-12-15,11.3,11.79,10.77,11.37,208189
2003-12-16,11.58,12.51,11.51,12.5,282283
2003-12-17,12.5,13.38,11.71,12.2,240032
2003-12-18,12.48,12.7,11.51,11.7,136186
2003-12-19,11.8,11.9,10.9,11.02,173099
2003-12-22,11.1,11.35,10.4,10.68,295690
2003-12-23,10.9,11.24,10.61,10.71,217376
2003-12-24,11.0,11.0,10.5,10.94,297017
2003-12-26,11.09,11.43,10.73,11.29,221727
2003-12-29,11.35,11.35,10.8,10.92,79048
2003-12-30,11.02,11.1,10.5,10.83,102993
2003-12-31,11.0,11.29,10.7,11.13,107461
2004-01-01,11.29,11.75,11.21,11.39,110499
2004-01-02,11.45,11.57,11.12,11.48,149082
2004-01-05,12.0,12.0,11.0,11.41,199262
2004-01-06,11.3,11.5,11.2,11.31,196279
2004-01-07,11.13,11.3,10.5,10.74,33700
2004-01-08,11.14,11.3,10.8,10.83,23457
2004-01-09,10.95,10.99,10.2,10.47,41717
2004-01-12,10.51,10.75,9.61,10.03,88850
2004-01-13,10.2,10.5,10.04,10.21,23159
2004-01-14,10.69,10.94,10.37,10.89,38078
2004-01-15,10.8,10.9,10.5,10.75,94894
2004-01-16,10.42,10.7,10.1,10.4,24434
2004-01-19,10.34,11.15,10.34,10.65,58065
2004-01-20,10.58,11.02,10.58,10.68,112525
2004-01-21,10.0,11.01,9.77,10.29,81199
2004-01-22,10.4,10.65,9.4,9.72,26266
2004-01-23,9.73,10.3,9.73,10.21,33766
2004-01-27,10.21,10.55,10.21,10.49,43525
2004-01-28,10.41,11.05,10.2,10.35,35922
2004-01-29,10.39,11.0,9.9,9.98,15610
2004-01-30,10.3,10.75,8.98,9.47,18300
2004-02-03,9.6,9.6,8.52,9.26,33569
2004-02-04,9.38,9.79,8.7,9.55,32509
2004-02-05,9.48,10.3,9.48,10.09,30100
2004-02-06,10.18,10.49,9.7,10.01,4851
2004-02-09,10.0,10.69,10.0,10.25,18670
2004-02-10,10.8,10.8,10.03,10.1,24511
2004-02-11,10.4,10.4,10.05,10.17,16779
2004-02-12,10.1,10.48,9.9,10.16,26568
2004-02-13,9.95,10.18,9.95,10.08,6356
2004-02-16,10.15,10.2,9.91,9.94,19052
2004-02-17,10.29,10.3,9.52,9.87,456149
2004-02-18,9.98,9.98,9.55,9.76,36523
2004-02-19,9.7,9.76,9.01,9.2,22026
2004-02-20,9.2,9.65,9.16,9.26,44160
2004-02-23,9.3,9.35,8.82,8.87,7387
2004-02-24,8.9,9.08,8.6,8.86,15786
2004-02-25,8.94,9.05,8.54,8.64,8031
2004-02-26,8.68,8.89,8.22,8.36,7297
2004-02-27,8.31,8.5,8.16,8.24,7739
2004-03-01,8.7,9.06,7.95,9.06,43186
2004-03-03,9.24,9.42,8.81,8.93,23143
2004-03-04,8.96,9.1,8.85,8.93,6469
2004-03-05,8.91,9.08,8.7,8.74,28358
2004-03-08,8.77,8.93,8.5,8.54,14380
2004-03-09,8.54,8.8,8.1,8.2,7580
2004-03-10,8.2,8.4,7.7,7.89,14722
2004-03-11,7.8,8.0,7.78,7.83,13345
2004-03-12,7.76,7.85,7.42,7.76,23786
2004-03-15,7.9,7.9,7.02,7.22,10930
2004-03-16,7.01,7.25,7.0,7.03,15031
2004-03-17,7.03,7.73,7.03,7.7,54885
2004-03-18,7.8,8.4,7.74,8.18,25228
2004-03-19,8.49,8.49,8.08,8.21,20937
2004-03-22,8.0,8.4,8.0,8.27,26310
2004-03-23,8.05,8.1,7.6,7.84,11141
2004-03-24,7.9,8.2,7.6,7.87,13707
2004-03-25,7.9,7.99,7.71,7.86,1927
2004-03-26,7.85,8.63,7.76,8.31,11439
2004-03-29,8.45,8.45,7.8,8.21,876
2004-03-30,8.25,8.29,8.08,8.1,6159
2004-03-31,8.01,8.6,8.01,8.36,6299
2004-04-01,8.4,8.65,8.37,8.58,6915
2004-04-02,8.51,8.7,8.21,8.32,9089
2004-04-05,9.15,9.16,8.9,8.97,81166
2004-04-06,9.0,9.58,8.9,8.96,27795
2004-04-07,9.09,9.2,8.71,8.82,19895
2004-04-08,8.86,8.9,8.77,8.81,1625
2004-04-12,9.1,9.1,8.69,8.8,8154
2004-04-13,8.81,8.81,8.51,8.56,20460
2004-04-15,8.53,8.6,8.53,8.54,3005
2004-04-16,9.0,9.0,8.31,8.35,12699
2004-04-17,8.5,8.5,8.31,8.43,6954
2004-04-19,8.46,8.59,8.23,8.25,8664
2004-04-20,8.0,8.8,8.0,8.11,3288
2004-04-21,8.12,8.93,8.12,8.93,99512
2004-04-22,9.47,9.5,9.0,9.07,46025
2004-04-23,9.25,9.57,9.03,9.05,54606
2004-04-27,8.19,9.1,8.19,8.58,12939
2004-04-28,8.51,8.75,8.34,8.51,13322
2004-04-29,8.6,8.6,8.21,8.33,20136
2004-04-30,8.35,8.58,8.35,8.52,5068
2004-05-03,8.5,8.89,8.31,8.7,20228
2004-05-04,8.71,8.97,8.71,8.94,7838
2004-05-05,9.0,9.0,8.55,8.87,37883
2004-05-06,9.0,9.4,8.93,9.37,45880
2004-05-07,9.32,9.7,8.9,9.25,47274
2004-05-10,9.1,9.69,9.0,9.45,16969
2004-05-11,9.1,9.4,8.91,9.13,21366
2004-05-12,9.13,9.58,9.05,9.14,33843
2004-05-13,9.0,9.5,9.0,9.22,16018
2004-05-14,9.21,9.4,8.33,8.63,17175
2004-05-17,7.83,7.83,7.8,7.8,3535
2004-05-18,7.7,8.09,7.15,7.59,25779
2004-05-19,8.2,8.2,7.7,8.02,19989
2004-05-20,8.2,8.39,8.01,8.14,9943
2004-05-21,8.1,8.3,7.83,8.23,12052
2004-05-24,8.5,8.54,8.28,8.33,7248
2004-05-25,8.35,8.85,8.2,8.55,9098
2004-05-26,8.77,8.8,8.45,8.5,4613
2004-05-27,8.56,8.7,8.5,8.66,3894
2004-05-28,8.13,8.65,8.0,8.29,8988
2004-05-31,8.39,8.39,8.0,8.01,18241
2004-06-01,8.3,8.3,8.0,8.03,9967
2004-06-02,8.06,8.17,8.0,8.01,3220
2004-06-03,8.2,8.2,8.0,8.0,2795
2004-06-04,8.29,8.29,8.0,8.05,6742
2004-06-07,8.08,8.1,8.0,8.01,7880
2004-06-08,8.1,8.15,7.81,8.0,2129
2004-06-09,8.11,8.35,8.02,8.2,12079
2004-06-10,8.15,8.37,8.15,8.34,3711
2004-06-11,8.27,8.4,8.02,8.2,6629
2004-06-14,7.86,7.95,7.66,7.78,6200
2004-06-15,7.83,7.85,7.51,7.52,4966
2004-06-16,7.78,7.89,7.51,7.64,9678
2004-06-17,7.58,7.8,7.58,7.78,1695
2004-06-18,7.5,8.06,7.5,7.86,4607
2004-06-21,7.81,7.83,7.62,7.78,1720
2004-06-22,7.84,7.99,7.53,7.7,8493
2004-06-23,7.65,7.66,7.22,7.43,7547
2004-06-24,7.65,7.65,7.0,7.08,11451
2004-06-25,7.17,7.75,7.0,7.63,36602
2004-06-28,7.8,7.8,7.52,7.67,4157
2004-06-29,7.69,8.1,7.68,7.94,11324
2004-06-30,8.0,8.19,7.91,8.02,6524
2004-07-01,8.0,8.2,7.91,8.0,14955
2004-07-02,8.0,8.17,7.99,8.01,12956
2004-07-05,8.35,8.36,7.95,8.19,29803
2004-07-06,8.25,8.25,8.0,8.03,19953
2004-07-07,8.1,8.23,8.1,8.17,8955
2004-07-08,8.23,8.4,7.93,7.99,23084
2004-07-09,7.9,8.7,7.8,8.57,19042
2004-07-12,8.7,9.1,8.0,8.68,136187
2004-07-13,8.73,8.93,8.54,8.59,12829
2004-07-14,8.48,8.69,8.48,8.59,3412
2004-07-15,8.68,8.84,8.61,8.63,12927
2004-07-16,8.6,9.32,8.5,9.01,52486
2004-07-19,8.81,9.32,8.7,9.1,24369
2004-07-20,9.1,9.15,9.03,9.08,10717
2004-07-21,9.19,9.3,8.97,9.16,12153
2004-07-22,9.29,9.29,8.93,9.07,7266
2004-07-23,9.1,9.1,8.86,8.95,7204
2004-07-26,9.0,9.28,8.9,9.2,8685
2004-07-27,9.29,9.29,8.95,9.0,6209
2004-07-28,9.0,9.0,8.6,8.94,11454
2004-07-29,9.02,9.1,8.83,8.93,11815
2004-07-30,8.99,9.0,8.45,8.56,9347
2004-08-02,8.75,8.75,8.45,8.49,18723
2004-08-03,8.63,8.7,8.12,8.29,10313
2004-08-04,8.5,9.0,8.5,8.6,13835
2004-08-05,8.38,8.89,8.38,8.71,4446
2004-08-06,8.63,8.99,8.63,8.81,15446
2004-08-09,8.97,9.16,8.82,9.06,11797
2004-08-10,9.03,9.1,8.75,9.01,8518
2004-08-11,9.0,9.15,8.7,8.77,38222
2004-08-12,8.7,8.98,8.3,8.47,13796
2004-08-13,8.37,8.7,8.37,8.6,8190
2004-08-16,8.65,8.85,8.65,8.73,2492
2004-08-17,8.95,9.24,8.8,9.18,38104
2004-08-18,9.1,9.49,9.05,9.1,52675
2004-08-19,9.0,9.18,8.97,9.13,11053
2004-08-20,9.2,9.2,9.04,9.16,11614
2004-08-23,9.3,9.4,9.07,9.21,25980
2004-08-24,9.2,9.42,9.2,9.29,19026
2004-08-25,9.42,9.42,9.1,9.22,21194
2004-08-26,9.35,9.4,9.21,9.28,37437
2004-08-27,9.5,9.65,9.33,9.5,83960
2004-08-30,9.6,9.63,9.3,9.57,39784
2004-08-31,9.7,10.27,9.62,9.71,173291
2004-09-01,9.7,10.24,9.7,10.17,156169
2004-09-02,10.47,10.95,10.23,10.65,219853
2004-09-03,10.9,11.2,10.75,10.85,122088
2004-09-06,11.0,11.31,11.0,11.19,76385
2004-09-07,11.28,11.49,11.0,11.08,123459
2004-09-08,11.48,11.5,10.8,10.93,55455
2004-09-09,10.99,11.37,10.55,10.7,56572
2004-09-10,10.7,10.75,10.5,10.55,37771
2004-09-13,10.83,10.9,10.41,10.51,48407
2004-09-14,10.54,10.54,10.17,10.21,27196
2004-09-15,10.4,10.6,10.1,10.32,49658
2004-09-16,10.47,10.75,10.26,10.68,45974
2004-09-17,10.7,10.79,10.52,10.58,38384
2004-09-20,10.68,10.9,10.62,10.67,61313
2004-09-21,10.7,10.77,10.35,10.42,57552
2004-09-22,10.58,10.69,10.39,10.47,63918
2004-09-23,10.5,10.5,10.11,10.18,44804
2004-09-24,10.21,10.45,10.13,10.22,40014
2004-09-27,10.1,10.2,9.85,9.98,73008
2004-09-28,10.13,10.13,9.7,9.76,37698
2004-09-29,9.9,10.0,9.66,9.74,145253
2004-09-30,9.87,10.1,9.8,9.85,56974
2004-10-01,9.9,10.1,9.83,10.03,32216
2004-10-04,10.1,10.3,9.85,10.0,51090
2004-10-05,10.1,10.19,9.88,9.95,51675
2004-10-06,10.06,10.14,9.65,9.7,76977
2004-10-07,9.88,10.5,9.76,10.16,143844
2004-10-08,10.2,10.3,9.9,10.03,70610
2004-10-09,10.1,10.45,9.92,10.36,47332
2004-10-11,10.38,10.41,10.01,10.07,56347
2004-10-12,10.15,10.2,9.8,9.86,34594
2004-10-14,9.9,9.99,9.23,9.84,31266
2004-10-15,10.0,10.2,9.64,9.74,51240
2004-10-18,9.9,10.06,9.75,9.88,42159
2004-10-19,9.97,10.3,9.82,10.1,55663
2004-10-20,10.17,11.11,10.17,11.01,356002
2004-10-21,11.29,11.29,10.78,10.85,169118
2004-10-25,10.8,10.8,10.26,10.42,57657
2004-10-26,10.54,10.7,10.4,10.48,33316
2004-10-27,10.49,10.72,10.44,10.62,22338
2004-10-28,10.7,10.74,10.53,10.61,18892
2004-10-29,10.55,10.65,10.26,10.45,28027
2004-11-01,10.41,10.7,10.3,10.62,32350
2004-11-02,10.85,11.1,10.61,10.69,65131
2004-11-03,10.77,11.0,10.65,10.86,42385
2004-11-04,10.97,10.97,10.7,10.79,32163
2004-11-05,10.76,10.8,10.52,10.65,24029
2004-11-08,10.7,10.99,10.65,10.84,25067
2004-11-09,10.9,11.03,10.7,10.8,35957
2004-11-10,11.0,11.98,10.76,11.51,3947253
2004-11-11,11.8,12.18,11.62,11.81,839438
2004-11-12,11.9,12.05,11.7,11.9,83179
2004-11-16,11.9,13.3,11.76,13.07,710260
2004-11-17,12.85,13.28,12.34,12.49,390654
2004-11-18,12.5,12.88,11.87,11.95,409549
2004-11-19,12.14,12.14,11.7,11.9,831939
2004-11-22,11.8,12.35,11.55,12.13,255541
2004-11-23,12.2,12.4,12.05,12.11,316827
2004-11-24,12.15,12.3,11.92,12.04,265661
2004-11-25,12.12,12.49,11.85,11.94,653216
2004-11-29,11.5,12.37,11.5,12.09,517106
2004-11-30,12.11,12.24,11.8,12.02,196673
2004-12-01,12.0,12.1,11.68,11.92,119684
2004-12-02,11.96,12.17,11.8,11.86,79921
2004-12-03,11.5,11.91,11.5,11.8,179197
2004-12-06,11.8,12.15,11.8,12.02,140761
2004-12-07,12.12,12.27,12.0,12.16,93447
2004-12-08,12.1,12.27,11.75,11.83,116591
2004-12-09,11.88,12.19,11.75,11.8,159387
2004-12-10,11.83,12.0,11.7,11.85,119095
2004-12-13,11.81,12.08,11.75,12.02,70837
2004-12-14,12.19,12.59,12.01,12.32,226991
2004-12-15,12.33,12.74,12.08,12.17,125183
2004-12-16,12.2,12.28,11.91,12.01,47348
2004-12-17,12.05,12.2,11.81,12.01,42985
2004-12-20,12.28,12.28,11.86,12.12,71666
2004-12-21,12.25,12.44,12.22,12.32,112364
2004-12-22,12.5,12.8,12.45,12.51,201580
2004-12-23,12.61,12.68,12.32,12.39,66432
2004-12-24,12.5,12.6,12.36,12.42,38768
2004-12-27,12.49,12.7,12.25,12.37,80191
2004-12-28,12.59,13.69,12.45,13.28,472567
2004-12-29,13.5,13.6,12.77,13.05,192631
2004-12-30,13.3,13.3,12.7,12.83,81074
2004-12-31,13.3,13.3,12.92,13.08,108826
2005-01-03,13.21,14.79,13.21,13.75,427977
2005-01-04,13.95,14.08,13.41,13.62,93845
2005-01-05,13.5,13.74,12.7,13.08,270751
2005-01-06,12.8,13.2,12.42,13.02,156651
2005-01-07,13.4,13.4,12.93,13.08,49125
2005-01-10,13.1,13.69,13.05,13.14,59484
2005-01-11,13.2,13.25,12.9,12.98,82173
2005-01-12,13.2,13.2,12.5,12.51,155388
2005-01-13,12.9,12.9,12.55,12.85,32884
2005-01-14,13.5,13.5,12.5,12.56,23114
2005-01-17,12.68,12.79,12.35,12.61,48406
2005-01-18,12.64,12.8,12.2,12.51,32672
2005-01-19,12.41,12.69,12.4,12.43,20890
2005-01-20,12.4,12.5,12.3,12.36,21275
2005-01-24,12.36,12.7,12.36,12.54,31334
2005-01-25,12.48,12.53,12.21,12.48,24891
2005-01-27,12.6,12.75,12.5,12.64,51288
2005-01-28,12.8,13.15,12.4,12.48,70007
2005-01-31,12.56,12.89,12.4,12.54,50745
2005-02-01,12.77,12.77,12.26,12.34,42061
2005-02-02,12.49,12.59,12.05,12.13,37749
