date,open,high,low,close,volume
2003-09-05,45.08,47.02,44.18,46.73,1132414
2003-09-08,47.29,48.19,46.65,47.55,736114
2003-09-09,48.07,49.99,47.37,48.31,1251048
2003-09-10,49.69,49.72,46.2,47.49,908005
2003-09-11,46.8,47.02,45.57,45.87,934354
2003-09-12,46.5,46.99,44.25,44.64,1085735
2003-09-15,44.96,44.96,41.29,41.58,835326
2003-09-16,41.06,45.18,40.88,44.81,960738
2003-09-17,46.69,46.95,44.07,44.69,1040766
2003-09-18,44.93,44.93,42.07,42.43,828064
2003-09-19,43.05,43.86,41.12,43.13,983103
2003-09-22,43.86,44.05,42.19,42.36,637239
2003-09-23,41.88,43.04,41.44,42.81,607818
2003-09-24,43.5,45.08,42.83,44.89,680508
2003-09-25,43.87,45.0,43.58,44.23,678105
2003-09-26,44.44,46.86,43.87,46.71,1172955
2003-09-29,46.32,47.69,46.16,46.63,860394
2003-09-30,47.29,47.44,46.58,47.09,606804
2003-10-01,46.76,47.92,46.13,46.78,723988
2003-10-03,47.4,47.65,45.22,45.63,941174
2003-10-06,46.28,47.1,46.13,46.42,583598
2003-10-07,46.69,47.69,45.9,46.2,738140
2003-10-08,46.5,46.53,44.25,45.46,752997
2003-10-09,45.76,47.17,45.47,46.65,709998
2003-10-10,49.12,50.96,47.06,50.52,1276774
2003-10-13,51.37,52.87,51.11,51.44,696430
2003-10-14,52.5,55.42,49.65,50.04,797153
2003-10-15,50.4,51.19,48.6,50.01,856971
2003-10-16,50.92,52.31,50.44,51.73,812112
2003-10-17,56.89,56.89,51.94,53.23,997623
2003-10-20,53.44,53.44,51.02,51.46,704414
2003-10-21,51.75,51.75,49.04,49.43,643821
2003-10-22,49.54,50.06,46.99,47.57,813614
2003-10-23,47.4,47.8,45.92,46.21,647016
2003-10-24,46.16,48.56,45.96,48.18,571619
2003-10-25,49.46,49.46,47.89,48.13,110782
2003-10-27,48.04,48.04,45.94,46.12,411150
2003-10-28,47.25,47.8,46.42,46.98,566093
2003-10-29,47.71,48.0,46.01,47.2,581137
2003-10-30,47.57,47.57,46.69,46.96,332456
2003-10-31,47.03,50.59,47.03,50.33,730032
2003-11-03,50.63,53.92,50.08,53.46,786107
2003-11-04,54.19,56.17,53.92,54.53,937710
2003-11-05,54.37,54.37,51.97,53.25,631328
2003-11-06,53.62,55.8,53.34,54.36,840202
2003-11-07,54.75,55.46,53.25,53.6,416365
2003-11-10,54.0,54.0,51.65,53.27,264301
2003-11-11,52.59,54.82,52.17,53.91,610763
2003-11-12,54.75,55.38,53.51,54.7,631835
2003-11-13,55.46,56.05,52.89,53.44,719832
2003-11-14,53.07,53.7,52.23,53.06,683680
2003-11-15,52.5,53.77,52.33,53.01,157830
2003-11-17,53.62,54.54,52.55,54.17,457407
2003-11-18,54.37,54.75,52.61,53.04,553788
2003-11-19,52.69,53.81,51.56,53.04,749493
2003-11-20,54.26,54.3,52.33,52.59,518375
2003-11-21,52.5,54.9,52.21,54.18,563078
2003-11-24,54.75,54.75,53.36,54.15,551598
2003-11-25,54.82,55.42,54.01,54.39,572195
2003-11-27,54.75,57.71,54.21,56.83,1146552
2003-11-28,57.15,58.05,56.49,57.67,683606
2003-12-01,58.31,60.94,58.31,60.57,879784
2003-12-02,61.52,61.69,57.98,58.69,757845
2003-12-03,58.8,59.89,57.79,59.37,621166
2003-12-04,59.62,59.62,57.96,58.87,551886
2003-12-05,58.55,59.16,56.32,56.57,454176
2003-12-08,56.21,57.74,55.69,57.23,635481
2003-12-09,57.56,58.31,57.28,58.07,375261
2003-12-10,57.75,60.37,57.23,59.68,610556
2003-12-11,59.7,61.59,59.62,61.34,703814
2003-12-12,61.57,61.99,59.72,60.35,748123
2003-12-15,60.94,62.8,60.75,62.5,417893
2003-12-16,61.12,63.86,61.12,63.21,710925
2003-12-17,62.25,62.81,60.52,62.27,766467
2003-12-18,62.17,63.71,61.87,63.07,485366
2003-12-19,63.19,64.27,62.76,63.96,500914
2003-12-22,63.75,64.1,62.51,63.04,454604
2003-12-23,62.66,63.75,61.88,62.12,441463
2003-12-24,62.43,65.44,61.95,64.52,570285
2003-12-26,64.84,65.34,63.94,64.27,479194
2003-12-29,64.71,66.48,64.71,65.76,568902
2003-12-30,66.37,67.57,65.27,65.91,527505
2003-12-31,66.34,66.55,52.76,65.1,426154
2004-01-01,65.7,66.7,65.51,66.03,400396
2004-01-02,66.04,66.7,65.7,66.09,367851
2004-01-05,66.57,67.17,64.95,65.28,520442
2004-01-06,66.64,67.84,61.91,63.47,1010424
2004-01-07,64.12,64.5,62.46,63.58,650629
2004-01-08,65.56,65.62,63.37,65.09,616086
2004-01-09,66.75,70.12,64.72,65.87,1081512
2004-01-12,66.0,66.0,64.39,65.14,341601
2004-01-13,63.79,66.0,63.79,65.56,340590
2004-01-14,65.83,67.01,65.62,65.98,322458
2004-01-15,66.56,66.75,63.34,63.91,323004
2004-01-16,63.49,64.63,62.12,63.73,485493
2004-01-19,64.42,65.58,63.56,65.05,487653
2004-01-20,66.26,66.26,63.41,64.42,527869
2004-01-21,65.62,66.0,60.75,62.13,933807
2004-01-22,62.4,65.8,60.53,61.46,1068191
2004-01-23,62.25,64.87,61.71,64.5,623017
2004-01-27,65.62,65.62,62.93,64.92,634917
2004-01-28,64.46,64.95,60.79,61.8,599277
2004-01-29,63.19,63.19,57.76,59.02,1077001
2004-01-30,59.81,60.19,58.05,58.45,563340
2004-02-03,57.19,59.62,56.81,57.2,605322
2004-02-04,57.23,58.27,55.31,56.89,721020
2004-02-05,57.0,58.05,55.5,56.21,699982
2004-02-06,56.47,58.57,56.31,58.34,667597
2004-02-09,58.84,61.84,58.51,60.95,428763
2004-02-10,60.19,61.49,59.38,59.93,497264
2004-02-11,59.62,60.75,59.62,60.33,332406
2004-02-12,60.75,61.01,58.52,59.15,485089
2004-02-13,59.25,61.2,59.25,60.96,516983
2004-02-16,60.04,61.5,60.04,60.63,338130
2004-02-17,60.67,60.93,59.44,60.32,348491
2004-02-18,60.75,60.97,59.46,59.65,290436
2004-02-19,59.92,59.92,56.18,56.66,693767
2004-02-20,56.24,57.34,54.52,56.4,766299
2004-02-23,56.55,57.04,54.76,55.06,370544
2004-02-24,54.83,55.5,53.34,55.01,551345
2004-02-25,55.27,55.27,53.63,54.09,448168
2004-02-26,54.34,55.08,52.68,53.2,710242
2004-02-27,54.37,55.12,52.4,54.55,721091
2004-03-01,55.5,56.4,54.57,56.18,382186
2004-03-03,55.69,57.18,55.05,56.55,434154
2004-03-04,57.0,57.56,56.26,56.8,397572
2004-03-05,57.0,57.11,55.32,55.83,472770
2004-03-08,55.87,56.21,53.66,54.1,355056
2004-03-09,53.96,53.96,52.32,53.59,511998
2004-03-10,53.25,55.31,52.65,54.81,639289
2004-03-11,53.62,54.75,52.96,53.91,399116
2004-03-12,54.0,55.69,53.45,55.12,345286
2004-03-15,56.05,56.19,52.8,53.42,474505
2004-03-16,52.72,55.05,52.54,54.68,389748
2004-03-17,54.94,56.62,53.81,55.05,396605
2004-03-18,55.31,55.31,52.9,53.42,294468
2004-03-19,54.0,54.71,53.06,53.87,481533
2004-03-22,53.44,53.99,51.45,51.83,361874
2004-03-23,51.38,53.34,51.0,52.55,411252
2004-03-24,52.31,52.31,51.0,51.83,381649
2004-03-25,52.12,53.14,51.38,51.92,348123
2004-03-26,52.33,53.81,52.33,53.54,399253
2004-03-29,53.81,53.81,52.22,52.94,206436
2004-03-30,53.21,53.43,51.3,51.66,358604
2004-03-31,51.97,52.3,50.66,51.04,456666
2004-04-01,50.92,51.89,50.67,51.33,284237
2004-04-02,51.56,51.82,50.25,50.6,398410
2004-04-05,50.62,52.78,49.77,52.23,435866
2004-04-06,52.88,54.07,52.2,52.85,398392
2004-04-07,52.95,53.68,51.71,53.14,328052
2004-04-08,56.25,57.19,54.23,54.9,745802
2004-04-12,55.76,55.87,54.04,54.44,296488
2004-04-13,55.69,60.64,55.52,60.27,1028040
2004-04-15,61.12,61.8,59.62,59.96,805857
2004-04-16,61.27,62.81,60.6,60.98,1063679
2004-04-17,61.42,61.5,60.6,60.72,195956
2004-04-19,60.0,60.56,59.1,59.79,484012
2004-04-20,60.34,60.52,59.77,60.25,336300
2004-04-21,59.44,60.34,59.25,59.9,387555
2004-04-22,60.04,61.23,59.74,60.48,349518
2004-04-23,61.12,61.12,59.57,59.76,275175
2004-04-27,59.29,59.89,57.19,57.42,490388
2004-04-28,57.37,58.09,56.82,57.06,348677
2004-04-29,57.07,58.31,56.67,57.54,357526
2004-04-30,57.86,58.87,56.62,57.94,405261
2004-05-03,60.0,60.0,57.34,58.3,367012
2004-05-04,59.09,60.14,58.95,59.68,294910
2004-05-05,59.21,60.75,59.21,60.22,301921
2004-05-06,60.61,61.12,59.44,59.68,280452
2004-05-07,59.62,59.62,57.83,58.12,220881
2004-05-10,57.31,58.5,56.83,57.56,160578
2004-05-11,56.47,57.22,55.54,56.49,187091
2004-05-12,56.32,57.59,56.32,57.31,218947
2004-05-13,57.0,60.94,55.13,59.84,521830
2004-05-14,60.42,60.86,57.24,57.96,529999
2004-05-17,57.75,58.12,44.62,46.61,389417
2004-05-18,46.31,60.37,45.04,57.72,792112
2004-05-19,58.35,59.16,55.46,57.06,394627
2004-05-20,58.27,61.87,54.96,55.3,298427
2004-05-21,55.31,57.19,53.51,56.69,341074
2004-05-24,57.41,60.88,56.92,60.38,562031
2004-05-25,59.66,61.65,58.12,60.75,672198
2004-05-26,61.31,61.42,59.07,59.59,479142
2004-05-27,59.14,60.82,57.82,60.2,603090
2004-05-28,59.62,60.07,54.56,56.39,908799
2004-05-31,55.87,58.08,54.75,57.14,526370
2004-06-01,57.81,58.68,56.93,57.25,370275
2004-06-02,57.0,57.69,56.29,57.34,319434
2004-06-03,58.12,58.21,54.08,54.74,484287
2004-06-04,54.94,56.77,54.01,56.43,441662
2004-06-07,59.02,59.02,54.94,55.71,347434
2004-06-08,56.16,56.7,55.54,56.08,386384
2004-06-09,55.95,56.62,55.7,56.06,275328
2004-06-10,55.5,57.34,55.12,57.13,334823
2004-06-11,57.37,57.45,55.31,55.49,342552
2004-06-14,56.21,56.21,53.81,54.14,359022
2004-06-15,54.09,56.2,53.62,55.77,359530
2004-06-16,56.21,56.55,55.22,55.63,295793
2004-06-17,55.8,56.62,55.17,56.4,232624
2004-06-18,56.81,57.64,55.88,56.81,620873
2004-06-21,57.0,59.06,56.62,58.8,683508
2004-06-22,58.87,58.87,57.86,58.41,478927
2004-06-23,57.98,59.32,57.29,57.58,460521
2004-06-24,57.75,59.92,57.43,59.55,828739
2004-06-25,64.13,64.13,58.75,59.99,1178798
2004-06-28,60.47,63.45,60.47,62.57,1977529
2004-06-29,62.57,62.93,60.2,60.94,1697044
2004-06-30,60.77,61.54,59.63,59.86,1368775
2004-07-01,60.08,60.75,59.19,60.27,939381
2004-07-02,59.68,60.75,56.36,59.37,922002
2004-07-05,59.63,60.13,58.51,58.87,735599
2004-07-06,58.8,60.15,58.51,59.87,730516
2004-07-07,59.63,60.3,57.74,58.07,1456674
2004-07-08,58.5,59.49,55.13,56.31,1616905
2004-07-09,56.36,56.81,52.88,56.23,903675
2004-07-12,56.98,57.38,55.71,56.09,1015193
2004-07-13,57.25,57.38,55.35,55.83,1112480
2004-07-14,56.69,57.77,56.39,57.58,1423835
2004-07-15,58.47,59.25,57.63,59.08,1434693
2004-07-16,59.74,60.08,58.16,59.15,1173878
2004-07-19,59.26,59.85,58.61,59.47,1111380
2004-07-20,59.51,59.63,58.24,58.48,693494
2004-07-21,59.06,59.67,58.18,59.01,841408
2004-07-22,59.06,59.96,58.33,58.96,1028854
2004-07-23,60.64,61.54,59.19,59.62,2127921
2004-07-26,59.03,59.29,58.51,58.92,922156
2004-07-27,59.13,59.48,58.17,58.46,715179
2004-07-28,59.76,61.76,58.53,59.26,907677
2004-07-29,59.48,61.3,58.56,60.91,2053168
2004-07-30,61.31,62.43,61.01,61.52,1728437
2004-08-02,61.65,61.83,60.03,60.84,1152876
2004-08-03,60.98,61.43,59.87,60.51,1242305
2004-08-04,60.53,60.53,59.29,59.8,807664
2004-08-05,59.96,63.97,59.96,63.53,2970777
2004-08-06,63.34,63.56,61.54,62.0,2135303
2004-08-09,61.65,63.1,60.55,62.76,1494708
2004-08-10,62.83,63.56,62.11,63.16,1390067
2004-08-11,63.23,64.44,62.21,62.65,2266859
2004-08-12,62.21,62.89,60.81,61.15,1742269
2004-08-13,61.2,61.47,59.74,60.12,1431747
2004-08-16,60.17,61.03,59.74,60.78,1090674
2004-08-17,61.65,62.3,61.09,61.45,1094736
2004-08-18,61.43,62.42,60.76,61.45,1448794
2004-08-19,61.76,63.34,61.76,63.04,1647252
2004-08-20,63.23,64.0,62.67,63.51,1584890
2004-08-23,64.09,64.9,63.01,63.48,1454441
2004-08-24,64.13,65.55,63.59,64.91,1757444
2004-08-25,65.59,65.81,63.35,63.58,1411041
2004-08-26,63.0,64.88,63.0,64.6,1279206
2004-08-27,64.58,64.58,63.38,63.96,617642
2004-08-30,64.13,65.46,63.91,65.27,684515
2004-08-31,65.08,65.7,64.35,65.08,888263
2004-09-01,64.91,65.48,64.69,64.82,539065
2004-09-02,65.25,65.81,64.58,65.05,754393
2004-09-03,65.42,65.69,64.69,65.42,524963
2004-09-06,65.81,66.26,65.1,65.7,645530
2004-09-07,65.81,66.86,65.26,66.62,1054249
