date,open,high,low,close,volume
2002-01-01,149.03,150.86,149.03,149.86,6024
2002-01-02,150.26,152.68,149.8,150.86,9430
2002-01-03,151.49,155.17,151.49,153.44,9555
2002-01-04,153.68,155.17,152.1,153.11,13854
2002-01-07,153.33,155.3,151.22,152.33,9156
2002-01-08,152.56,159.14,152.16,153.9,31559
2002-01-09,153.94,155.48,149.03,149.43,15399
2002-01-10,149.8,151.46,149.33,151.06,3599
2002-01-11,150.72,153.02,146.88,148.43,12544
2002-01-14,149.03,152.41,148.11,148.71,9742
2002-01-15,149.03,155.17,149.03,150.76,7874
2002-01-16,151.18,151.76,146.88,147.69,5233
2002-01-17,148.11,149.95,145.68,146.54,6801
2002-01-18,147.64,150.26,147.49,149.0,13934
2002-01-21,149.03,153.02,149.03,152.19,11911
2002-01-22,152.41,153.64,151.27,151.7,4629
2002-01-23,151.49,152.41,151.18,152.15,7626
2002-01-24,153.61,153.61,151.49,151.84,17455
2002-01-25,151.33,152.71,149.1,149.87,14127
2002-01-28,149.8,151.18,145.49,146.48,6619
2002-01-29,145.95,148.11,142.88,143.79,7531
2002-01-30,144.42,144.42,139.89,143.54,17226
2002-01-31,143.65,144.7,140.42,141.13,19140
2002-02-01,141.65,144.42,138.29,139.75,15412
2002-02-04,139.81,146.57,138.32,140.55,20185
2002-02-05,140.12,143.8,140.12,141.87,8250
2002-02-06,141.5,159.14,141.5,144.33,11051
2002-02-07,143.19,147.18,142.88,143.07,4384
2002-02-08,143.34,145.95,143.27,144.89,2646
2002-02-11,144.73,146.86,144.42,145.03,6031
2002-02-12,145.34,150.53,145.34,148.98,23201
2002-02-13,152.1,155.16,149.33,153.18,81858
2002-02-14,153.02,154.87,151.18,151.62,12728
2002-02-15,152.1,152.13,149.95,151.07,15360
2002-02-18,150.56,154.25,150.56,151.55,11390
2002-02-19,151.18,153.64,151.18,152.79,13007
2002-02-20,153.33,155.17,152.88,153.87,69339
2002-02-21,158.25,164.38,154.56,162.19,93211
2002-02-22,163.78,168.85,161.96,166.14,40412
2002-02-25,166.39,166.39,161.66,162.92,27036
2002-02-26,163.16,164.7,161.01,163.3,12563
2002-02-27,163.32,166.24,163.32,165.68,28180
2002-02-28,165.31,169.54,155.17,164.05,45021
2002-03-01,163.62,165.93,162.86,164.91,9291
2002-03-04,165.16,167.74,162.7,164.05,7113
2002-03-05,163.47,164.7,161.09,161.52,7639
2002-03-06,161.63,164.39,160.12,161.6,10408
2002-03-07,162.86,165.16,160.09,161.49,18758
2002-03-08,162.86,165.31,158.29,159.4,22460
2002-03-11,161.01,162.21,159.8,161.33,3339
2002-03-12,161.32,162.16,159.78,159.92,13046
2002-03-13,160.4,161.63,159.17,160.49,5568
2002-03-14,161.32,165.01,161.01,161.69,15049
2002-03-15,161.63,164.39,161.32,161.9,26260
2002-03-18,162.24,166.54,162.24,165.14,34667
2002-03-19,165.31,165.93,162.86,163.62,12469
2002-03-20,164.39,165.57,162.86,163.99,12693
2002-03-21,164.24,165.01,163.16,164.28,7617
2002-03-22,164.08,166.24,162.86,165.76,6961
2002-03-26,166.54,176.38,165.93,173.66,21534
2002-03-27,172.1,175.15,170.54,174.35,24850
2002-03-28,174.22,175.15,172.07,172.5,9654
2002-04-01,172.5,173.86,170.54,172.2,5253
2002-04-02,173.61,178.99,173.61,176.82,22272
2002-04-03,176.34,180.34,173.61,178.68,11105
2002-04-04,178.22,179.14,175.76,176.9,8735
2002-04-05,175.81,178.82,174.53,175.53,6291
2002-04-08,179.76,179.76,174.87,177.0,2824
2002-04-09,176.14,176.84,175.15,175.38,2630
2002-04-10,175.76,177.6,173.61,174.82,3327
2002-04-11,176.68,176.68,172.29,176.01,2105
2002-04-12,176.68,178.82,172.72,173.53,14368
2002-04-15,179.76,179.76,172.69,174.32,5315
2002-04-16,175.15,175.15,172.38,173.0,15607
2002-04-17,172.69,175.13,169.0,170.75,12854
2002-04-18,173.61,179.76,172.18,173.27,14421
2002-04-19,174.81,174.81,170.54,171.78,5371
2002-04-22,169.92,171.77,169.31,170.29,4767
2002-04-23,171.61,171.72,169.65,171.35,2550
2002-04-24,171.46,173.3,170.54,172.5,6097
2002-04-25,172.56,173.92,171.77,172.07,17528
2002-04-26,172.07,172.92,172.07,172.61,4151
2002-04-29,173.61,175.15,171.61,172.06,35936
2002-04-30,173.3,173.3,169.03,171.83,14424
2002-05-02,172.38,175.12,172.07,174.56,4075
2002-05-03,173.93,175.91,173.93,175.15,9160
2002-05-06,175.15,178.83,173.61,174.49,6826
2002-05-07,174.53,178.19,173.92,174.79,10357
2002-05-08,173.66,175.58,173.66,173.95,4058
2002-05-09,173.0,175.1,172.69,173.7,2276
2002-05-10,173.32,174.07,170.55,172.38,6933
2002-05-13,173.61,173.61,169.03,170.18,2519
2002-05-14,171.15,172.07,168.16,169.57,2986
2002-05-15,168.85,168.85,165.93,167.28,4401
2002-05-16,166.1,166.1,164.39,165.36,2867
2002-05-17,165.14,165.59,162.24,162.96,2543
2002-05-20,162.55,162.55,157.39,160.7,4626
2002-05-21,156.71,156.71,153.79,155.19,7959
2002-05-22,153.04,156.09,153.02,154.76,4326
2002-05-23,155.48,155.48,151.21,151.56,1322
2002-05-24,157.94,157.94,153.64,156.13,5833
2002-05-27,156.71,156.71,152.1,152.52,5545
2002-05-28,153.64,154.4,150.56,150.73,3601
2002-05-29,145.95,156.4,145.95,155.97,2877
2002-05-30,154.59,156.71,153.64,156.06,14175
2002-05-31,149.03,164.39,149.03,159.61,6817
2002-06-03,155.2,159.66,155.2,156.85,1120
2002-06-04,157.32,157.32,155.48,155.7,1000
2002-06-05,155.79,157.57,155.17,155.76,1991
2002-06-06,156.71,157.02,151.82,153.33,2639
2002-06-07,153.33,153.33,151.33,151.73,875
2002-06-10,153.64,154.25,151.49,152.95,1188
2002-06-11,156.71,156.71,153.02,153.56,2926
2002-06-12,154.25,154.25,153.33,153.7,3817
2002-06-13,153.64,153.94,150.56,152.44,3873
2002-06-14,153.33,154.25,150.56,151.09,3239
2002-06-17,152.1,153.64,151.5,152.21,1355
2002-06-18,152.79,154.25,152.1,152.73,1415
2002-06-19,159.44,159.44,151.64,152.42,2060
2002-06-20,153.61,153.61,151.18,151.24,988
2002-06-21,152.1,152.1,149.95,151.04,3681
2002-06-24,155.02,155.02,151.18,151.92,2202
2002-06-25,153.61,153.64,151.79,152.1,2540
2002-06-26,151.79,152.19,150.1,150.43,2748
2002-06-27,153.31,153.31,149.33,151.1,1365
2002-06-28,151.79,152.1,150.26,151.38,912
2002-07-01,149.93,153.01,149.86,150.12,1354
2002-07-02,151.49,151.49,149.64,151.01,1655
2002-07-03,151.49,152.07,149.3,150.4,1269
2002-07-04,150.87,152.1,149.69,150.15,1227
2002-07-05,150.26,150.26,147.83,148.67,3966
2002-07-08,149.03,152.09,148.21,149.72,2306
2002-07-09,150.23,151.79,149.95,151.09,1272
2002-07-10,151.76,151.76,149.77,150.64,951
2002-07-11,150.56,151.33,149.95,150.49,1633
2002-07-12,149.12,150.87,147.49,148.37,6951
2002-07-15,149.33,149.57,147.54,148.03,367
2002-07-16,149.03,149.03,147.49,148.18,3001
2002-07-17,152.1,152.1,144.42,145.6,2108
2002-07-18,147.55,149.03,144.79,146.39,3197
2002-07-19,148.72,152.1,147.49,151.61,2989
2002-07-22,152.1,152.87,146.57,147.45,6994
2002-07-23,146.57,149.27,144.89,146.6,3563
2002-07-24,146.57,148.41,145.95,147.23,1724
2002-07-25,147.66,150.26,147.66,149.64,1405
2002-07-26,150.26,150.26,145.95,146.29,4760
2002-07-29,146.0,146.0,142.88,143.65,2056
2002-07-30,144.43,146.91,142.88,143.99,2423
2002-07-31,145.95,145.95,142.27,142.51,4753
2002-08-01,148.11,148.11,145.19,145.72,3002
2002-08-02,145.79,145.95,143.85,144.4,2907
2002-08-05,150.72,150.72,144.42,147.08,1728
2002-08-06,146.11,148.66,146.03,147.46,5396
2002-08-07,147.8,149.03,147.49,147.92,2127
2002-08-08,148.41,150.41,146.34,147.46,1969
2002-08-09,146.85,146.85,142.27,143.27,3944
2002-08-12,143.8,145.95,142.57,143.25,2471
2002-08-13,142.88,142.88,141.96,142.18,2227
2002-08-14,142.88,144.33,141.96,143.56,1085
2002-08-16,143.5,147.49,143.5,146.03,3509
2002-08-19,146.12,146.12,143.19,143.65,2767
2002-08-20,146.11,146.14,143.5,143.65,5912
2002-08-21,143.19,144.57,142.88,143.2,2810
2002-08-22,144.89,144.89,143.53,143.8,1278
2002-08-23,144.4,144.4,142.57,142.94,2320
2002-08-26,142.88,143.25,140.12,140.75,6300
2002-08-27,140.73,140.73,137.35,137.94,40669
2002-08-28,138.58,139.81,137.35,137.95,3072
2002-08-29,138.58,139.79,137.66,137.94,4453
2002-08-30,137.66,138.58,136.12,137.7,4726
2002-09-02,141.96,144.11,139.5,141.38,3369
2002-09-03,142.11,142.88,140.52,142.02,1127
2002-09-04,142.02,144.39,141.35,141.44,1578
2002-09-05,142.88,142.88,141.35,141.7,1974
2002-09-06,143.96,144.0,139.81,140.02,1958
2002-09-09,139.89,142.81,137.72,138.18,2119
2002-09-11,137.66,139.81,136.74,139.67,2009
2002-09-12,139.19,140.45,138.27,139.38,620
2002-09-13,139.81,140.12,137.69,138.73,2009
2002-09-16,138.81,143.4,138.27,141.24,3679
2002-09-17,143.5,143.5,140.15,142.47,3044
2002-09-18,140.59,143.77,140.59,142.7,2255
2002-09-19,142.57,143.77,141.65,143.56,3384
2002-09-20,141.04,144.42,141.04,144.19,2976
2002-09-23,142.42,145.95,142.27,144.88,2718
2002-09-24,147.49,147.49,143.2,145.03,2023
2002-09-25,145.65,150.56,145.19,149.18,52396
2002-09-26,148.26,149.03,147.05,147.64,36815
2002-09-27,148.11,152.71,146.57,149.78,31874
2002-09-30,149.5,152.71,147.8,150.27,5429
2002-10-01,152.09,152.64,148.72,149.72,4574
2002-10-03,149.14,149.64,147.88,148.18,7315
2002-10-04,148.11,149.01,145.95,146.57,929
2002-10-07,145.95,147.78,145.34,146.48,687
2002-10-08,146.95,147.34,146.57,146.88,453
2002-10-09,146.26,147.2,145.11,145.83,1866
2002-10-10,141.55,146.88,141.55,145.03,970
2002-10-11,150.26,150.55,145.03,145.16,904
2002-10-14,145.95,145.95,142.88,143.45,886
2002-10-16,141.96,145.34,141.96,144.42,2529
2002-10-17,143.07,143.93,142.87,142.93,4031
2002-10-18,143.8,143.8,137.07,138.24,5927
2002-10-21,142.53,142.53,138.89,139.32,1095
2002-10-22,149.78,149.78,137.66,137.98,21780
2002-10-23,139.81,139.81,137.35,137.66,3957
2002-10-24,139.81,139.81,134.62,136.26,22632
2002-10-25,137.04,137.95,135.86,137.17,852
2002-10-28,137.09,138.58,136.58,137.75,561
2002-10-29,138.89,140.12,137.97,138.61,4209
2002-10-30,138.27,139.19,136.74,136.91,7725
2002-10-31,138.52,138.52,136.74,137.24,1418
2002-11-01,138.27,138.89,137.06,138.27,46091
2002-11-04,138.75,139.12,137.04,138.7,581
2002-11-05,141.32,141.32,138.27,138.35,8794
2002-11-07,140.38,140.38,135.2,135.97,21175
2002-11-08,138.26,138.58,136.74,137.23,934
2002-11-11,141.35,141.35,137.52,138.26,2485
2002-11-12,138.27,139.81,136.52,138.26,11591
2002-11-13,138.75,138.75,136.68,138.13,23037
2002-11-14,138.58,138.58,137.04,138.18,14816
2002-11-15,138.27,138.3,137.67,137.95,788
2002-11-18,139.81,139.81,137.77,138.07,6574
2002-11-20,138.43,139.43,135.69,136.01,4836
2002-11-21,137.95,138.41,136.74,137.6,1133
2002-11-22,136.74,137.94,136.74,137.24,622
2002-11-25,137.04,137.63,136.14,136.38,5761
2002-11-26,147.18,152.71,136.12,136.32,6102
2002-11-27,136.89,138.27,135.97,136.08,1864
2002-11-28,136.74,137.41,136.12,136.34,11990
2002-11-29,136.98,137.63,135.85,136.08,13295
2002-12-02,138.27,139.49,136.43,136.61,9160
2002-12-03,141.35,153.02,135.2,135.91,16876
2002-12-04,136.12,137.04,135.51,135.68,1278
2002-12-05,137.35,138.27,135.54,135.88,8682
