date,open,high,low,close,volume
2003-09-05,56.0,58.25,55.33,57.48,5126746
2003-09-08,58.03,59.0,55.93,56.13,3542498
2003-09-09,56.85,57.65,55.03,55.73,3062016
2003-09-10,55.53,55.98,53.5,54.28,4184246
2003-09-11,53.65,54.85,51.75,52.08,5111716
2003-09-12,52.25,53.5,51.78,51.98,3333323
2003-09-15,52.05,53.0,51.0,51.35,2856474
2003-09-16,51.5,52.0,50.38,51.18,2629226
2003-09-17,52.0,53.05,51.25,51.93,3319663
2003-09-18,52.43,53.75,51.5,51.68,3584253
2003-09-19,52.45,52.45,50.03,50.78,4015139
2003-09-22,51.48,52.48,51.0,51.48,2220924
2003-09-23,51.5,54.0,51.2,53.45,3237152
2003-09-24,54.25,57.88,52.13,57.08,5565057
2003-09-25,56.55,58.0,55.65,56.75,4294417
2003-09-26,56.5,58.73,56.5,57.08,3625701
2003-09-29,57.35,58.45,57.03,57.98,3045586
2003-09-30,58.4,62.73,58.28,61.73,10267356
2003-10-01,62.0,63.85,60.33,62.18,7427404
2003-10-03,62.78,69.0,62.78,67.55,11651522
2003-10-06,68.05,69.35,66.08,66.35,5067660
2003-10-07,66.7,68.65,65.0,65.55,5878997
2003-10-08,65.88,66.48,63.9,64.83,3742151
2003-10-09,64.55,67.5,63.7,67.03,3004060
2003-10-10,67.73,68.45,64.68,65.5,2804825
2003-10-13,66.5,67.2,64.85,66.68,2316897
2003-10-14,67.25,69.5,64.75,65.6,5628989
2003-10-15,66.18,68.45,65.6,67.65,3430977
2003-10-16,68.5,71.75,68.0,69.1,6681319
2003-10-17,69.6,71.95,68.98,70.03,6511657
2003-10-20,70.0,74.1,69.1,70.83,10188867
2003-10-21,70.78,71.9,68.0,68.85,4634221
2003-10-22,69.05,70.85,68.5,69.68,2668557
2003-10-23,70.45,70.45,67.08,67.73,3005305
2003-10-24,68.0,71.2,68.0,70.73,2954883
2003-10-25,71.53,71.95,71.08,71.3,643054
2003-10-27,71.45,71.45,69.03,69.78,2265868
2003-10-28,70.0,70.0,68.6,69.55,1548923
2003-10-29,69.75,70.0,68.35,69.85,1688799
2003-10-30,70.0,70.1,69.25,69.83,1189102
2003-10-31,69.83,69.83,68.25,68.58,1086846
2003-11-03,69.28,71.95,68.38,69.08,2446151
2003-11-04,70.0,72.1,69.65,71.6,3175556
2003-11-05,72.53,74.95,71.8,72.88,5030699
2003-11-06,73.4,75.95,72.78,73.53,4479085
2003-11-07,73.28,74.33,70.5,70.88,1685489
2003-11-10,71.25,71.85,67.5,71.2,2170948
2003-11-11,71.45,72.25,69.33,70.15,1328893
2003-11-12,71.0,72.4,70.38,71.13,2128377
2003-11-13,71.6,72.4,69.83,70.3,1604886
2003-11-14,70.5,70.85,66.25,67.25,2071600
2003-11-15,67.55,67.55,65.5,66.1,617689
2003-11-17,66.7,67.98,66.38,67.45,2118782
2003-11-18,68.5,70.1,68.15,68.53,2165534
2003-11-19,67.8,68.23,64.38,65.03,2456094
2003-11-20,65.95,66.5,61.55,61.98,2039691
2003-11-21,62.4,62.73,60.15,62.18,1980781
2003-11-24,62.95,63.38,61.63,62.25,1257780
2003-11-25,62.55,62.7,60.2,60.55,2395353
2003-11-27,61.0,66.6,61.0,66.03,5704097
2003-11-28,66.3,66.4,64.0,64.93,3001360
2003-12-01,65.38,66.4,64.8,66.15,2071551
2003-12-02,66.75,67.4,65.53,66.33,3310554
2003-12-03,66.5,68.35,66.0,67.68,2833613
2003-12-04,67.48,68.2,65.75,66.7,4331398
2003-12-05,66.75,66.98,64.9,65.23,2903281
2003-12-08,65.43,66.1,64.5,65.48,1976763
2003-12-09,66.75,70.95,66.4,70.38,5611024
2003-12-10,70.63,72.9,70.1,71.15,4977762
2003-12-11,71.58,72.38,68.75,69.45,2081961
2003-12-12,70.25,70.4,68.55,69.2,1104530
2003-12-15,70.35,72.0,69.75,71.68,1807453
2003-12-16,71.6,73.25,70.55,72.05,3670513
2003-12-17,72.6,72.63,70.8,71.33,1877115
2003-12-18,71.5,74.23,70.78,73.7,2498938
2003-12-19,74.25,78.7,74.25,77.5,5859987
2003-12-22,78.0,78.4,75.63,76.1,1763085
2003-12-23,76.85,79.95,76.8,79.2,4003841
2003-12-24,79.25,79.5,76.05,76.48,2186388
2003-12-26,76.95,78.48,76.63,77.48,1332518
2003-12-29,78.1,79.1,76.58,77.08,1701108
2003-12-30,78.0,78.98,75.53,76.75,1573577
2003-12-31,77.6,77.73,74.5,75.0,2272239
2004-01-01,75.73,76.23,75.25,75.73,1372232
2004-01-02,76.5,83.35,76.0,79.45,9515216
2004-01-05,81.45,81.45,77.0,77.5,3414046
2004-01-06,78.95,81.88,77.75,78.78,4135724
2004-01-07,78.65,79.78,77.2,78.53,1877789
2004-01-08,79.93,84.95,79.0,84.15,3615168
2004-01-09,86.2,87.4,81.63,82.45,3389331
2004-01-12,83.25,86.18,80.55,81.1,5103572
2004-01-13,81.2,82.95,76.83,79.38,8700436
2004-01-14,80.15,81.63,77.1,78.75,10809584
2004-01-15,79.55,83.25,79.25,80.28,8658731
2004-01-16,81.05,82.95,76.33,77.83,7129408
2004-01-19,78.5,82.5,77.5,81.95,4440562
2004-01-20,82.65,82.65,78.58,79.2,4078115
2004-01-21,79.23,79.25,74.75,75.75,4327325
2004-01-22,75.95,77.5,70.5,71.35,5263785
2004-01-23,72.0,79.5,71.85,77.63,2489467
2004-01-27,80.0,80.83,75.8,79.55,5113934
2004-01-28,80.18,84.25,77.95,80.15,6387586
2004-01-29,81.0,81.43,76.3,78.0,3218224
2004-01-30,78.3,78.75,75.25,75.78,1834697
2004-02-03,76.35,76.98,65.8,67.33,2884283
2004-02-04,67.6,78.75,67.6,77.83,4955958
2004-02-05,77.5,77.5,72.65,73.5,3028574
2004-02-06,74.78,74.78,71.13,72.35,2761007
2004-02-09,73.5,76.7,70.55,75.75,5239379
2004-02-10,76.23,76.45,72.5,73.88,2906510
2004-02-11,74.63,76.25,74.5,75.63,2623066
2004-02-12,76.2,76.68,74.13,75.78,3341219
2004-02-13,75.7,77.13,75.55,76.9,3480877
2004-02-16,76.5,78.83,76.5,78.4,2849286
2004-02-17,78.13,78.98,76.75,77.33,2600785
2004-02-18,77.88,77.95,75.5,76.0,1822466
2004-02-19,76.15,76.45,71.85,72.6,2317343
2004-02-20,72.45,72.5,69.55,70.5,3161674
2004-02-23,71.0,71.13,64.28,64.83,2782560
2004-02-24,63.95,66.13,61.5,63.0,5722341
2004-02-25,63.43,64.98,63.0,63.78,3292713
2004-02-26,64.25,65.33,61.28,62.03,3474201
2004-02-27,62.25,67.13,62.25,66.7,4027581
2004-03-01,66.95,67.48,64.33,66.63,3436172
2004-03-03,67.0,69.2,65.1,68.45,3596711
2004-03-04,67.5,68.63,63.95,65.23,4731778
2004-03-05,65.78,65.98,62.0,62.75,5717298
2004-03-08,63.25,65.35,63.08,64.28,2810613
2004-03-09,63.95,63.95,61.03,61.6,3504205
2004-03-10,62.0,63.4,61.0,61.53,3449413
2004-03-11,60.85,62.23,60.08,60.55,2095028
2004-03-12,60.93,61.43,58.58,58.8,3800534
2004-03-15,59.35,60.75,58.03,58.35,3279641
2004-03-16,58.2,59.0,57.53,57.83,1813089
2004-03-17,58.25,60.5,58.0,60.23,2165610
2004-03-18,60.5,61.05,57.3,57.65,3538601
2004-03-19,58.1,59.3,57.55,58.08,2002340
2004-03-22,58.1,58.45,56.55,56.95,2037399
2004-03-23,56.65,59.98,56.65,59.48,2051836
2004-03-24,59.98,61.0,58.05,60.25,1451801
2004-03-25,60.9,60.9,59.38,60.13,1467039
2004-03-26,60.5,63.23,60.5,62.83,2772717
2004-03-29,63.5,65.68,62.55,64.68,3006148
2004-03-30,65.05,67.75,64.83,67.13,2805797
2004-03-31,67.0,67.85,65.3,66.98,2236335
2004-04-01,67.28,70.35,67.28,69.93,4557820
2004-04-02,70.0,70.25,67.58,69.3,2463397
2004-04-05,69.9,71.08,69.55,70.08,1388300
2004-04-06,70.75,70.75,66.25,67.95,1805977
2004-04-07,68.33,70.93,68.25,70.35,1689409
2004-04-08,70.25,70.25,68.53,69.58,1069201
2004-04-12,70.25,71.43,69.03,70.65,1041845
2004-04-13,70.75,73.0,70.28,72.23,2589402
2004-04-15,72.5,72.63,64.3,65.88,6158949
2004-04-16,67.5,71.38,66.95,70.85,4870476
2004-04-17,70.93,71.0,69.2,70.58,650306
2004-04-19,70.78,71.0,68.6,69.15,2253029
2004-04-20,69.95,73.73,69.48,73.05,3984668
2004-04-21,72.8,73.25,71.58,72.45,1838694
2004-04-22,74.28,75.4,72.53,73.68,3023615
2004-04-23,74.0,76.15,73.6,74.9,2538934
2004-04-27,74.0,74.35,70.13,71.95,2300695
2004-04-28,71.3,72.8,70.6,71.8,817103
2004-04-29,72.35,72.35,67.05,67.98,2062019
2004-04-30,68.25,68.25,63.08,63.73,2719473
2004-05-03,63.6,66.88,63.48,66.53,2418255
2004-05-04,67.0,68.93,66.78,67.85,2030115
2004-05-05,68.28,68.5,64.78,65.4,2271938
2004-05-06,68.45,68.45,65.65,65.93,1430848
2004-05-07,67.35,67.35,64.9,66.43,2221581
2004-05-10,66.28,66.28,63.5,64.35,2240892
2004-05-11,63.95,64.25,62.8,63.48,2475577
2004-05-12,63.75,65.25,63.5,63.98,961945
2004-05-13,63.5,64.23,60.5,61.93,2242780
2004-05-14,62.75,63.25,54.25,56.7,2162521
2004-05-17,55.5,62.5,50.0,60.45,1821291
2004-05-18,61.0,62.48,60.25,61.98,2117516
2004-05-19,62.25,65.0,61.0,62.78,1000855
2004-05-20,63.25,63.93,61.0,61.18,789904
2004-05-21,61.18,61.18,58.63,59.13,1367516
2004-05-24,60.38,63.25,60.0,62.8,990569
2004-05-25,63.78,63.78,60.88,62.2,614466
2004-05-26,62.7,65.85,62.7,63.53,1053279
2004-05-27,63.5,64.4,62.4,63.53,840601
2004-05-28,64.0,65.63,62.7,64.15,2042627
2004-05-31,64.65,65.0,62.45,64.0,776829
2004-06-01,64.75,67.25,64.5,66.28,1953539
2004-06-02,66.75,67.2,65.0,66.15,887806
2004-06-03,67.0,67.4,64.9,65.1,1055837
2004-06-04,64.73,67.0,62.0,66.95,1512749
2004-06-07,62.58,68.68,62.58,67.93,2094300
2004-06-08,68.5,71.35,67.63,70.53,3038652
2004-06-09,70.35,71.2,66.35,66.95,3639368
2004-06-10,67.0,67.73,64.25,64.85,2158477
2004-06-11,65.05,65.85,62.5,62.7,2528191
2004-06-14,62.95,63.78,62.0,62.93,1527478
2004-06-15,63.15,64.5,62.6,64.18,883848
2004-06-16,64.5,65.0,62.53,63.23,889147
2004-06-17,63.6,68.45,63.6,67.63,4290020
2004-06-18,68.5,68.8,65.55,66.15,1237503
2004-06-21,66.5,67.35,63.2,63.93,1580153
2004-06-22,63.43,63.43,61.0,61.58,3627540
2004-06-23,62.0,62.83,59.85,60.05,3143110
2004-06-24,60.75,61.45,59.95,60.05,1997953
2004-06-25,60.5,61.3,60.08,60.45,1861105
2004-06-28,60.6,62.5,60.55,61.95,1633328
2004-06-29,62.15,63.2,61.3,62.75,1357817
2004-06-30,63.0,63.68,61.75,63.03,1116351
2004-07-01,63.48,64.0,62.8,63.88,920706
2004-07-02,63.95,63.95,61.58,62.08,981432
2004-07-05,62.25,63.85,62.13,62.63,932369
2004-07-06,62.95,64.0,62.6,63.88,829795
2004-07-07,63.5,64.75,63.25,63.75,1443719
2004-07-08,64.2,64.3,61.75,62.23,1093117
2004-07-09,61.48,64.38,59.8,63.6,678289
2004-07-12,64.0,64.98,62.5,64.5,681082
2004-07-13,64.9,65.0,63.6,64.3,725726
2004-07-14,64.7,64.73,62.5,62.63,907879
2004-07-15,62.75,63.5,62.6,62.88,425711
2004-07-16,63.33,63.63,62.8,63.28,615013
2004-07-19,63.45,66.8,63.15,66.15,2130997
2004-07-20,66.75,67.63,65.4,66.7,2541667
2004-07-21,66.95,67.45,66.5,67.08,1064951
2004-07-22,68.2,68.9,66.78,67.13,1555403
2004-07-23,67.8,70.85,67.6,69.73,2659178
2004-07-26,67.6,72.45,65.5,71.58,2627410
2004-07-27,71.75,74.2,71.75,73.48,3445004
2004-07-28,73.7,74.0,70.4,71.58,1616835
2004-07-29,71.55,72.7,70.25,71.68,1631733
2004-07-30,72.0,72.0,69.28,70.25,1182700
2004-08-02,70.25,71.58,68.5,69.88,972195
2004-08-03,70.35,70.68,69.38,69.73,616825
2004-08-04,69.5,70.95,69.35,70.33,717635
2004-08-05,70.78,71.08,69.28,69.75,1184290
2004-08-06,69.5,69.5,66.48,67.43,2283809
2004-08-09,67.0,67.0,65.6,65.88,1251998
2004-08-10,66.35,68.4,66.0,66.93,1694559
2004-08-11,67.3,67.5,66.0,66.18,817576
2004-08-12,66.13,67.05,65.58,66.3,552591
2004-08-13,66.45,66.9,65.55,65.78,492977
2004-08-16,66.25,67.5,66.1,67.15,1107899
2004-08-17,67.9,70.65,67.68,70.0,2539949
2004-08-18,70.0,70.45,68.6,69.98,1551661
2004-08-19,70.05,73.85,70.05,73.2,2641094
2004-08-20,74.0,74.0,71.38,73.15,1313607
2004-08-23,72.6,77.35,72.28,75.8,2631357
2004-08-24,74.83,75.8,74.0,74.8,1754071
2004-08-25,74.9,75.0,72.55,74.58,957181
2004-08-26,74.1,75.85,74.1,74.7,1161469
2004-08-27,74.5,76.45,74.13,75.7,1359790
2004-08-30,75.95,78.45,75.5,77.38,1384109
2004-08-31,77.2,78.2,75.85,76.43,760258
2004-09-01,76.3,76.75,74.05,74.4,989535
2004-09-02,75.18,77.75,74.5,76.63,1823088
2004-09-03,76.5,80.0,76.5,79.35,3519254
2004-09-06,81.75,85.93,80.53,80.83,7526495
2004-09-07,81.28,82.3,77.5,78.43,5453313
2004-09-08,79.4,80.7,78.5,79.75,4009294
2004-09-09,79.75,80.2,74.83,75.63,4801548
2004-09-10,75.7,75.7,72.75,74.7,2499174
2004-09-13,74.5,76.1,71.48,71.8,3618472
2004-09-14,72.23,74.65,72.23,73.6,2219129
2004-09-15,74.05,76.0,74.0,75.43,2508554
2004-09-16,75.5,77.88,75.5,77.55,2452035
2004-09-17,78.0,78.95,77.63,78.25,1527790
2004-09-20,78.43,78.43,75.5,76.9,1143820
2004-09-21,76.78,80.0,72.58,74.13,8771481
2004-09-22,74.95,79.55,72.15,78.48,5246859
2004-09-23,77.5,77.75,75.58,76.28,2144396
2004-09-24,76.0,77.1,74.13,75.1,2015847
2004-09-27,76.0,77.35,75.18,75.73,1437541
2004-09-28,76.23,76.95,74.15,75.1,2587128
2004-09-29,75.5,75.95,74.6,75.03,1372371
2004-09-30,76.23,76.73,75.6,76.0,1238048
2004-10-01,75.55,77.45,74.0,77.05,1291704
2004-10-04,76.1,78.98,75.25,78.23,1379606
2004-10-05,77.58,80.0,75.53,79.63,2140798
2004-10-06,78.05,79.38,77.5,78.23,830522
2004-10-07,78.5,82.5,77.8,78.65,2036054
2004-10-08,78.88,80.88,78.65,80.25,1530324
2004-10-09,79.5,80.75,79.0,79.63,159350
2004-10-11,79.6,80.25,78.5,79.1,447684
2004-10-12,78.53,78.95,77.0,77.35,268409
2004-10-14,77.5,79.25,76.2,78.83,379158
2004-10-15,79.0,79.5,77.13,78.15,363164
2004-10-18,78.75,78.75,76.5,77.1,413681
2004-10-19,77.7,78.13,76.5,77.13,533365
2004-10-20,77.25,80.95,77.05,80.25,1393870
2004-10-21,79.5,79.9,76.85,77.18,611583
2004-10-25,77.05,77.05,74.8,75.83,469256
2004-10-26,76.25,77.68,75.98,77.0,637445
2004-10-27,77.45,77.5,76.55,77.1,202614
2004-10-28,77.5,78.7,74.5,75.5,1451518
2004-10-29,75.45,76.0,73.03,74.83,1029492
2004-11-01,75.0,75.0,72.55,72.93,1078264
2004-11-02,74.38,74.75,73.38,74.2,1641655
2004-11-03,74.55,77.5,74.3,77.23,946713
2004-11-04,77.5,78.5,76.53,77.18,474342
2004-11-05,78.3,78.3,74.75,75.13,631619
2004-11-08,75.85,76.18,74.5,75.2,534599
2004-11-09,75.65,75.7,73.85,75.03,807827
2004-11-10,75.25,76.25,74.8,75.75,760620
2004-11-11,75.83,76.98,75.75,76.7,418586
2004-11-12,77.45,77.45,76.0,76.25,87307
2004-11-16,76.85,76.85,75.1,76.08,979202
2004-11-17,76.5,81.5,76.5,77.5,4531972
2004-11-18,78.2,79.63,76.15,77.73,2236578
2004-11-19,78.85,78.85,77.25,78.28,492409
2004-11-22,78.0,78.78,76.63,78.25,644326
2004-11-23,78.03,81.43,76.03,80.2,1749647
2004-11-24,80.5,80.5,78.55,79.2,617171
2004-11-25,78.5,78.5,76.53,76.88,1117315
2004-11-29,77.0,77.0,75.5,75.85,1004689
2004-11-30,76.63,77.9,75.9,76.05,1256916
2004-12-01,76.95,77.2,74.75,74.95,1134278
2004-12-02,75.68,79.2,75.68,78.88,1550613
2004-12-03,79.0,79.0,75.0,75.25,1071814
2004-12-06,76.5,79.5,76.5,78.55,2596994
2004-12-07,79.3,82.6,77.75,81.23,2747192
2004-12-08,81.95,81.95,79.03,80.28,2065510
2004-12-09,80.03,81.38,79.5,79.95,1091957
2004-12-10,80.45,80.7,77.75,79.2,1188135
2004-12-13,79.65,82.75,79.25,81.15,1976704
2004-12-14,81.45,81.45,79.0,80.05,913232
