date,open,high,low,close,volume
2003-09-05,9.07,9.38,9.04,9.17,156784
2003-09-08,9.2,9.26,9.0,9.08,81599
2003-09-09,9.17,9.69,9.07,9.26,284556
2003-09-10,9.47,9.51,9.14,9.42,168367
2003-09-11,9.38,10.12,9.25,9.72,364901
2003-09-12,9.79,10.2,9.22,9.32,354944
2003-09-15,9.31,9.31,8.73,8.78,122832
2003-09-16,8.85,9.15,8.65,9.07,140788
2003-09-17,10.86,10.86,9.2,9.67,485703
2003-09-18,9.85,9.85,9.05,9.15,286891
2003-09-19,9.37,9.49,8.85,9.15,160051
2003-09-22,9.22,9.29,8.87,8.92,108838
2003-09-23,8.85,9.1,8.8,9.03,82716
2003-09-24,9.6,9.6,8.91,9.11,94489
2003-09-25,9.0,9.15,8.91,8.96,53056
2003-09-26,9.0,9.35,8.97,9.3,111223
2003-09-29,9.39,9.53,9.25,9.28,88000
2003-09-30,9.35,9.45,9.21,9.26,55181
2003-10-01,9.3,9.43,9.07,9.18,79029
2003-10-03,9.29,9.4,8.91,9.03,95742
2003-10-06,9.19,9.38,9.15,9.21,58710
2003-10-07,9.26,9.45,9.01,9.08,83101
2003-10-08,9.15,9.24,8.87,8.94,67878
2003-10-09,9.0,9.23,8.93,8.98,53126
2003-10-10,9.07,9.4,9.07,9.34,124171
2003-10-13,9.37,9.7,9.35,9.44,182650
2003-10-14,9.5,9.57,9.0,9.05,96279
2003-10-15,9.09,9.2,8.95,9.06,58942
2003-10-16,9.08,9.17,8.92,8.95,51363
2003-10-17,9.03,9.23,8.95,9.04,82693
2003-10-20,9.35,9.35,8.86,8.95,65836
2003-10-21,10.0,10.0,8.58,8.71,71838
2003-10-22,8.79,8.84,8.2,8.24,89629
2003-10-23,8.18,8.5,8.08,8.22,46302
2003-10-24,8.2,8.49,8.2,8.38,36515
2003-10-25,8.49,8.6,8.43,8.52,19332
2003-10-27,8.42,8.55,8.26,8.32,25218
2003-10-28,8.4,8.45,8.2,8.23,18237
2003-10-29,8.36,8.37,8.2,8.23,21030
2003-10-30,8.33,8.35,8.12,8.22,21384
2003-10-31,8.2,8.4,8.2,8.33,36060
2003-11-03,8.4,8.73,8.2,8.69,81014
2003-11-04,8.74,8.85,8.41,8.53,48932
2003-11-05,8.42,9.11,7.72,8.69,109792
2003-11-06,8.7,8.99,8.66,8.71,78417
2003-11-07,8.85,8.85,8.52,8.57,33571
2003-11-10,8.6,8.7,8.27,8.57,13820
2003-11-11,8.62,8.75,8.45,8.55,22669
2003-11-12,8.58,9.35,8.51,9.02,169859
2003-11-13,9.23,9.49,9.0,9.09,260164
2003-11-14,9.07,9.24,8.53,8.58,77502
2003-11-15,8.65,8.7,8.21,8.6,16895
2003-11-17,8.6,9.9,8.56,9.69,305470
2003-11-18,9.61,9.97,9.41,9.5,198829
2003-11-19,9.41,10.59,9.4,10.12,650757
2003-11-20,10.3,10.87,10.11,10.22,519894
2003-11-21,10.22,10.44,9.71,10.13,273294
2003-11-24,10.2,10.76,9.92,10.56,285945
2003-11-25,10.82,11.84,10.82,11.68,865155
2003-11-27,11.95,12.08,11.5,11.77,474108
2003-11-28,11.86,11.99,11.45,11.65,242000
2003-12-01,11.6,12.2,11.6,11.94,275279
2003-12-02,12.12,12.2,11.1,11.41,243376
2003-12-03,11.54,11.8,11.31,11.68,151343
2003-12-04,11.8,11.9,11.3,11.45,132502
2003-12-05,11.69,11.69,10.9,11.16,128279
2003-12-08,11.15,11.39,10.96,11.32,102706
2003-12-09,11.47,12.39,11.33,12.22,222774
2003-12-10,12.39,12.39,11.63,11.83,169625
2003-12-11,11.95,12.4,11.65,12.0,217226
2003-12-12,11.3,12.2,10.69,11.8,118216
2003-12-15,11.98,12.29,11.9,12.02,162499
2003-12-16,11.9,13.1,11.72,12.65,597925
2003-12-17,12.78,13.38,12.5,12.83,633413
2003-12-18,12.99,13.24,12.71,12.78,167095
2003-12-19,13.0,13.29,12.72,12.79,210366
2003-12-22,12.89,13.04,12.62,12.7,125832
2003-12-23,12.85,12.85,12.27,12.39,121881
2003-12-24,12.49,12.92,12.36,12.58,109682
2003-12-26,12.7,12.98,12.27,12.37,162844
2003-12-29,12.5,13.4,12.45,13.12,280172
2003-12-30,13.3,14.4,12.6,13.55,819031
2003-12-31,13.6,14.28,13.44,13.62,377093
2004-01-01,13.84,13.93,13.6,13.77,137133
2004-01-02,13.89,16.25,13.81,16.06,918812
2004-01-05,16.23,16.59,15.33,15.61,403730
2004-01-06,15.68,16.27,14.66,14.82,216731
2004-01-07,14.8,14.98,14.12,14.62,174989
2004-01-08,14.73,15.7,14.73,15.49,179156
2004-01-09,15.62,16.97,14.8,14.94,264205
2004-01-12,14.66,14.9,14.0,14.17,89448
2004-01-13,14.1,15.49,13.78,15.34,314603
2004-01-14,15.25,15.49,14.71,14.9,132501
2004-01-15,14.99,15.26,14.2,14.38,139055
2004-01-16,14.4,14.4,13.3,13.43,137093
2004-01-19,13.42,13.85,13.05,13.63,90780
2004-01-20,13.8,14.09,13.0,13.12,79463
2004-01-21,13.17,13.37,10.85,11.25,172666
2004-01-22,11.11,11.89,10.06,10.5,158420
2004-01-23,9.67,12.09,9.67,11.69,148785
2004-01-27,11.77,12.0,10.9,11.48,151469
2004-01-28,11.9,12.49,11.55,11.88,195840
2004-01-29,11.62,11.96,11.0,11.18,141559
2004-01-30,11.27,11.47,10.51,10.65,100992
2004-02-03,10.7,10.71,9.57,9.71,86000
2004-02-04,9.85,10.28,9.63,10.1,95067
2004-02-05,10.12,10.75,9.95,10.41,156459
2004-02-06,10.63,10.67,10.15,10.51,64937
2004-02-09,10.63,10.77,10.44,10.63,72211
2004-02-10,10.73,11.09,10.5,10.66,178194
2004-02-11,10.8,11.04,10.61,10.82,87579
2004-02-12,10.97,11.03,10.65,10.75,59821
2004-02-13,10.55,11.35,10.55,11.18,90454
2004-02-16,11.37,11.84,11.25,11.63,109502
2004-02-17,11.72,12.24,11.55,11.8,107716
2004-02-18,12.0,12.06,11.5,11.55,70202
2004-02-19,11.67,11.67,10.51,10.57,88415
2004-02-20,10.83,10.83,10.04,10.51,82969
2004-02-23,10.67,10.75,10.1,10.19,51104
2004-02-24,10.19,10.3,9.82,10.13,45062
2004-02-25,10.3,10.3,9.81,9.89,43380
2004-02-26,9.99,10.25,9.8,9.86,40780
2004-02-27,10.09,10.1,9.71,9.99,52526
2004-03-01,10.15,10.16,9.96,10.09,32881
2004-03-03,9.91,10.27,9.91,9.98,30952
2004-03-04,9.7,11.0,9.6,9.75,6518
2004-03-05,9.99,9.99,9.5,9.56,13680
2004-03-08,9.11,9.73,9.11,9.42,9564
2004-03-09,9.03,9.37,9.03,9.21,14439
2004-03-10,8.91,9.3,8.91,9.02,17059
2004-03-11,9.0,9.2,8.73,8.82,23659
2004-03-12,9.05,9.05,8.72,8.95,25668
2004-03-15,9.29,9.29,8.46,8.62,31880
2004-03-16,8.21,8.8,8.12,8.24,30289
2004-03-17,8.49,8.49,8.1,8.27,17662
2004-03-18,8.59,8.6,7.93,8.05,16643
2004-03-19,8.2,8.2,7.81,8.02,23042
2004-03-22,7.72,7.8,7.46,7.52,23889
2004-03-23,6.2,7.63,6.2,7.5,19840
2004-03-24,6.2,7.69,6.2,7.3,10304
2004-03-25,7.38,7.63,7.21,7.44,24525
2004-03-26,8.8,8.8,7.61,7.93,59732
2004-03-29,7.65,8.2,7.65,7.69,30508
2004-03-30,8.15,8.25,7.7,7.93,26625
2004-03-31,8.15,8.15,7.75,7.87,20241
2004-04-01,7.56,8.33,7.56,8.23,32651
2004-04-02,8.02,8.28,7.85,8.19,34756
2004-04-05,8.15,9.13,8.15,8.65,74669
2004-04-06,8.95,9.2,8.55,8.69,42784
2004-04-07,8.75,8.75,8.46,8.52,11988
2004-04-08,8.9,8.9,8.55,8.64,11704
2004-04-12,9.0,9.0,8.62,8.7,28042
2004-04-13,8.8,9.34,8.66,9.26,98980
2004-04-15,8.85,9.25,8.85,8.93,38342
2004-04-16,9.02,9.17,8.93,9.03,25396
2004-04-17,9.09,9.19,8.85,9.07,17165
2004-04-19,9.17,9.17,8.65,8.74,22851
2004-04-20,8.89,8.95,8.62,8.73,9749
2004-04-21,8.61,8.99,8.61,8.89,14501
2004-04-22,8.9,9.28,8.9,9.01,26609
2004-04-23,9.39,9.39,8.62,8.94,30687
2004-04-27,8.67,8.89,8.46,8.55,21856
2004-04-28,8.8,9.17,8.62,8.7,86015
2004-04-29,8.6,8.85,8.51,8.54,25219
2004-04-30,8.67,8.79,8.36,8.43,26330
2004-05-03,8.67,8.67,8.3,8.4,14001
2004-05-04,8.5,8.66,8.48,8.55,8275
2004-05-05,8.74,8.74,8.57,8.62,6094
2004-05-06,8.95,8.99,8.71,8.92,43867
2004-05-07,8.76,9.75,8.66,9.2,146865
2004-05-10,9.11,9.16,8.85,8.99,21727
2004-05-11,8.85,8.85,8.51,8.62,25331
2004-05-12,8.6,9.2,8.56,8.72,25804
2004-05-13,8.2,9.08,8.2,8.85,31067
2004-05-14,9.1,9.1,8.03,8.14,45511
2004-05-17,7.86,8.0,6.53,7.2,29713
2004-05-18,7.19,7.9,7.19,7.88,28484
2004-05-19,8.27,8.37,7.8,8.06,36124
2004-05-20,8.2,8.25,7.93,8.07,28626
2004-05-21,8.25,8.25,7.76,8.08,10234
2004-05-24,8.29,9.14,8.12,8.87,176125
2004-05-25,8.61,8.95,8.4,8.73,50983
2004-05-26,8.98,9.09,8.58,8.61,48428
2004-05-27,8.1,8.78,8.1,8.46,28833
2004-05-28,8.41,8.65,8.13,8.18,31813
2004-05-31,7.84,8.19,7.83,8.01,18812
2004-06-01,8.3,8.31,8.01,8.05,15177
2004-06-02,8.16,8.34,8.1,8.23,17129
2004-06-03,9.0,9.0,8.05,8.11,29699
2004-06-04,8.05,8.35,7.73,7.88,20796
2004-06-07,8.0,8.1,7.88,7.96,16964
2004-06-08,8.05,8.09,7.91,7.93,8441
2004-06-09,8.0,8.06,7.92,7.94,10050
2004-06-10,7.84,8.29,7.23,8.15,35468
2004-06-11,8.11,8.29,7.91,7.94,19430
2004-06-14,7.87,8.0,7.6,7.64,20826
2004-06-15,7.85,7.89,7.64,7.68,12515
2004-06-16,7.87,7.89,7.65,7.68,11369
2004-06-17,7.65,7.85,7.65,7.82,9549
2004-06-18,7.81,7.88,7.61,7.69,21694
2004-06-21,7.8,7.8,7.55,7.64,9665
2004-06-22,8.4,8.4,7.52,7.61,6544
2004-06-23,7.73,7.73,7.3,7.34,17097
2004-06-24,7.67,7.67,7.3,7.35,15300
2004-06-25,7.68,7.68,7.21,7.48,15344
2004-06-28,7.75,8.04,7.51,7.92,39559
