date,open,high,low,close,volume
2003-09-05,20.01,20.6,19.73,20.21,525976
2003-09-08,20.29,23.46,20.17,22.57,1881758
2003-09-09,23.0,23.11,21.61,21.93,895810
2003-09-10,21.87,22.33,21.0,21.52,437702
2003-09-11,21.47,22.2,21.33,21.59,319555
2003-09-12,21.78,21.97,20.74,20.86,297203
2003-09-15,20.8,20.93,19.42,19.63,287910
2003-09-16,19.73,20.93,19.33,20.66,460773
2003-09-17,21.0,21.53,20.87,21.06,316736
2003-09-18,21.31,21.31,20.0,20.1,199171
2003-09-19,20.13,20.47,19.37,19.91,254668
2003-09-22,20.04,20.25,19.67,19.75,126244
2003-09-23,19.73,20.17,19.37,20.03,188562
2003-09-24,20.0,20.11,18.67,19.56,228947
2003-09-25,19.53,21.0,19.44,20.57,395294
2003-09-26,20.67,21.93,20.66,21.7,560148
2003-09-29,21.67,22.95,21.67,22.08,308004
2003-09-30,22.32,22.32,21.36,21.69,198143
2003-10-01,21.67,22.27,21.37,21.58,264720
2003-10-03,21.88,22.45,21.41,21.78,307595
2003-10-06,21.87,23.23,21.61,22.87,572579
2003-10-07,23.16,23.2,22.2,22.36,273926
2003-10-08,22.49,23.0,22.13,22.57,316333
2003-10-09,22.74,22.82,22.53,22.73,132402
2003-10-10,22.99,22.99,22.2,22.28,106055
2003-10-13,22.49,22.93,22.33,22.61,146284
2003-10-14,22.79,22.87,21.87,22.42,213812
2003-10-15,22.53,22.6,22.01,22.16,114150
2003-10-16,22.32,22.48,22.01,22.12,72820
2003-10-17,22.16,22.33,21.77,21.87,77221
2003-10-20,22.14,22.48,20.75,21.03,203469
2003-10-21,21.2,21.5,20.13,20.4,190826
2003-10-22,20.57,21.03,20.2,20.58,218378
2003-10-23,20.33,20.67,19.86,19.99,99061
2003-10-24,20.13,20.93,19.37,20.56,130367
2003-10-25,20.99,20.99,20.6,20.71,22959
2003-10-27,20.53,20.79,20.2,20.4,61096
2003-10-28,19.94,20.6,19.93,20.24,84266
2003-10-29,20.3,20.67,20.11,20.23,61294
2003-10-30,20.27,21.93,20.17,21.76,313569
2003-10-31,21.99,22.87,21.47,22.54,295719
2003-11-03,22.87,23.33,22.4,23.23,394288
2003-11-04,23.38,23.65,22.74,22.91,230844
2003-11-05,22.87,23.99,22.48,23.19,328177
2003-11-06,23.47,23.67,22.8,22.93,204225
2003-11-07,23.06,23.96,22.84,23.76,312355
2003-11-10,24.04,25.18,23.67,25.02,211233
2003-11-11,25.0,25.25,24.4,24.6,190473
2003-11-12,24.73,25.0,24.67,24.77,95547
2003-11-13,24.93,24.93,23.8,24.09,101179
2003-11-14,24.25,24.25,23.5,23.6,75858
2003-11-15,23.34,25.27,23.34,24.62,49002
2003-11-17,24.37,24.93,24.15,24.78,56723
2003-11-18,24.59,25.15,24.41,24.5,75124
2003-11-19,22.14,24.72,22.13,24.47,71321
2003-11-20,24.8,25.0,24.33,24.37,73995
2003-11-21,24.07,24.73,24.07,24.65,53773
2003-11-24,24.77,25.0,24.62,24.77,60761
2003-11-25,25.13,25.13,24.63,24.68,51608
2003-11-27,24.93,25.0,24.68,24.75,38229
2003-11-28,25.0,25.6,24.9,25.17,104918
2003-12-01,25.4,25.66,25.14,25.55,59529
2003-12-02,25.7,26.17,25.0,25.93,160340
2003-12-03,26.27,27.33,26.1,26.95,202578
2003-12-04,26.93,27.19,25.83,26.11,80511
2003-12-05,26.47,27.0,25.33,25.57,81817
2003-12-08,25.8,26.27,25.33,25.41,46147
2003-12-09,25.6,26.18,25.6,25.94,48906
2003-12-10,26.26,26.32,25.27,25.48,56657
2003-12-11,25.92,26.27,25.6,25.66,75075
2003-12-12,26.06,26.07,25.63,25.84,50174
2003-12-15,26.19,26.19,25.67,25.73,49244
2003-12-16,25.8,27.07,25.27,26.92,174354
2003-12-17,26.93,28.07,26.93,27.4,263432
2003-12-18,27.85,27.93,26.81,26.94,90835
2003-12-19,27.23,27.87,26.6,26.86,105084
2003-12-22,27.1,27.2,26.74,26.82,53597
2003-12-23,26.93,27.0,25.81,25.96,80115
2003-12-24,26.0,26.6,26.0,26.18,82339
2003-12-26,26.47,27.07,26.2,26.36,53005
2003-12-29,26.6,27.1,26.37,26.53,78746
2003-12-30,27.07,27.33,25.87,25.99,70039
