date,open,high,low,close,volume
2009-11-13,43.99,44.68,39.25,40.11,82200
2009-11-16,40.94,41.16,39.02,39.32,22711
2009-11-17,39.54,43.0,39.22,42.13,58183
2009-11-18,41.94,42.8,41.2,41.41,23650
2009-11-19,41.54,42.56,40.4,40.6,26536
2009-11-20,39.6,43.98,39.5,43.27,81444
2009-11-23,43.6,45.5,43.6,44.17,75607
2009-11-24,44.2,45.0,43.04,43.32,23097
2009-11-25,43.97,44.52,42.52,42.74,9387
2009-11-26,42.22,43.37,42.22,42.47,9024
2009-11-27,40.6,44.78,40.1,43.94,219347
2009-11-30,45.2,47.2,44.24,46.79,72399
2009-12-01,47.0,56.15,47.0,56.15,524007
2009-12-02,56.45,60.4,55.04,56.42,886304
2009-12-03,58.0,58.0,53.12,54.08,107694
2009-12-04,53.99,55.62,53.0,53.55,93585
2009-12-07,55.8,55.8,50.53,51.28,62647
2009-12-08,51.78,56.0,50.52,54.75,149396
2009-12-09,54.8,55.54,53.26,54.08,55510
2009-12-10,54.39,57.38,53.86,55.29,138411
2009-12-11,55.38,57.14,54.44,54.75,40439
2009-12-14,54.3,55.8,54.2,54.45,22962
2009-12-15,55.09,56.96,53.04,53.63,79393
2009-12-16,54.19,54.59,52.8,53.55,26557
2009-12-17,53.8,55.0,53.2,54.26,25416
2009-12-18,53.8,54.2,52.22,52.66,24466
2009-12-21,53.36,54.4,52.43,52.72,30230
2009-12-22,53.22,53.54,52.31,52.52,21396
2009-12-23,52.82,54.18,52.25,52.52,111673
2009-12-24,52.2,52.74,50.8,51.19,51514
2009-12-29,50.31,52.7,50.31,51.53,43727
2009-12-30,51.78,55.14,51.27,53.58,132245
2009-12-31,54.0,55.62,53.3,54.28,158049
2010-01-04,54.68,55.0,53.6,53.76,42690
2010-01-05,54.59,54.7,53.24,53.63,72941
2010-01-06,54.16,54.16,52.8,53.22,24172
2010-01-07,53.54,55.2,52.4,52.57,295041
2010-01-08,53.58,53.58,52.22,52.42,32129
2010-01-11,53.0,53.8,52.4,52.56,33148
2010-01-12,53.18,53.8,52.3,52.6,33144
2010-01-13,52.6,53.4,52.25,52.9,19345
2010-01-14,53.36,53.36,52.5,52.62,14705
2010-01-15,52.72,53.6,52.46,52.61,27785
2010-01-18,52.21,54.0,52.2,52.66,47620
2010-01-19,52.8,53.4,52.41,52.55,17916
2010-01-20,52.55,53.78,52.26,53.2,25596
2010-01-21,52.63,54.0,52.63,53.04,61469
2010-01-22,52.28,52.28,49.6,51.65,20957
2010-01-25,51.8,56.94,51.03,55.86,241640
2010-01-27,55.45,58.58,52.8,53.47,226016
2010-01-28,54.39,56.38,54.0,55.06,54092
2010-01-29,54.2,56.0,53.0,54.87,44584
2010-02-01,55.0,57.0,54.4,55.78,33908
2010-02-02,56.97,66.9,56.47,65.61,1109323
2010-02-03,65.6,65.88,61.2,62.57,403299
2010-02-04,62.8,64.4,61.0,62.61,178124
2010-02-05,60.99,61.6,58.48,59.27,92554
2010-02-06,59.6,60.6,59.6,60.07,12999
2010-02-08,60.0,64.8,59.36,60.93,325874
2010-02-09,61.19,61.78,59.2,59.77,92612
2010-02-10,60.01,60.6,57.24,57.8,87357
2010-02-11,58.58,59.59,58.1,58.74,28889
2010-02-15,58.6,60.99,57.0,58.07,76194
2010-02-16,58.8,59.66,57.34,58.54,41892
2010-02-17,58.99,60.09,58.04,58.7,42144
2010-02-18,58.84,60.4,58.6,59.02,45439
2010-02-19,58.4,59.6,58.0,58.19,19573
2010-02-22,58.8,59.19,56.4,57.12,22795
